route_id	round	family	facet	query_type	expression	url	raw_file
Q18	L4	adjacent	method	search	"all:""Schrodinger bridge"" AND all:sampling"	https://export.arxiv.org/api/query?search_query=all%3A%22Schrodinger+bridge%22+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending	raw/arxiv/Q18.xml
P01	L0	root	identifier_probe	id_list	2606.13790	https://export.arxiv.org/api/query?id_list=2606.13790&max_results=1	raw/arxiv/P01.xml
P02	L1	root_reference_hypothesis	identifier_probe	id_list	2111.15141	https://export.arxiv.org/api/query?id_list=2111.15141&max_results=1	raw/arxiv/P02.xml
P03	L1	root_reference_hypothesis	identifier_probe	id_list	2201.08862	https://export.arxiv.org/api/query?id_list=2201.08862&max_results=1	raw/arxiv/P03.xml
P04	L1	root_reference_hypothesis	identifier_probe	id_list	2210.03139	https://export.arxiv.org/api/query?id_list=2210.03139&max_results=1	raw/arxiv/P04.xml
P05	L1	root_reference_hypothesis	identifier_probe	id_list	1904.12072	https://export.arxiv.org/api/query?id_list=1904.12072&max_results=1	raw/arxiv/P05.xml
P06	L1	root_reference_hypothesis	identifier_probe	id_list	2003.06413	https://export.arxiv.org/api/query?id_list=2003.06413&max_results=1	raw/arxiv/P06.xml
P07	L1	root_reference_hypothesis	identifier_probe	id_list	2101.08176	https://export.arxiv.org/api/query?id_list=2101.08176&max_results=1	raw/arxiv/P07.xml
P08	L3	author_context	identifier_probe	id_list	2512.19575	https://export.arxiv.org/api/query?id_list=2512.19575&max_results=1	raw/arxiv/P08.xml
P09	L3	author_context	identifier_probe	id_list	2605.11199	https://export.arxiv.org/api/query?id_list=2605.11199&max_results=1	raw/arxiv/P09.xml
P10	L4	forward_neighbor	identifier_probe	id_list	2607.08505	https://export.arxiv.org/api/query?id_list=2607.08505&max_results=1	raw/arxiv/P10.xml
P11	L2	adjacent_hypothesis	identifier_probe	id_list	2211.01364	https://export.arxiv.org/api/query?id_list=2211.01364&max_results=1	raw/arxiv/P11.xml
P12	L2	adjacent_hypothesis	identifier_probe	id_list	2302.13834	https://export.arxiv.org/api/query?id_list=2302.13834&max_results=1	raw/arxiv/P12.xml
