screen_rank,candidate_id,arxiv_id,title,authors,published,primary_category,route_ids,route_families,route_ranks,C0_candidate,C1_metadata,C2_abstract,domain_hits,method_hits,mechanism_hits,evaluation_hits,screen_score,decision,screen_reason,canonical_url,pdf_url,raw_files
12,arxiv:2201.13117,2201.13117,Continual Repeated Annealed Flow Transport Monte Carlo,Alexander G. D. G. Matthews; Michael Arbel; Danilo J. Rezende; Arnaud Doucet,2022-01-31T10:58:31Z,stat.ML,Q06,stochastic_flow,Q06:13,pass,pass,pass,lattice field theory;hep-lat,sampling;sampler;monte carlo;mcmc;normalizing flow;importance sampling,,,27,include,domain and sampling-method gates passed,https://arxiv.org/abs/2201.13117,https://arxiv.org/pdf/2201.13117v3,raw/arxiv/Q06.xml
13,arxiv:2409.18861,2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024-09-27T15:55:22Z,hep-lat,Q05;Q06;Q12;Q16,evaluation;jarzynski;normalizing_flow;stochastic_flow,Q05:21;Q06:7;Q12:6;Q16:17,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;normalizing flow,non-equilibrium;jarzynski,critical slowing;autocorrelation,26,include,domain and sampling-method gates passed,https://arxiv.org/abs/2409.18861,https://arxiv.org/pdf/2409.18861v2,raw/arxiv/Q05.xml;raw/arxiv/Q06.xml;raw/arxiv/Q12.xml;raw/arxiv/Q16.xml
14,arxiv:2302.14082,2302.14082,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,Kim A. Nicoli; Christopher J. Anders; Tobias Hartung; Karl Jansen; Pan Kessel; Shinichi Nakajima,2023-02-27T19:00:22Z,hep-lat,Q05,normalizing_flow,Q05:30,pass,pass,pass,lattice field theory;hep-lat,sampling;sampler;mcmc;normalizing flow;importance sampling,,bias,25,include,domain and sampling-method gates passed,https://arxiv.org/abs/2302.14082,https://arxiv.org/pdf/2302.14082v2,raw/arxiv/Q05.xml
15,arxiv:2404.09723,2404.09723,Minimal Autocorrelation in Hybrid Monte Carlo simulations using Exact Fourier Acceleration,Johann Ostmeyer; Pavel Buividovich,2024-04-15T12:26:37Z,hep-lat,Q16,evaluation,Q16:18,pass,pass,pass,lattice gauge;hep-lat;ising model,sampling;monte carlo,trajectory,autocorrelation;exact;hmc;hybrid monte carlo,25,include,domain and sampling-method gates passed,https://arxiv.org/abs/2404.09723,https://arxiv.org/pdf/2404.09723v3,raw/arxiv/Q16.xml
16,arxiv:2503.08918,2503.08918,Multilevel Generative Samplers for Investigating Critical Phenomena,Ankur Singha; Elia Cellini; Kim A. Nicoli; Karl Jansen; Stefan Kühn; Shinichi Nakajima,2025-03-11T22:03:54Z,cs.LG,Q11,critical_slowing,Q11:28,pass,pass,pass,hep-lat,sampling;sampler;monte carlo;mcmc;generative,,critical slowing;acceptance;effective sample;exact;variance,25,include,domain and sampling-method gates passed,https://arxiv.org/abs/2503.08918,https://arxiv.org/pdf/2503.08918v2,raw/arxiv/Q11.xml
17,arxiv:2601.20708,2601.20708,A scalable flow-based approach to mitigate topological freezing,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2026-01-28T15:40:46Z,hep-lat,Q05;Q06;Q16;Q22,evaluation;normalizing_flow;stochastic_flow;topology,Q05:7;Q06:2;Q16:7;Q22:1,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;normalizing flow,non-equilibrium,autocorrelation;exact;variance,25,include,domain and sampling-method gates passed,https://arxiv.org/abs/2601.20708,https://arxiv.org/pdf/2601.20708v1,expansion/raw/arxiv/Q22.xml;raw/arxiv/Q05.xml;raw/arxiv/Q06.xml;raw/arxiv/Q16.xml
18,arxiv:2201.08862,2201.08862,Stochastic normalizing flows as non-equilibrium transformations,Michele Caselle; Elia Cellini; Alessandro Nada; Marco Panero,2022-01-21T19:00:18Z,hep-lat,P03;Q06;Q12,jarzynski;root_reference_hypothesis;stochastic_flow,P03:1;Q06:14;Q12:14,pass,pass,pass,lattice gauge;hep-lat,monte carlo;normalizing flow;generative,non-equilibrium;jarzynski,,24,include,domain and sampling-method gates passed,https://arxiv.org/abs/2201.08862,https://arxiv.org/pdf/2201.08862v3,raw/arxiv/P03.xml;raw/arxiv/Q06.xml;raw/arxiv/Q12.xml
19,arxiv:2510.25704,2510.25704,Scaling flow-based approaches for topology sampling in $\mathrm{SU}(3)$ gauge theory,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2025-10-29T17:12:21Z,hep-lat,Q06;Q16;Q22,evaluation;stochastic_flow;topology,Q06:4;Q16:9;Q22:2,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;normalizing flow,non-equilibrium,autocorrelation;exact,24,include,domain and sampling-method gates passed,https://arxiv.org/abs/2510.25704,https://arxiv.org/pdf/2510.25704v2,expansion/raw/arxiv/Q22.xml;raw/arxiv/Q06.xml;raw/arxiv/Q16.xml
20,arxiv:2101.08176,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,Michael S. Albergo; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Kyle Cranmer; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2021-01-20T15:16:28Z,hep-lat,P07,root_reference_hypothesis,P07:1,pass,pass,pass,lattice field theory;lattice scalar;boltzmann distribution;hep-lat,sampling;normalizing flow,,,23,include,domain and sampling-method gates passed,https://arxiv.org/abs/2101.08176,https://arxiv.org/pdf/2101.08176v3,raw/arxiv/P07.xml
21,arxiv:2604.12416,2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,Urs Wenger,2026-04-14T08:02:16Z,hep-lat,Q05;Q06;Q10,diffusion;normalizing_flow;stochastic_flow,Q05:3;Q06:1;Q10:2,pass,pass,pass,lattice gauge;hep-lat,sampling;normalizing flow;generative;diffusion,,,23,include,domain and sampling-method gates passed,https://arxiv.org/abs/2604.12416,https://arxiv.org/pdf/2604.12416v1,raw/arxiv/Q05.xml;raw/arxiv/Q06.xml;raw/arxiv/Q10.xml
22,arxiv:2605.22444,2605.22444,Normalizing flows for all-orders QED corrections in lattice field theory,Nils Hermansson-Truedsson; Gurtej Kanwar,2026-05-21T13:11:58Z,hep-lat,Q05,normalizing_flow,Q05:2,pass,pass,pass,lattice field theory;lattice scalar;hep-lat,sampling;monte carlo;normalizing flow,,variance,23,include,domain and sampling-method gates passed,https://arxiv.org/abs/2605.22444,https://arxiv.org/pdf/2605.22444v1,raw/arxiv/Q05.xml
23,arxiv:2306.00581,2306.00581,Sampling U(1) gauge theory using a re-trainable conditional flow-based model,Ankur Singha; Dipankar Chakrabarti; Vipul Arora,2023-06-01T11:52:56Z,hep-lat,Q16;Q22,evaluation;topology,Q16:26;Q22:6,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;normalizing flow,,autocorrelation;hmc;hybrid monte carlo,22,include,domain and sampling-method gates passed,https://arxiv.org/abs/2306.00581,https://arxiv.org/pdf/2306.00581v2,expansion/raw/arxiv/Q22.xml;raw/arxiv/Q16.xml
24,arxiv:2311.03578,2311.03578,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-11-06T22:24:28Z,hep-lat,Q10;Q21,diffusion;stochastic_quantization,Q10:13;Q21:2,pass,pass,pass,lattice field theory;hep-lat,sampler;generative;diffusion;langevin,,,22,include,domain and sampling-method gates passed,https://arxiv.org/abs/2311.03578,https://arxiv.org/pdf/2311.03578v1,expansion/raw/arxiv/Q21.xml;raw/arxiv/Q10.xml
25,arxiv:2412.19109,2412.19109,Stochastic normalizing flows for Effective String Theory,Michele Caselle; Elia Cellini; Alessandro Nada,2024-12-26T07:58:09Z,hep-lat,Q05;Q06,normalizing_flow;stochastic_flow,Q05:19;Q06:5,pass,pass,pass,lattice field theory;hep-lat,sampler;monte carlo;normalizing flow;generative,,,22,include,domain and sampling-method gates passed,https://arxiv.org/abs/2412.19109,https://arxiv.org/pdf/2412.19109v2,raw/arxiv/Q05.xml;raw/arxiv/Q06.xml
26,arxiv:2509.12812,2509.12812,Efficient lattice field theory simulation using adaptive normalizing flow on a resistive memory-based neural differential equation solver,Meng Xu; Jichang Yang; Ning Lin; Qundao Xu; Siqi Tang; Han Wang; Xiaojuan Qi; Zhongrui Wang; Ming Xu,2025-09-16T08:30:58Z,cs.NE,Q05;Q16,evaluation;normalizing_flow,Q05:12;Q16:12,pass,pass,pass,lattice field theory;phi4,sampling;monte carlo;normalizing flow,,autocorrelation;hmc;hybrid monte carlo,22,include,domain and sampling-method gates passed,https://arxiv.org/abs/2509.12812,https://arxiv.org/pdf/2509.12812v1,raw/arxiv/Q05.xml;raw/arxiv/Q16.xml
27,arxiv:2512.19575,2512.19575,Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems,Moxian Qian; Shiyang Chen,2025-12-22T16:57:06Z,hep-lat,P08;Q11,author_context;critical_slowing,P08:1;Q11:14,pass,pass,pass,hep-lat;ising model,sampling;monte carlo;metropolis,,critical slowing;effective sample;bias,22,include,domain and sampling-method gates passed,https://arxiv.org/abs/2512.19575,https://arxiv.org/pdf/2512.19575v1,raw/arxiv/P08.xml;raw/arxiv/Q11.xml
28,arxiv:2302.08408,2302.08408,Learning Trivializing Flows,David Albandea; Luigi Del Debbio; Pilar Hernández; Richard Kenway; Joe Marsh Rossney; Alberto Ramos,2023-02-16T16:38:08Z,hep-lat,Q16,evaluation,Q16:30,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;normalizing flow,,autocorrelation;hmc;hybrid monte carlo,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2302.08408,https://arxiv.org/pdf/2302.08408v3,raw/arxiv/Q16.xml
29,arxiv:2310.03381,2310.03381,Learning Trivializing Flows in a $φ^4$ theory from coarser lattices,David Albandea; Luigi Del Debbio; Pilar Hernández; Richard Kenway; Joe Marsh Rossney; Alberto Ramos,2023-10-05T08:32:16Z,hep-lat,Q05;Q22,normalizing_flow;topology,Q05:26;Q22:5,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo;normalizing flow,,hmc;hybrid monte carlo,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2310.03381,https://arxiv.org/pdf/2310.03381v1,expansion/raw/arxiv/Q22.xml;raw/arxiv/Q05.xml
30,arxiv:2404.18323,2404.18323,Flow-based Nonperturbative Simulation of First-order Phase Transitions,Yang Bai; Ting-Kuo Chen,2024-04-28T21:36:40Z,hep-lat,Q05,normalizing_flow,Q05:22,pass,pass,pass,lattice field theory;hep-lat,sampling;monte carlo;mcmc;normalizing flow,,,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2404.18323,https://arxiv.org/pdf/2404.18323v2,raw/arxiv/Q05.xml
31,arxiv:2409.15937,2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2024-09-24T09:59:44Z,hep-lat,Q06,stochastic_flow,Q06:8,pass,pass,pass,lattice gauge;hep-lat,sampler;monte carlo;normalizing flow,non-equilibrium,exact,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2409.15937,https://arxiv.org/pdf/2409.15937v2,raw/arxiv/Q06.xml
32,arxiv:2510.13112,2510.13112,Neural Triangular Transport Maps: A New Approach Towards Sampling in Lattice QCD,Andrey Bryutkin; Youssef Marzouk,2025-10-15T03:15:10Z,cs.LG,Q05,normalizing_flow,Q05:11,pass,pass,pass,boltzmann distribution;hep-lat,sampling;monte carlo;normalizing flow,,exact;hmc;hybrid monte carlo,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2510.13112,https://arxiv.org/pdf/2510.13112v1,raw/arxiv/Q05.xml
33,arxiv:2510.26081,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,Octavio Vega; Javad Komijani; Aida El-Khadra; Marina Marinkovic,2025-10-30T02:34:01Z,hep-lat,Q10;Q11,critical_slowing;diffusion,Q10:4;Q11:18,pass,pass,pass,lattice field theory;hep-lat,monte carlo;mcmc;diffusion,,critical slowing;effective sample,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2510.26081,https://arxiv.org/pdf/2510.26081v1,raw/arxiv/Q10.xml;raw/arxiv/Q11.xml
34,arxiv:2601.18273,2601.18273,Toward Scalable Normalizing Flows for the Hubbard Model,Janik Kreit; Andrea Bulgarelli; Lena Funcke; Thomas Luu; Dominic Schuh; Simran Singh; Lorenzo Verzichelli,2026-01-26T08:58:08Z,cond-mat.str-el,Q05;Q06,normalizing_flow;stochastic_flow,Q05:8;Q06:3,pass,pass,pass,boltzmann distribution;hep-lat,monte carlo;normalizing flow;generative,non-equilibrium,,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2601.18273,https://arxiv.org/pdf/2601.18273v1,raw/arxiv/Q05.xml;raw/arxiv/Q06.xml
35,arxiv:2603.00252,2603.00252,A Monte Carlo estimator of flow fields for sampling and noise problems,Michael S. Albergo; Gurtej Kanwar,2026-02-27T19:04:13Z,hep-lat,Q11,critical_slowing,Q11:10,pass,pass,pass,lattice field theory;hep-lat,sampling;monte carlo;langevin,,critical slowing;exact;bias,21,include,domain and sampling-method gates passed,https://arxiv.org/abs/2603.00252,https://arxiv.org/pdf/2603.00252v1,raw/arxiv/Q11.xml
36,arxiv:2304.03311,2304.03311,Entanglement entropy from non-equilibrium Monte Carlo simulations,Andrea Bulgarelli; Marco Panero,2023-04-06T18:01:02Z,quant-ph,Q12,jarzynski,Q12:12,pass,pass,pass,lattice field theory;hep-lat;ising model,monte carlo,non-equilibrium;jarzynski,,20,include,domain and sampling-method gates passed,https://arxiv.org/abs/2304.03311,https://arxiv.org/pdf/2304.03311v2,raw/arxiv/Q12.xml
37,arxiv:2511.02018,2511.02018,Neural Field Transformations for Hybrid Monte Carlo: Architectural Design and Scaling,Jinchen He; Xiao-Yong Jin; James C. Osborn; Yong Zhao,2025-11-03T19:43:22Z,hep-lat,Q11;Q16,critical_slowing;evaluation,Q11:17;Q16:8,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo,,critical slowing;autocorrelation;hmc;hybrid monte carlo,20,include,domain and sampling-method gates passed,https://arxiv.org/abs/2511.02018,https://arxiv.org/pdf/2511.02018v1,raw/arxiv/Q11.xml;raw/arxiv/Q16.xml
38,arxiv:2606.27481,2606.27481,Sampling the Schwinger Model with Gauge-Equivariant Diffusion,Octavio Vega; Aida X. El-Khadra,2026-06-25T19:00:56Z,hep-lat,Q11,critical_slowing,Q11:1,pass,pass,pass,hep-lat,sampling;mcmc;generative;diffusion,,critical slowing;bias;hmc,20,include,domain and sampling-method gates passed,https://arxiv.org/abs/2606.27481,https://arxiv.org/pdf/2606.27481v1,raw/arxiv/Q11.xml
39,arxiv:2607.07127,2607.07127,Weight-Space Physics: Interpretable Hypernetworks for Lattice Quantum Field Theories,Tobias Göbel; Julian R. Ebelt; Zier Mensch; Mathis Gerdes; Miranda C. N. Cheng,2026-07-08T08:14:21Z,hep-lat,Q05,normalizing_flow,Q05:1,pass,pass,pass,lattice field theory;boltzmann distribution;hep-lat,sampler;normalizing flow,,effective sample,20,include,domain and sampling-method gates passed,https://arxiv.org/abs/2607.07127,https://arxiv.org/pdf/2607.07127v1,raw/arxiv/Q05.xml
40,arxiv:2607.12587,2607.12587,Lattice Configuration Generation with a Self-Learning Diffusion Model,Akio Tomiya,2026-07-14T09:58:51Z,hep-lat,Q16,evaluation,Q16:1,pass,pass,pass,hep-lat,sampler;monte carlo;diffusion;metropolis,,autocorrelation;exact;hybrid monte carlo,20,include,domain and sampling-method gates passed,https://arxiv.org/abs/2607.12587,https://arxiv.org/pdf/2607.12587v1,raw/arxiv/Q16.xml
41,arxiv:2504.01575,2504.01575,Fully ergodic simulations using radial updates,Finn L. Temmen; Evan Berkowitz; Anthony Kennedy; Thomas Luu; Johann Ostmeyer; Xinhao Yu,2025-04-02T10:28:49Z,cond-mat.str-el,Q16,evaluation,Q16:15,pass,pass,pass,hep-lat,sampling;monte carlo;metropolis,,autocorrelation;exact;bias;hmc;hybrid monte carlo,19,include,domain and sampling-method gates passed,https://arxiv.org/abs/2504.01575,https://arxiv.org/pdf/2504.01575v2,raw/arxiv/Q16.xml
42,arxiv:2511.15196,2511.15196,Particle Monte Carlo methods for Lattice Field Theory,David Yallup,2025-11-19T07:31:46Z,stat.ML,Q04,domain,Q04:2,pass,pass,pass,lattice field theory;hep-lat,sampling;sampler;monte carlo,,variance,19,include,domain and sampling-method gates passed,https://arxiv.org/abs/2511.15196,https://arxiv.org/pdf/2511.15196v1,raw/arxiv/Q04.xml
43,arxiv:2512.19877,2512.19877,Spectral Diffusion for Sampling on ${\rm SU}(N)$,Gurtej Kanwar; Octavio Vega,2025-12-22T21:03:47Z,hep-lat,Q10,diffusion,Q10:3,pass,pass,pass,lattice field theory;hep-lat,sampling;generative;diffusion,,bias,19,include,domain and sampling-method gates passed,https://arxiv.org/abs/2512.19877,https://arxiv.org/pdf/2512.19877v1,raw/arxiv/Q10.xml
44,arxiv:2304.01798,2304.01798,Locality-constrained autoregressive cum conditional normalizing flow for lattice field theory simulations,Dinesh P. R.,2023-04-04T13:55:51Z,hep-lat,Q05;Q16,evaluation;normalizing_flow,Q05:29;Q16:28,pass,pass,pass,lattice field theory;hep-lat,sampling;normalizing flow,,autocorrelation;variance,18,include,domain and sampling-method gates passed,https://arxiv.org/abs/2304.01798,https://arxiv.org/pdf/2304.01798v1,raw/arxiv/Q05.xml;raw/arxiv/Q16.xml
45,arxiv:2309.14983,2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2023-09-26T14:56:46Z,hep-lat,Q05;Q06,normalizing_flow;stochastic_flow,Q05:27;Q06:11,pass,pass,pass,hep-lat,sampling;monte carlo;normalizing flow;generative,,,18,include,domain and sampling-method gates passed,https://arxiv.org/abs/2309.14983,https://arxiv.org/pdf/2309.14983v1,raw/arxiv/Q05.xml;raw/arxiv/Q06.xml
46,arxiv:2505.10553,2505.10553,Flowing Through Hilbert Space: Quantum-Enhanced Generative Models for Lattice Field Theory,Jehu Martinez; Andrea Delgado,2025-05-15T17:58:16Z,quant-ph,Q05,normalizing_flow,Q05:13,pass,pass,pass,lattice field theory;hep-lat,sampling;normalizing flow;generative,,,18,include,domain and sampling-method gates passed,https://arxiv.org/abs/2505.10553,https://arxiv.org/pdf/2505.10553v2,raw/arxiv/Q05.xml
47,arxiv:2509.23945,2509.23945,Tensor Network Markov Chain Monte Carlo: Efficient Sampling of Three-Dimensional Spin Glasses and Beyond,Tao Chen; Jing Liu; Youjin Deng; Pan Zhang,2025-09-28T15:47:45Z,cond-mat.stat-mech,Q11;Q16,critical_slowing;evaluation,Q11:22;Q16:11,pass,pass,pass,boltzmann distribution,sampling;monte carlo;mcmc,,critical slowing;autocorrelation;bias,18,include,domain and sampling-method gates passed,https://arxiv.org/abs/2509.23945,https://arxiv.org/pdf/2509.23945v1,raw/arxiv/Q11.xml;raw/arxiv/Q16.xml
48,arxiv:2309.15480,2309.15480,Entanglement entropy from non-equilibrium lattice simulations,Andrea Bulgarelli; Marco Panero,2023-09-27T08:22:47Z,hep-lat,Q12,jarzynski,Q12:11,pass,pass,pass,hep-lat;ising model,monte carlo,non-equilibrium;jarzynski,exact,17,include,domain and sampling-method gates passed,https://arxiv.org/abs/2309.15480,https://arxiv.org/pdf/2309.15480v1,raw/arxiv/Q12.xml
