route_id,round,family,facet,query_type,expression,url,retrieved_at_utc,http_status,status,bytes,sha256,raw_file,error_file
P02,L1,root_reference_hypothesis,identifier_probe,id_list,2111.15141,https://export.arxiv.org/api/query?id_list=2111.15141&max_results=1,2026-07-16T09:47:53Z,200,OK,    2681,690de37e77b87b2dfc3868efc960d1af7b15a78b968cffb9ba492a05d19353f1,raw/arxiv/P02.xml,raw/arxiv/P02.curl.stderr.txt
P03,L1,root_reference_hypothesis,identifier_probe,id_list,2201.08862,https://export.arxiv.org/api/query?id_list=2201.08862&max_results=1,2026-07-16T09:47:57Z,200,OK,    2814,8788e5cfddf75461a6db6272f9436ddd94a9bc55248726889bd781ef1b494b91,raw/arxiv/P03.xml,raw/arxiv/P03.curl.stderr.txt
P04,L1,root_reference_hypothesis,identifier_probe,id_list,2210.03139,https://export.arxiv.org/api/query?id_list=2210.03139&max_results=1,2026-07-16T09:48:00Z,200,OK,    2239,22310e23bd340864d2d41d98d326012fd5c72244398cc2faf09ad9058f48401c,raw/arxiv/P04.xml,raw/arxiv/P04.curl.stderr.txt
P05,L1,root_reference_hypothesis,identifier_probe,id_list,1904.12072,https://export.arxiv.org/api/query?id_list=1904.12072&max_results=1,2026-07-16T09:48:04Z,200,OK,    2787,aa089d20ebc92241abc394aa67c3ee3aa087e0fa937f28d50876d5d056a1b0d1,raw/arxiv/P05.xml,raw/arxiv/P05.curl.stderr.txt
P06,L1,root_reference_hypothesis,identifier_probe,id_list,2003.06413,https://export.arxiv.org/api/query?id_list=2003.06413&max_results=1,2026-07-16T09:48:07Z,200,OK,    2655,36b0434d5b22350fc5b604ae8f9ee964b7242fd0017400da218445d20cf1ce50,raw/arxiv/P06.xml,raw/arxiv/P06.curl.stderr.txt
P07,L1,root_reference_hypothesis,identifier_probe,id_list,2101.08176,https://export.arxiv.org/api/query?id_list=2101.08176&max_results=1,2026-07-16T09:48:10Z,200,OK,    2641,3d8bc7dacc01f85156260efed73344319a56f2cb35b1bff2ac31f3885ba0fe63,raw/arxiv/P07.xml,raw/arxiv/P07.curl.stderr.txt
P08,L3,author_context,identifier_probe,id_list,2512.19575,https://export.arxiv.org/api/query?id_list=2512.19575&max_results=1,2026-07-16T09:48:14Z,200,OK,    2669,36163af2ea521cf88ac98f15500c6655c07073ac96fa1bbe6cae0956916eff84,raw/arxiv/P08.xml,raw/arxiv/P08.curl.stderr.txt
P09,L3,author_context,identifier_probe,id_list,2605.11199,https://export.arxiv.org/api/query?id_list=2605.11199&max_results=1,2026-07-16T09:48:17Z,200,OK,    2848,6bc9afce934e28e4e44733865ec2afeb47e39c57219bd72a6a12081d98bb9f40,raw/arxiv/P09.xml,raw/arxiv/P09.curl.stderr.txt
P10,L4,forward_neighbor,identifier_probe,id_list,2607.08505,https://export.arxiv.org/api/query?id_list=2607.08505&max_results=1,2026-07-16T09:48:20Z,200,OK,    3181,378c405330e0dfa759698095b263150cbeac42ba1fea047a25fe8ca191f1cc55,raw/arxiv/P10.xml,raw/arxiv/P10.curl.stderr.txt
P11,L2,adjacent_hypothesis,identifier_probe,id_list,2211.01364,https://export.arxiv.org/api/query?id_list=2211.01364&max_results=1,2026-07-16T09:48:24Z,200,OK,    2824,70d4ee8c94ee77ee0fd1ebe1a463b9f16551d2e8d0e2e5f6df55a1203d0c969e,raw/arxiv/P11.xml,raw/arxiv/P11.curl.stderr.txt
P12,L2,adjacent_hypothesis,identifier_probe,id_list,2302.13834,https://export.arxiv.org/api/query?id_list=2302.13834&max_results=1,2026-07-16T09:48:27Z,200,OK,    2985,6b9e5beb64147117cbc0a3c2d3ff965b3013ff676d9a8023b6c358745ff795c6,raw/arxiv/P12.xml,raw/arxiv/P12.curl.stderr.txt
Q19,L5,correction,exactness,search,"all:""independence Metropolis"" AND all:lattice",https://export.arxiv.org/api/query?search_query=all%3A%22independence+Metropolis%22+AND+all%3Alattice&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T10:07:11Z,200,OK,    9511,c4079508039ab052214c7d8b9582c8cda34ea7970263127993978256f6146b7a,expansion/raw/arxiv/Q19.xml,expansion/raw/arxiv/Q19.curl.stderr.txt
Q20,L6,path_lattice,mechanism,search,"all:""path space"" AND all:""lattice field theory""",https://export.arxiv.org/api/query?search_query=all%3A%22path+space%22+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T10:07:15Z,200,OK,    3227,4f926b6f2867d64305aeed4ed7a1ce91353d7e650cdfc52d831812a8b347e47f,expansion/raw/arxiv/Q20.xml,expansion/raw/arxiv/Q20.curl.stderr.txt
Q21,L7,stochastic_quantization,mechanism,search,"all:""stochastic quantization"" AND all:""lattice field theory""",https://export.arxiv.org/api/query?search_query=all%3A%22stochastic+quantization%22+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T10:07:18Z,200,OK,   11921,b303cc0ab001bde7f2d924f8221f6bf69bc432f3bdb55050e0ded60aa29995dc,expansion/raw/arxiv/Q21.xml,expansion/raw/arxiv/Q21.curl.stderr.txt
Q22,L8,topology,problem,search,"all:""topological freezing"" AND all:""normalizing flow""",https://export.arxiv.org/api/query?search_query=all%3A%22topological+freezing%22+AND+all%3A%22normalizing+flow%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T10:07:22Z,200,OK,   19123,cb555136cdec0837ceb47206d18021aecb38d400fface8bf16986dabff2b6151,expansion/raw/arxiv/Q22.xml,expansion/raw/arxiv/Q22.curl.stderr.txt
Q23,L9,multiscale,scaling,search,"all:multilevel AND all:""lattice field theory""",https://export.arxiv.org/api/query?search_query=all%3Amultilevel+AND+all%3A%22lattice+field+theory%22&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T10:07:25Z,200,OK,   31326,e5a9aed8a533bf99c755529190794b70515612792b901935deef9cfe691958a1,expansion/raw/arxiv/Q23.xml,expansion/raw/arxiv/Q23.curl.stderr.txt
Q24,L10,author,author_lineage,search,au:Lucini_B AND all:sampling,https://export.arxiv.org/api/query?search_query=au%3ALucini_B+AND+all%3Asampling&start=0&max_results=30&sortBy=submittedDate&sortOrder=descending,2026-07-16T10:07:29Z,200,OK,     738,56af8824e72d7a226e58b5d788859ea64223b4b2a8254576978e406f42af2c85,expansion/raw/arxiv/Q24.xml,expansion/raw/arxiv/Q24.curl.stderr.txt
