paper_id,arxiv_id,title,authors,published,version,family,target_level,source_relation,source_url,pdf_url,pdf_path,text_path,pdf_pages,pdf_sha256,metadata_title_match,full_text_integrity,full_text_read,evidence_level
P011,2302.14082,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,Kim A. Nicoli; Christopher J. Anders; Tobias Hartung; Karl Jansen; Pan Kessel; Shinichi Nakajima,2023-02-27T19:00:22Z,v2,failure_mode,C3,Mode-collapse detection and mitigation in lattice flow sampling.,https://arxiv.org/abs/2302.14082,https://arxiv.org/pdf/2302.14082v2,sources/pdfs/2302.14082.pdf,sources/text/2302.14082.txt,19,f9407626519a0d4eeb4237e35bb4e20d9e4c5495233ef047f3becac439ef4ec6,PASS,PASS,C3_pass,C3_full_text
P012,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-09-29T09:26:59Z,v2,diffusion_lattice,C4,Diffusion and stochastic-quantization branch in lattice phi4.,https://arxiv.org/abs/2309.17082,https://arxiv.org/pdf/2309.17082v2,sources/pdfs/2309.17082.pdf,sources/text/2309.17082.txt,31,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,PASS,PASS,C3_pass,C4_claim_anchored
P013,2310.11979,Out-of-equilibrium simulations to fight topological freezing,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2023-10-18T14:07:43Z,v1,nonequilibrium_lattice,C4,Nonequilibrium evaluation branch for topological freezing.,https://arxiv.org/abs/2310.11979,https://arxiv.org/pdf/2310.11979v1,sources/pdfs/2310.11979.pdf,sources/text/2310.11979.txt,9,e6025298d818d5071c1cdcd1c9c5761f963ab5e230208c31de55963c6fcdd90a,PASS,PASS,C3_pass,C4_claim_anchored
P014,2311.03578,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023-11-06T22:24:28Z,v1,diffusion_lattice,C3,Generative diffusion lattice precursor.,https://arxiv.org/abs/2311.03578,https://arxiv.org/pdf/2311.03578v1,sources/pdfs/2311.03578.pdf,sources/text/2311.03578.txt,6,bf6e772c236bcaec0901f01be734f24914bf66d9380cd2ed7ddf9c3635c4b3df,PASS,PASS,C3_pass,C3_full_text
P015,2402.06561,Mitigating topological freezing using out-of-equilibrium simulations,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2024-02-09T17:21:04Z,v2,nonequilibrium_lattice,C4,Follow-up topological-freezing evaluation route.,https://arxiv.org/abs/2402.06561,https://arxiv.org/pdf/2402.06561v2,sources/pdfs/2402.06561.pdf,sources/text/2402.06561.txt,28,f7441e1c1daf7a6f053e027ed49095e5c2df916600070b7cbe0b26877b3e7816,PASS,PASS,C3_pass,C4_claim_anchored
P016,2404.09723,Minimal Autocorrelation in Hybrid Monte Carlo simulations using Exact Fourier Acceleration,Johann Ostmeyer; Pavel Buividovich,2024-04-15T12:26:37Z,v3,evaluation,C3,Autocorrelation baseline and exact Fourier-acceleration context.,https://arxiv.org/abs/2404.09723,https://arxiv.org/pdf/2404.09723v3,sources/pdfs/2404.09723.pdf,sources/text/2404.09723.txt,23,cbce966d82bba76c90c7963fa18b8fa2b6b74b192bc4e043fb8bcc8ae5968eac,PASS,PASS,C3_pass,C3_full_text
P017,2412.00200,Scaling of Stochastic Normalizing Flows in $\mathrm{SU}(3)$ lattice gauge theory,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024-11-29T19:01:05Z,v3,stochastic_flow,C3,Scaling evidence in SU3 stochastic normalizing flows.,https://arxiv.org/abs/2412.00200,https://arxiv.org/pdf/2412.00200v3,sources/pdfs/2412.00200.pdf,sources/text/2412.00200.txt,15,6c672c0a654ced72f71c7adaf195cb0e6218460d6c0a3cfa687b45c9eae79730,PASS,PASS,C3_pass,C3_full_text
P018,2512.19575,Variational Autoregressive Networks Applied to $φ^4$ Field Theory Systems,Moxian Qian; Shiyang Chen,2025-12-22T16:57:06Z,v1,autoregressive_lattice,C4,Recent variational-autoregressive phi4 comparison family.,https://arxiv.org/abs/2512.19575,https://arxiv.org/pdf/2512.19575v1,sources/pdfs/2512.19575.pdf,sources/text/2512.19575.txt,24,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,PASS,PASS,C3_pass,C4_claim_anchored
P019,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026-04-11T13:35:19Z,v1,critical_sampling,C4,Current criticality and scalable generative sampling comparison.,https://arxiv.org/abs/2604.10209,https://arxiv.org/pdf/2604.10209v1,sources/pdfs/2604.10209.pdf,sources/text/2604.10209.txt,15,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,PASS,PASS,C3_pass,C4_claim_anchored
P020,2605.11199,Operator Spectroscopy of Trained Lattice Samplers,Moxian Qian,2026-05-11T20:06:15Z,v1,author_context,C4,Current author-context sampler-mechanism diagnostic.,https://arxiv.org/abs/2605.11199,https://arxiv.org/pdf/2605.11199v1,sources/pdfs/2605.11199.pdf,sources/text/2605.11199.txt,26,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96,PASS,PASS,C3_pass,C4_claim_anchored
P021,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan; Gert Aarts; Diaa E. Habibi; Biagio Lucini; Lingxiao Wang,2026-07-09T14:00:29Z,v1,forward_neighbor,C4,Current near-critical diffusion benchmark and diagnostics.,https://arxiv.org/abs/2607.08505,https://arxiv.org/pdf/2607.08505v1,sources/pdfs/2607.08505.pdf,sources/text/2607.08505.txt,39,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572,PASS,PASS,C3_pass,C4_claim_anchored
