ref_no,bibkey,authors,year,title,venue,doi,arxiv_id,url,citation_line,root_context,screening_decision,facet,screening_reason,primary_source_status,full_text_status,notes
11,Qian:2025VANphi4,"Qian, Moxian and Chen, Shiyang",2025,Variational Autoregressive Networks Applied to $\phi^4$ Field Theory Systems,,10.48550/arXiv.2512.19575,2512.19575,,72,"Variational free‑energy based training models include normalizing flows (NFs) \cite{rezende2015variational}, continuous normalizing flows (CNFs) \cite{chen2018neural} and autoregressive networks~\cite{Wu:2019elz,Wang:2020hji}. NFs have been used to generate lattice field configurations in scalar \cite{Albergo_2019,Nicoli:2020njz}, fermionic \cite{albergo2021flow} and gauge theories \cite{Kanwar_2020,Boyda_2021,Albergo_2022}. Related variational autoregressive approaches have also been explored for scalar $\phi^4$ theory \cite{Qian:2025VANphi4}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
12,Gerdes_2023,"Gerdes, Mathis and de Haan, Pim and Rainone, Corrado and Bondesan, Roberto and Cheng, Miranda C. N.",2023,Learning lattice quantum field theories with equivariant continuous flows,SciPost Phys.,10.21468/SciPostPhys.15.6.238,2207.00283,,73,"CNFs are based on a single neural ODE layer with specially designed basis functions \cite{Gerdes_2023, dehaan2021scalingmachinelearningquantum}, yielding a higher effective sample size (ESS) in $\phi^4$ theory.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
13,dehaan2021scalingmachinelearningquantum,Pim de Haan and Corrado Rainone and Miranda C. N. Cheng and Roberto Bondesan,2021,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,,,2110.02673,https://arxiv.org/abs/2110.02673,73,"CNFs are based on a single neural ODE layer with specially designed basis functions \cite{Gerdes_2023, dehaan2021scalingmachinelearningquantum}, yielding a higher effective sample size (ESS) in $\phi^4$ theory.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
14,Chen:2025kfo,"Chen, Shi-Yang and Aarts, Gert and Lucini, Biagio",2025,Exploring Generative Networks for Manifolds with Non-Trivial Topology,PoS,10.22323/1.466.0042,2502.02127,https://arxiv.org/abs/2502.02127,74,"However, when the target distribution has nontrivial topological structure (such as multiple rings, multimodal peaks, or multiple topological sectors), the connected manifold output by the network struggles to cover the entire support set, easily leading to mode collapse \cite{Chen:2025kfo,hackett2025flowbasedsamplingmultimodalextendedmode}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
15,hackett2025flowbasedsamplingmultimodalextendedmode,Daniel C. Hackett and Chung-Chun Hsieh and Sahil Pontula and Michael S. Albergo and Denis Boyda and Jiunn-Wei Chen and Kai-Feng Chen and Kyle Cranmer and Gurtej Kanwar and Phiala E. Shanahan,2025,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,,,2107.00734,https://arxiv.org/abs/2107.00734,74,"However, when the target distribution has nontrivial topological structure (such as multiple rings, multimodal peaks, or multiple topological sectors), the connected manifold output by the network struggles to cover the entire support set, easily leading to mode collapse \cite{Chen:2025kfo,hackett2025flowbasedsamplingmultimodalextendedmode}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
16,Chen:2022ytr,"Chen, Shile and Savchuk, Oleh and Zheng, Shiqi and Chen, Baoyi and Stoecker, Horst and Wang, Lingxiao and Zhou, Kai",2023,Fourier-flow model generating Feynman paths,Phys. Rev. D,10.1103/PhysRevD.107.056001,2211.03470,,75,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues. Relatedly, Fourier-parameterized flow models have been investigated to better respect periodic structure and alleviate multimodal sampling difficulties in path-integral settings, e.g., by introducing Fourier transforms into the flow to generate Feynman paths under periodic conditions \cite{Chen:2022ytr,Zhou:2023pti}. Stochastic normalizing flows \cite{wu2020stochastic,Caselle_2022} include Langevin diffusion steps into NFs, to address topology problems \cite{caselle2022stochasticnormalizingflowslattice, caselle2025stochasticnormalizingflowseffective,Caselle_2025}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
17,Zhou:2023pti,"Zhou, Kai and Wang, Lingxiao and Pang, Long-Gang and Shi, Shuzhe",2024,Exploring QCD matter in extreme conditions with Machine Learning,Prog. Part. Nucl. Phys.,10.1016/j.ppnp.2023.104084,2303.15136,,75,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues. Relatedly, Fourier-parameterized flow models have been investigated to better respect periodic structure and alleviate multimodal sampling difficulties in path-integral settings, e.g., by introducing Fourier transforms into the flow to generate Feynman paths under periodic conditions \cite{Chen:2022ytr,Zhou:2023pti}. Stochastic normalizing flows \cite{wu2020stochastic,Caselle_2022} include Langevin diffusion steps into NFs, to address topology problems \cite{caselle2022stochasticnormalizingflowslattice, caselle2025stochasticnormalizingflowseffective,Caselle_2025}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
18,wu2020stochastic,"Wu, Hao and K\""ohler, Jonas and Noe, Frank",2020,Stochastic Normalizing Flows,Advances in Neural Information Processing Systems,,,https://proceedings.neurips.cc/paper\_files/paper/2020/file/41d80bfc327ef980528426fc810a6d7a-Paper.pdf,75,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues. Relatedly, Fourier-parameterized flow models have been investigated to better respect periodic structure and alleviate multimodal sampling difficulties in path-integral settings, e.g., by introducing Fourier transforms into the flow to generate Feynman paths under periodic conditions \cite{Chen:2022ytr,Zhou:2023pti}. Stochastic normalizing flows \cite{wu2020stochastic,Caselle_2022} include Langevin diffusion steps into NFs, to address topology problems \cite{caselle2022stochasticnormalizingflowslattice, caselle2025stochasticnormalizingflowseffective,Caselle_2025}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
19,Caselle_2022,"Caselle, Michele and Cellini, Elia and Nada, Alessandro and Panero, Marco",2022,Stochastic normalizing flows as non-equilibrium transformations,JHEP,10.1007/JHEP07(2022)015,2201.08862,,75,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues. Relatedly, Fourier-parameterized flow models have been investigated to better respect periodic structure and alleviate multimodal sampling difficulties in path-integral settings, e.g., by introducing Fourier transforms into the flow to generate Feynman paths under periodic conditions \cite{Chen:2022ytr,Zhou:2023pti}. Stochastic normalizing flows \cite{wu2020stochastic,Caselle_2022} include Langevin diffusion steps into NFs, to address topology problems \cite{caselle2022stochasticnormalizingflowslattice, caselle2025stochasticnormalizingflowseffective,Caselle_2025}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
20,caselle2022stochasticnormalizingflowslattice,"Caselle, Michele and Cellini, Elia and Nada, Alessandro and Panero, Marco",2023,Stochastic normalizing flows for lattice field theory,PoS,10.22323/1.430.0005,2210.03139,,75,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues. Relatedly, Fourier-parameterized flow models have been investigated to better respect periodic structure and alleviate multimodal sampling difficulties in path-integral settings, e.g., by introducing Fourier transforms into the flow to generate Feynman paths under periodic conditions \cite{Chen:2022ytr,Zhou:2023pti}. Stochastic normalizing flows \cite{wu2020stochastic,Caselle_2022} include Langevin diffusion steps into NFs, to address topology problems \cite{caselle2022stochasticnormalizingflowslattice, caselle2025stochasticnormalizingflowseffective,Caselle_2025}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
21,caselle2025stochasticnormalizingflowseffective,Michele Caselle and Elia Cellini and Alessandro Nada,2025,Stochastic normalizing flows for Effective String Theory,,,2412.19109,https://arxiv.org/abs/2412.19109,75,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues. Relatedly, Fourier-parameterized flow models have been investigated to better respect periodic structure and alleviate multimodal sampling difficulties in path-integral settings, e.g., by introducing Fourier transforms into the flow to generate Feynman paths under periodic conditions \cite{Chen:2022ytr,Zhou:2023pti}. Stochastic normalizing flows \cite{wu2020stochastic,Caselle_2022} include Langevin diffusion steps into NFs, to address topology problems \cite{caselle2022stochasticnormalizingflowslattice, caselle2025stochasticnormalizingflowseffective,Caselle_2025}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
22,Caselle_2025,"Caselle, Michele and Cellini, Elia and Nada, Alessandro",2025,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,JHEP,10.1007/JHEP02(2025)090,2409.15937,,75,"Therefore, a gauge equivariant neural network architecture or a special kernel basis needs to be introduced to address topological issues. Relatedly, Fourier-parameterized flow models have been investigated to better respect periodic structure and alleviate multimodal sampling difficulties in path-integral settings, e.g., by introducing Fourier transforms into the flow to generate Feynman paths under periodic conditions \cite{Chen:2022ytr,Zhou:2023pti}. Stochastic normalizing flows \cite{wu2020stochastic,Caselle_2022} include Langevin diffusion steps into NFs, to address topology problems \cite{caselle2022stochasticnormalizingflowslattice, caselle2025stochasticnormalizingflowseffective,Caselle_2025}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
23,Zhou:2018ill,"Zhou, Kai and Endr\Hodi, Gergely and Pang, Long-Gang and St\""ocker, Horst",2019,Regressive and generative neural networks for scalar field theory,Phys. Rev. D,10.1103/PhysRevD.100.011501,1810.12879,,79,"Data‑driven training models mainly consist of generative adversarial networks (GAN) \cite{Zhou:2018ill} and diffusion/score‑based models (DMs) \cite{song2019generative}. GANs usually suffer from training instability since the adversarial training over two competing neural networks. DMs are based on Langevin dynamics and supervised training. In LFT, they have been used in $\phi^4$ \cite{Wang:2023exq}, $U(1)$ gauge theory \cite{Zhu:2025pmw,Vega:2025hgz}, non-abelian gauge theories",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
24,song2019generative,"Song, Yang and Ermon, Stefano",2019,Generative Modeling by Estimating Gradients of the Data Distribution,Advances in Neural Information Processing Systems,,,https://papers.nips.cc/paper/2019/hash/3001ef257407d5a371a96dcd947c7d93-Abstract.html,79,"Data‑driven training models mainly consist of generative adversarial networks (GAN) \cite{Zhou:2018ill} and diffusion/score‑based models (DMs) \cite{song2019generative}. GANs usually suffer from training instability since the adversarial training over two competing neural networks. DMs are based on Langevin dynamics and supervised training. In LFT, they have been used in $\phi^4$ \cite{Wang:2023exq}, $U(1)$ gauge theory \cite{Zhu:2025pmw,Vega:2025hgz}, non-abelian gauge theories",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
25,Wang:2023exq,"Wang, Lingxiao and Aarts, Gert and Zhou, Kai",2024,Diffusion models as stochastic quantization in lattice field theory,Journal of High Energy Physics,10.1007/JHEP05(2024)060,2309.17082,https://link.springer.com/article/10.1007/JHEP05(2024)060,79,"Data‑driven training models mainly consist of generative adversarial networks (GAN) \cite{Zhou:2018ill} and diffusion/score‑based models (DMs) \cite{song2019generative}. GANs usually suffer from training instability since the adversarial training over two competing neural networks. DMs are based on Langevin dynamics and supervised training. In LFT, they have been used in $\phi^4$ \cite{Wang:2023exq}, $U(1)$ gauge theory \cite{Zhu:2025pmw,Vega:2025hgz}, non-abelian gauge theories",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
26,Zhu:2025pmw,"Zhu, Qianteng and Aarts, Gert and Wang, Wei and Zhou, Kai and Wang, Lingxiao",2026,Physics-conditioned diffusion models for lattice gauge theory,JHEP,10.1007/JHEP03(2026)111,2502.05504,,79,"Data‑driven training models mainly consist of generative adversarial networks (GAN) \cite{Zhou:2018ill} and diffusion/score‑based models (DMs) \cite{song2019generative}. GANs usually suffer from training instability since the adversarial training over two competing neural networks. DMs are based on Langevin dynamics and supervised training. In LFT, they have been used in $\phi^4$ \cite{Wang:2023exq}, $U(1)$ gauge theory \cite{Zhu:2025pmw,Vega:2025hgz}, non-abelian gauge theories",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
27,Vega:2025hgz,"Vega, Octavio and Komijani, Javad and El-Khadra, Aida and Marinkovic, Marina",2025,Group-Equivariant Diffusion Models for Lattice Field Theory,,,2510.26081,https://arxiv.org/abs/2510.26081,79,"Data‑driven training models mainly consist of generative adversarial networks (GAN) \cite{Zhou:2018ill} and diffusion/score‑based models (DMs) \cite{song2019generative}. GANs usually suffer from training instability since the adversarial training over two competing neural networks. DMs are based on Langevin dynamics and supervised training. In LFT, they have been used in $\phi^4$ \cite{Wang:2023exq}, $U(1)$ gauge theory \cite{Zhu:2025pmw,Vega:2025hgz}, non-abelian gauge theories",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
28,Aarts:2026zzr,"Aarts, Gert and Habibi, Diaa E. and Ipp, Andreas and M\""uller, David I. and Ranner, Thomas R. and Wang, Lingxiao and Wang, Wei and Zhu, Qianteng",2026,Generalizable Equivariant Diffusion Models for Non-Abelian Lattice Gauge Theory,,,2601.19552,,80,"\cite{Aarts:2026zzr,Alharazin:2026lcb,Komijani:2026lan},",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
29,Alharazin:2026lcb,"Alharazin, H. and Panteleeva, J. Yu. and Sun, B. -D.",2026,Diffusion Models for SU(2) Lattice Gauge Theory in Two Dimensions,,,2602.09045,,80,"\cite{Aarts:2026zzr,Alharazin:2026lcb,Komijani:2026lan},",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
30,Komijani:2026lan,"Komijani, Javad and Marinkovic, Marina K. and Turgut, Lara",2026,Diffusion model for SU(N) gauge theories,,,2605.06134,,80,"\cite{Aarts:2026zzr,Alharazin:2026lcb,Komijani:2026lan},",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
31,Aarts:2025lpi,"Aarts, Gert and Habibi, Diaa E. and Wang, Lingxiao and Zhou, Kai",2025,Combining complex Langevin dynamics with score-based and energy-based diffusion models,JHEP,10.1007/JHEP12(2025)160,2510.01328,,81,"and also for data generated from complex-valued distributions \cite{Aarts:2025lpi}. These methods often rely on labeled samples for supervised training and can serve as amortized samplers (training is expensive, but sampling is cheap) in physical applications, trained on reference samples in a supervised manner.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
32,Qian:2026OperatorSpectroscopy,"Qian, Moxian",2026,Operator Spectroscopy of Trained Lattice Samplers,,10.48550/arXiv.2605.11199,2605.11199,,84,\cite{Qian:2026OperatorSpectroscopy}.,include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
33,zhang2022pathintegralsamplerstochastic,"Zhang, Qinsheng and Chen, Yongxin",2022,Path Integral Sampler: a stochastic control approach for sampling,International Conference on Learning Representations (ICLR),,2111.15141,,86,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler \cite{zhang2022pathintegralsamplerstochastic}, Denoising Diffusion Samplers \cite{vargas2023denoisingdiffusionsamplers}, optimal-control formulations of diffusion-based generative modeling \cite{berner2024optimalcontrolperspectivediffusionbased,richter2024improvedsamplinglearneddiffusions}, Controlled Monte Carlo Diffusions \cite{vargas2025transportmeetsvariationalinference}, which, like the present work, learn both the forward and the backward drifts, and non-equilibrium transport samplers \cite{Albergo:2024trn}. The present work can be viewed as a stochastic-quantization-inspired adaptation of this family of path-space variational samplers to lattice field theory, with exactness restored by a trajectory-level Independence Metropolis--Hastings correction.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
