operation_id,epoch,channel,method,query_or_url,outcome,result_count,bytes,artifact,note
D016,1783918025,arXiv,GET,reuse current-run verified PDF,success,1,1017965,sources/pdfs/2003.06413.pdf,2003.06413
D017,1783918026,arXiv,GET,reuse current-run verified PDF,success,1,632146,sources/pdfs/2202.11712.pdf,2202.11712
D018,1783918027,arXiv,GET,reuse current-run verified PDF,success,1,2179747,sources/pdfs/2110.02673.pdf,2110.02673
D019,1783918027,arXiv,GET,reuse current-run verified PDF,success,1,618576,sources/pdfs/2007.07115.pdf,2007.07115
D020,1783918028,arXiv,GET,reuse current-run verified PDF,success,1,6423415,sources/pdfs/2501.07371.pdf,2501.07371
D021,1783918029,arXiv,GET,reuse current-run verified PDF,success,1,1193260,sources/pdfs/2101.08176.pdf,2101.08176
D022,1783918030,arXiv,GET,reuse current-run verified PDF,success,1,916261,sources/pdfs/2409.15937.pdf,2409.15937
D023,1783918031,arXiv,GET,reuse current-run verified PDF,success,1,1505787,sources/pdfs/2512.19575.pdf,2512.19575
D024,1783918032,arXiv,GET,reuse current-run verified PDF,success,1,1135876,sources/pdfs/2207.00283.pdf,2207.00283
D025,1783918032,arXiv,GET,reuse current-run verified PDF,success,1,2697648,sources/pdfs/2107.00734.pdf,2107.00734
D026,1783918033,arXiv,GET,reuse current-run verified PDF,success,1,2207179,sources/pdfs/2211.03470.pdf,2211.03470
D027,1783918034,arXiv,GET,reuse current-run verified PDF,success,1,514936,sources/pdfs/2412.19109.pdf,2412.19109
D028,1783918035,arXiv,GET,reuse current-run verified PDF,success,1,1206687,sources/pdfs/1810.12879.pdf,1810.12879
D029,1783918036,arXiv,GET,reuse current-run verified PDF,success,1,639704,sources/pdfs/2409.18861.pdf,2409.18861
D030,1783918037,arXiv,GET,reuse current-run verified PDF,success,1,1052874,sources/pdfs/2211.07541.pdf,2211.07541
D001,1783918542,arXiv,GET,reuse current-run verified PDF,success,1,2263775,sources/pdfs/2606.13790.pdf,2606.13790
D002,1783918543,arXiv,GET,reuse current-run verified PDF,success,1,2713763,sources/pdfs/2111.15141.pdf,2111.15141
D003,1783918544,arXiv,GET,reuse current-run verified PDF,success,1,4179526,sources/pdfs/2302.13834.pdf,2302.13834
D004,1783918544,arXiv,GET,reuse current-run verified PDF,success,1,3598216,sources/pdfs/2307.01050.pdf,2307.01050
D005,1783918545,arXiv,GET,reuse current-run verified PDF,success,1,2113233,sources/pdfs/2410.02711.pdf,2410.02711
D006,1783918546,arXiv,GET,reuse current-run verified PDF,success,1,622586,sources/pdfs/2210.03139.pdf,2210.03139
D007,1783918547,arXiv,GET,reuse current-run verified PDF,success,1,899741,sources/pdfs/2201.08862.pdf,2201.08862
D008,1783918548,arXiv,GET,reuse current-run verified PDF,success,1,525815,sources/pdfs/2309.14983.pdf,2309.14983
D009,1783918549,arXiv,GET,reuse current-run verified PDF,success,1,884944,sources/pdfs/1904.12072.pdf,1904.12072
D010,1783918550,arXiv,GET,reuse current-run verified PDF,success,1,1246772,sources/pdfs/2604.10209.pdf,2604.10209
D011,1783918550,arXiv,GET,reuse current-run verified PDF,success,1,1323300,sources/pdfs/2106.05934.pdf,2106.05934
D012,1783918551,arXiv,GET,reuse current-run verified PDF,success,1,2275916,sources/pdfs/2311.03578.pdf,2311.03578
D013,1783918552,arXiv,GET,reuse current-run verified PDF,success,1,3038787,sources/pdfs/2502.05504.pdf,2502.05504
D014,1783918553,arXiv,GET,reuse current-run verified PDF,success,1,411656,sources/pdfs/2510.21330.pdf,2510.21330
D015,1783918554,arXiv,GET,reuse current-run verified PDF,success,1,2425612,sources/pdfs/2605.06134.pdf,2605.06134
D016,1783918555,arXiv,GET,reuse current-run verified PDF,success,1,1017965,sources/pdfs/2003.06413.pdf,2003.06413
D017,1783918556,arXiv,GET,reuse current-run verified PDF,success,1,632146,sources/pdfs/2202.11712.pdf,2202.11712
D018,1783918556,arXiv,GET,reuse current-run verified PDF,success,1,2179747,sources/pdfs/2110.02673.pdf,2110.02673
D019,1783918557,arXiv,GET,reuse current-run verified PDF,success,1,618576,sources/pdfs/2007.07115.pdf,2007.07115
D020,1783918558,arXiv,GET,reuse current-run verified PDF,success,1,6423415,sources/pdfs/2501.07371.pdf,2501.07371
D021,1783918559,arXiv,GET,reuse current-run verified PDF,success,1,1193260,sources/pdfs/2101.08176.pdf,2101.08176
D022,1783918560,arXiv,GET,reuse current-run verified PDF,success,1,916261,sources/pdfs/2409.15937.pdf,2409.15937
D023,1783918561,arXiv,GET,reuse current-run verified PDF,success,1,1505787,sources/pdfs/2512.19575.pdf,2512.19575
D024,1783918562,arXiv,GET,reuse current-run verified PDF,success,1,1135876,sources/pdfs/2207.00283.pdf,2207.00283
D025,1783918562,arXiv,GET,reuse current-run verified PDF,success,1,2697648,sources/pdfs/2107.00734.pdf,2107.00734
D026,1783918563,arXiv,GET,reuse current-run verified PDF,success,1,2207179,sources/pdfs/2211.03470.pdf,2211.03470
D027,1783918564,arXiv,GET,reuse current-run verified PDF,success,1,514936,sources/pdfs/2412.19109.pdf,2412.19109
D028,1783918565,arXiv,GET,reuse current-run verified PDF,success,1,1206687,sources/pdfs/1810.12879.pdf,1810.12879
D029,1783918566,arXiv,GET,reuse current-run verified PDF,success,1,639704,sources/pdfs/2409.18861.pdf,2409.18861
D030,1783918567,arXiv,GET,reuse current-run verified PDF,success,1,1052874,sources/pdfs/2211.07541.pdf,2211.07541
D031,1783918568,arXiv,GET,reuse current-run verified PDF,success,1,4976729,sources/pdfs/2607.08505.pdf,2607.08505
D032,1783918568,arXiv,GET,reuse current-run verified PDF,success,1,2486741,sources/pdfs/2309.17082.pdf,2309.17082
D033,1783918569,arXiv,GET,reuse current-run verified PDF,success,1,4435646,sources/pdfs/2510.26081.pdf,2510.26081
D034,1783918570,arXiv,GET,reuse current-run verified PDF,success,1,5148305,sources/pdfs/2604.12416.pdf,2604.12416
D035,1783918571,arXiv,GET,reuse current-run verified PDF,success,1,760706,sources/pdfs/2601.20708.pdf,2601.20708
D036,1783918572,arXiv,GET,reuse current-run verified PDF,success,1,716303,sources/pdfs/2208.03832.pdf,2208.03832
D001,1783918849,arXiv,GET,reuse current-run verified PDF,success,1,2263775,sources/pdfs/2606.13790.pdf,2606.13790
D002,1783918850,arXiv,GET,reuse current-run verified PDF,success,1,2713763,sources/pdfs/2111.15141.pdf,2111.15141
D003,1783918850,arXiv,GET,reuse current-run verified PDF,success,1,4179526,sources/pdfs/2302.13834.pdf,2302.13834
D004,1783918851,arXiv,GET,reuse current-run verified PDF,success,1,3598216,sources/pdfs/2307.01050.pdf,2307.01050
D005,1783918852,arXiv,GET,reuse current-run verified PDF,success,1,2113233,sources/pdfs/2410.02711.pdf,2410.02711
D006,1783918853,arXiv,GET,reuse current-run verified PDF,success,1,622586,sources/pdfs/2210.03139.pdf,2210.03139
D007,1783918854,arXiv,GET,reuse current-run verified PDF,success,1,899741,sources/pdfs/2201.08862.pdf,2201.08862
D008,1783918855,arXiv,GET,reuse current-run verified PDF,success,1,525815,sources/pdfs/2309.14983.pdf,2309.14983
D009,1783918855,arXiv,GET,reuse current-run verified PDF,success,1,884944,sources/pdfs/1904.12072.pdf,1904.12072
D010,1783918856,arXiv,GET,reuse current-run verified PDF,success,1,1246772,sources/pdfs/2604.10209.pdf,2604.10209
D011,1783918857,arXiv,GET,reuse current-run verified PDF,success,1,1323300,sources/pdfs/2106.05934.pdf,2106.05934
D012,1783918858,arXiv,GET,reuse current-run verified PDF,success,1,2275916,sources/pdfs/2311.03578.pdf,2311.03578
D013,1783918859,arXiv,GET,reuse current-run verified PDF,success,1,3038787,sources/pdfs/2502.05504.pdf,2502.05504
D014,1783918860,arXiv,GET,reuse current-run verified PDF,success,1,411656,sources/pdfs/2510.21330.pdf,2510.21330
D015,1783918860,arXiv,GET,reuse current-run verified PDF,success,1,2425612,sources/pdfs/2605.06134.pdf,2605.06134
D016,1783918861,arXiv,GET,reuse current-run verified PDF,success,1,1017965,sources/pdfs/2003.06413.pdf,2003.06413
D017,1783918862,arXiv,GET,reuse current-run verified PDF,success,1,632146,sources/pdfs/2202.11712.pdf,2202.11712
D018,1783918863,arXiv,GET,reuse current-run verified PDF,success,1,2179747,sources/pdfs/2110.02673.pdf,2110.02673
D019,1783918864,arXiv,GET,reuse current-run verified PDF,success,1,618576,sources/pdfs/2007.07115.pdf,2007.07115
D020,1783918865,arXiv,GET,reuse current-run verified PDF,success,1,6423415,sources/pdfs/2501.07371.pdf,2501.07371
D021,1783918865,arXiv,GET,reuse current-run verified PDF,success,1,1193260,sources/pdfs/2101.08176.pdf,2101.08176
D022,1783918866,arXiv,GET,reuse current-run verified PDF,success,1,916261,sources/pdfs/2409.15937.pdf,2409.15937
D023,1783918867,arXiv,GET,reuse current-run verified PDF,success,1,1505787,sources/pdfs/2512.19575.pdf,2512.19575
D024,1783918868,arXiv,GET,reuse current-run verified PDF,success,1,1135876,sources/pdfs/2207.00283.pdf,2207.00283
D025,1783918869,arXiv,GET,reuse current-run verified PDF,success,1,2697648,sources/pdfs/2107.00734.pdf,2107.00734
D026,1783918870,arXiv,GET,reuse current-run verified PDF,success,1,2207179,sources/pdfs/2211.03470.pdf,2211.03470
D027,1783918870,arXiv,GET,reuse current-run verified PDF,success,1,514936,sources/pdfs/2412.19109.pdf,2412.19109
D028,1783918871,arXiv,GET,reuse current-run verified PDF,success,1,1206687,sources/pdfs/1810.12879.pdf,1810.12879
D029,1783918872,arXiv,GET,reuse current-run verified PDF,success,1,639704,sources/pdfs/2409.18861.pdf,2409.18861
D030,1783918873,arXiv,GET,reuse current-run verified PDF,success,1,1052874,sources/pdfs/2211.07541.pdf,2211.07541
D031,1783918874,arXiv,GET,reuse current-run verified PDF,success,1,4976729,sources/pdfs/2607.08505.pdf,2607.08505
D032,1783918875,arXiv,GET,reuse current-run verified PDF,success,1,2486741,sources/pdfs/2309.17082.pdf,2309.17082
D033,1783918875,arXiv,GET,reuse current-run verified PDF,success,1,4435646,sources/pdfs/2510.26081.pdf,2510.26081
D034,1783918876,arXiv,GET,reuse current-run verified PDF,success,1,5148305,sources/pdfs/2604.12416.pdf,2604.12416
D035,1783918877,arXiv,GET,reuse current-run verified PDF,success,1,760706,sources/pdfs/2601.20708.pdf,2601.20708
D036,1783918878,arXiv,GET,reuse current-run verified PDF,success,1,716303,sources/pdfs/2208.03832.pdf,2208.03832
D037,1783918879,arXiv,GET,reuse current-run verified PDF,failed,0,0,,2605.12597
D001,1783918938,arXiv,GET,reuse current-run verified PDF,success,1,2263775,sources/pdfs/2606.13790.pdf,2606.13790
D002,1783918939,arXiv,GET,reuse current-run verified PDF,success,1,2713763,sources/pdfs/2111.15141.pdf,2111.15141
D003,1783918940,arXiv,GET,reuse current-run verified PDF,success,1,4179526,sources/pdfs/2302.13834.pdf,2302.13834
D004,1783918941,arXiv,GET,reuse current-run verified PDF,success,1,3598216,sources/pdfs/2307.01050.pdf,2307.01050
D005,1783918941,arXiv,GET,reuse current-run verified PDF,success,1,2113233,sources/pdfs/2410.02711.pdf,2410.02711
D006,1783918942,arXiv,GET,reuse current-run verified PDF,success,1,622586,sources/pdfs/2210.03139.pdf,2210.03139
D007,1783918943,arXiv,GET,reuse current-run verified PDF,success,1,899741,sources/pdfs/2201.08862.pdf,2201.08862
D008,1783918944,arXiv,GET,reuse current-run verified PDF,success,1,525815,sources/pdfs/2309.14983.pdf,2309.14983
D009,1783918945,arXiv,GET,reuse current-run verified PDF,success,1,884944,sources/pdfs/1904.12072.pdf,1904.12072
D010,1783918946,arXiv,GET,reuse current-run verified PDF,success,1,1246772,sources/pdfs/2604.10209.pdf,2604.10209
D011,1783918946,arXiv,GET,reuse current-run verified PDF,success,1,1323300,sources/pdfs/2106.05934.pdf,2106.05934
D012,1783918947,arXiv,GET,reuse current-run verified PDF,success,1,2275916,sources/pdfs/2311.03578.pdf,2311.03578
D013,1783918948,arXiv,GET,reuse current-run verified PDF,success,1,3038787,sources/pdfs/2502.05504.pdf,2502.05504
D014,1783918949,arXiv,GET,reuse current-run verified PDF,success,1,411656,sources/pdfs/2510.21330.pdf,2510.21330
D015,1783918950,arXiv,GET,reuse current-run verified PDF,success,1,2425612,sources/pdfs/2605.06134.pdf,2605.06134
D016,1783918951,arXiv,GET,reuse current-run verified PDF,success,1,1017965,sources/pdfs/2003.06413.pdf,2003.06413
D017,1783918951,arXiv,GET,reuse current-run verified PDF,success,1,632146,sources/pdfs/2202.11712.pdf,2202.11712
D018,1783918952,arXiv,GET,reuse current-run verified PDF,success,1,2179747,sources/pdfs/2110.02673.pdf,2110.02673
D019,1783918953,arXiv,GET,reuse current-run verified PDF,success,1,618576,sources/pdfs/2007.07115.pdf,2007.07115
D020,1783918954,arXiv,GET,reuse current-run verified PDF,success,1,6423415,sources/pdfs/2501.07371.pdf,2501.07371
D021,1783918955,arXiv,GET,reuse current-run verified PDF,success,1,1193260,sources/pdfs/2101.08176.pdf,2101.08176
D022,1783918956,arXiv,GET,reuse current-run verified PDF,success,1,916261,sources/pdfs/2409.15937.pdf,2409.15937
D023,1783918956,arXiv,GET,reuse current-run verified PDF,success,1,1505787,sources/pdfs/2512.19575.pdf,2512.19575
D024,1783918957,arXiv,GET,reuse current-run verified PDF,success,1,1135876,sources/pdfs/2207.00283.pdf,2207.00283
D025,1783918958,arXiv,GET,reuse current-run verified PDF,success,1,2697648,sources/pdfs/2107.00734.pdf,2107.00734
D026,1783918959,arXiv,GET,reuse current-run verified PDF,success,1,2207179,sources/pdfs/2211.03470.pdf,2211.03470
D027,1783918960,arXiv,GET,reuse current-run verified PDF,success,1,514936,sources/pdfs/2412.19109.pdf,2412.19109
D028,1783918961,arXiv,GET,reuse current-run verified PDF,success,1,1206687,sources/pdfs/1810.12879.pdf,1810.12879
D029,1783918961,arXiv,GET,reuse current-run verified PDF,success,1,639704,sources/pdfs/2409.18861.pdf,2409.18861
D030,1783918962,arXiv,GET,reuse current-run verified PDF,success,1,1052874,sources/pdfs/2211.07541.pdf,2211.07541
D031,1783918963,arXiv,GET,reuse current-run verified PDF,success,1,4976729,sources/pdfs/2607.08505.pdf,2607.08505
D032,1783918964,arXiv,GET,reuse current-run verified PDF,success,1,2486741,sources/pdfs/2309.17082.pdf,2309.17082
D033,1783918965,arXiv,GET,reuse current-run verified PDF,success,1,4435646,sources/pdfs/2510.26081.pdf,2510.26081
D034,1783918966,arXiv,GET,reuse current-run verified PDF,success,1,5148305,sources/pdfs/2604.12416.pdf,2604.12416
D035,1783918966,arXiv,GET,reuse current-run verified PDF,success,1,760706,sources/pdfs/2601.20708.pdf,2601.20708
D036,1783918967,arXiv,GET,reuse current-run verified PDF,success,1,716303,sources/pdfs/2208.03832.pdf,2208.03832
D037,1783918968,arXiv,GET,reuse current-run verified PDF,success,1,6548734,sources/pdfs/2605.12597.pdf,2605.12597
D001,1783918990,arXiv,GET,reuse current-run verified PDF,success,1,2263775,sources/pdfs/2606.13790.pdf,2606.13790
D002,1783918991,arXiv,GET,reuse current-run verified PDF,success,1,2713763,sources/pdfs/2111.15141.pdf,2111.15141
D003,1783918991,arXiv,GET,reuse current-run verified PDF,success,1,4179526,sources/pdfs/2302.13834.pdf,2302.13834
D004,1783918992,arXiv,GET,reuse current-run verified PDF,success,1,3598216,sources/pdfs/2307.01050.pdf,2307.01050
D005,1783918993,arXiv,GET,reuse current-run verified PDF,success,1,2113233,sources/pdfs/2410.02711.pdf,2410.02711
D006,1783918994,arXiv,GET,reuse current-run verified PDF,success,1,622586,sources/pdfs/2210.03139.pdf,2210.03139
D007,1783918995,arXiv,GET,reuse current-run verified PDF,success,1,899741,sources/pdfs/2201.08862.pdf,2201.08862
D008,1783918996,arXiv,GET,reuse current-run verified PDF,success,1,525815,sources/pdfs/2309.14983.pdf,2309.14983
D009,1783918996,arXiv,GET,reuse current-run verified PDF,success,1,884944,sources/pdfs/1904.12072.pdf,1904.12072
D010,1783918997,arXiv,GET,reuse current-run verified PDF,success,1,1246772,sources/pdfs/2604.10209.pdf,2604.10209
D011,1783918998,arXiv,GET,reuse current-run verified PDF,success,1,1323300,sources/pdfs/2106.05934.pdf,2106.05934
D012,1783918999,arXiv,GET,reuse current-run verified PDF,success,1,2275916,sources/pdfs/2311.03578.pdf,2311.03578
D013,1783919000,arXiv,GET,reuse current-run verified PDF,success,1,3038787,sources/pdfs/2502.05504.pdf,2502.05504
D014,1783919001,arXiv,GET,reuse current-run verified PDF,success,1,411656,sources/pdfs/2510.21330.pdf,2510.21330
D015,1783919001,arXiv,GET,reuse current-run verified PDF,success,1,2425612,sources/pdfs/2605.06134.pdf,2605.06134
D016,1783919002,arXiv,GET,reuse current-run verified PDF,success,1,1017965,sources/pdfs/2003.06413.pdf,2003.06413
D017,1783919003,arXiv,GET,reuse current-run verified PDF,success,1,632146,sources/pdfs/2202.11712.pdf,2202.11712
D018,1783919004,arXiv,GET,reuse current-run verified PDF,success,1,2179747,sources/pdfs/2110.02673.pdf,2110.02673
D019,1783919005,arXiv,GET,reuse current-run verified PDF,success,1,618576,sources/pdfs/2007.07115.pdf,2007.07115
D020,1783919006,arXiv,GET,reuse current-run verified PDF,success,1,6423415,sources/pdfs/2501.07371.pdf,2501.07371
D021,1783919006,arXiv,GET,reuse current-run verified PDF,success,1,1193260,sources/pdfs/2101.08176.pdf,2101.08176
D022,1783919007,arXiv,GET,reuse current-run verified PDF,success,1,916261,sources/pdfs/2409.15937.pdf,2409.15937
D023,1783919008,arXiv,GET,reuse current-run verified PDF,success,1,1505787,sources/pdfs/2512.19575.pdf,2512.19575
D024,1783919009,arXiv,GET,reuse current-run verified PDF,success,1,1135876,sources/pdfs/2207.00283.pdf,2207.00283
D025,1783919010,arXiv,GET,reuse current-run verified PDF,success,1,2697648,sources/pdfs/2107.00734.pdf,2107.00734
D026,1783919011,arXiv,GET,reuse current-run verified PDF,success,1,2207179,sources/pdfs/2211.03470.pdf,2211.03470
D027,1783919011,arXiv,GET,reuse current-run verified PDF,success,1,514936,sources/pdfs/2412.19109.pdf,2412.19109
D028,1783919012,arXiv,GET,reuse current-run verified PDF,success,1,1206687,sources/pdfs/1810.12879.pdf,1810.12879
D029,1783919013,arXiv,GET,reuse current-run verified PDF,success,1,639704,sources/pdfs/2409.18861.pdf,2409.18861
D030,1783919014,arXiv,GET,reuse current-run verified PDF,success,1,1052874,sources/pdfs/2211.07541.pdf,2211.07541
D031,1783919015,arXiv,GET,reuse current-run verified PDF,success,1,4976729,sources/pdfs/2607.08505.pdf,2607.08505
D032,1783919016,arXiv,GET,reuse current-run verified PDF,success,1,2486741,sources/pdfs/2309.17082.pdf,2309.17082
D033,1783919016,arXiv,GET,reuse current-run verified PDF,success,1,4435646,sources/pdfs/2510.26081.pdf,2510.26081
D034,1783919017,arXiv,GET,reuse current-run verified PDF,success,1,5148305,sources/pdfs/2604.12416.pdf,2604.12416
D035,1783919018,arXiv,GET,reuse current-run verified PDF,success,1,760706,sources/pdfs/2601.20708.pdf,2601.20708
D036,1783919019,arXiv,GET,reuse current-run verified PDF,success,1,716303,sources/pdfs/2208.03832.pdf,2208.03832
D037,1783919020,arXiv,GET,reuse current-run verified PDF,success,1,6548734,sources/pdfs/2605.12597.pdf,2605.12597
