dijkstra_rank,candidate_id,title,decision,screen_score,route_occurrences,dijkstra_distance,priority_score,reachable,path_nodes,path_relations,path_edge_weights
11,doi:10.22323/1.466.0037,Diffusion models and stochastic quantisation in lattice field theory,include,12,2,0.974518,0.852643,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.466.0037,root_to_query -> query_hit,0.05 + 0.924518
12,doi:10.1103/physrevlett.122.080602,Solving Statistical Mechanics Using Variational Autoregressive Networks,monitor,8,2,1.004518,0.805453,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:doi:10.1103/physrevlett.122.080602,root_to_query -> query_hit,0.2 + 0.804518
13,doi:10.1214/ss/1028905934,Simulating normalizing constants: from importance sampling to bridge sampling to path sampling,exclude,-4,2,1.023775,0.720875,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1214/ss/1028905934,root_to_query -> query_hit,0.05 + 0.973775
14,arxiv:2311.03578,Generative Diffusion Models for Lattice Field Theory,include,15,2,1.057259,0.862985,yes,paper:arxiv:2606.13790 -> query:Q08 -> paper:arxiv:2311.03578,root_to_query -> query_hit,0.45 + 0.607259
15,doi:10.1007/jhep03(2026)111,Physics-conditioned diffusion models for lattice gauge theory,include,13,2,1.057259,0.842985,yes,paper:arxiv:2606.13790 -> query:Q06 -> paper:doi:10.1007/jhep03(2026)111,root_to_query -> query_hit,0.45 + 0.607259
16,doi:10.46586/tches.v2018.i3.372-393,Standard Lattice-Based Key Encapsulation on Embedded Devices,exclude,-5,1,1.057259,0.707985,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.46586/tches.v2018.i3.372-393,root_to_query -> query_hit,0.45 + 0.607259
17,doi:10.22323/1.430.0005,Stochastic normalizing flows for lattice field theory,monitor,8,2,1.063775,0.79146,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.430.0005,root_to_query -> query_hit,0.05 + 1.013775
18,doi:10.1038/scientificamerican07161892-13790bsupp,Carborundum,exclude,-14,1,1.074518,0.703952,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1038/scientificamerican07161892-13790bsupp,root_to_query -> query_hit,0.15 + 0.924518
19,arxiv:2005.04857,Continuous-Mixture Autoregressive Networks Learning the Kosterlitz-Thouless Transition,exclude,2,1,1.093775,0.71948,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2005.04857,root_to_query -> query_hit,0.2 + 0.893775
20,doi:10.1103/physrevlett.126.032001,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,monitor,8,2,1.096704,0.783802,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1103/physrevlett.126.032001,root_to_query -> query_hit,0.05 + 1.046704
21,doi:10.22323/1.187.0326,Numerical Stochastic Perturbation Theory and the Gradient Flow,exclude,-6,1,1.136704,0.689613,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.187.0326,root_to_query -> query_hit,0.05 + 1.086704
22,doi:10.1561/2200000013,An Introduction to Conditional Random Fields,exclude,-7,1,1.158364,0.684688,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1561/2200000013,root_to_query -> query_hit,0.05 + 1.108364
23,doi:10.1163/2214-9627_jc-de-1936-13790,Volume 1936 - Japan Chronicle Daily Edition &gt; Issue 13790 - 1936-6-12,exclude,-14,1,1.163775,0.683463,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1163/2214-9627_jc-de-1936-13790,root_to_query -> query_hit,0.15 + 1.013775
24,arxiv:1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,include,13,1,1.166704,0.812801,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:1904.12072,root_to_query -> query_hit,0.2 + 0.966704
25,arxiv:2210.03139,Stochastic normalizing flows for lattice field theory,include,18,2,1.177259,0.865421,yes,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2210.03139,root_to_query -> query_hit,0.65 + 0.527259
26,arxiv:2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,include,9,1,1.177259,0.770421,yes,paper:arxiv:2606.13790 -> query:Q29 -> paper:arxiv:2604.10209,root_to_query -> query_hit,0.65 + 0.527259
27,arxiv:2406.06193,Rényi entanglement entropy of spin chain with Generative Neural Networks,monitor,6,1,1.177259,0.740421,yes,paper:arxiv:2606.13790 -> query:Q30 -> paper:arxiv:2406.06193,root_to_query -> query_hit,0.65 + 0.527259
28,doi:10.22323/1.042.0251,The lattice gluon propagator in stochastic perturbation theory,exclude,-6,1,1.198364,0.675686,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.042.0251,root_to_query -> query_hit,0.05 + 1.148364
29,doi:10.1007/jhep05(2024)060,Diffusion models as stochastic quantization in lattice field theory,include,15,2,1.211777,0.827694,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1007/jhep05(2024)060,root_to_query -> query_hit,0.05 + 1.161777
30,arxiv:2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,include,20,3,1.219445,0.880989,yes,paper:arxiv:2606.13790 -> query:Q06 -> paper:arxiv:2502.05504,root_to_query -> query_hit,0.45 + 0.769445
31,doi:10.1103/physrevd.107.014512,Conditional normalizing flow for Markov chain Monte Carlo sampling in the critical region of lattice field theory,include,10,2,1.219445,0.775989,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.1103/physrevd.107.014512,root_to_query -> query_hit,0.45 + 0.769445
32,arxiv:2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,include,10,1,1.228364,0.769012,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2007.07115,root_to_query -> query_hit,0.2 + 1.028364
33,doi:10.5937/savpoljteh1602095d,Condition of pesticide application equipment in Shtip region and possibility of applying European standard EN 13790,exclude,-14,1,1.236704,0.667169,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.5937/savpoljteh1602095d,root_to_query -> query_hit,0.15 + 1.086704
34,doi:10.1016/j.physletb.2022.137281,Towards glueball masses of large-N SU(N) pure-gauge theories without topological freezing,include,10,1,1.25,0.764241,yes,paper:arxiv:2606.13790 -> author:biagio_lucini -> paper:doi:10.1016/j.physletb.2022.137281,paper_to_author -> author_to_paper,0.55 + 0.7
35,doi:10.1140/epjc/s10052-021-09161-1,Ergodic sampling of the topological charge using the density of states,include,9,1,1.25,0.754241,yes,paper:arxiv:2606.13790 -> author:biagio_lucini -> paper:doi:10.1140/epjc/s10052-021-09161-1,paper_to_author -> author_to_paper,0.55 + 0.7
36,title:ergodic sampling of the topological charge using the density of states,Ergodic sampling of the topological charge using the density of states,monitor,6,1,1.25,0.724241,yes,paper:arxiv:2606.13790 -> author:biagio_lucini -> paper:title:ergodic sampling of the topological charge using the density of states,paper_to_author -> author_to_paper,0.55 + 0.7
37,doi:10.22323/1.066.0176,Stochastic quantization at nonzero chemical potential,exclude,0,1,1.25,0.664241,yes,paper:arxiv:2606.13790 -> author:gert_aarts -> paper:doi:10.22323/1.066.0176,paper_to_author -> author_to_paper,0.55 + 0.7
38,doi:10.1142/9789811209703_0012,Dirac Lattice Path Integral,exclude,-6,1,1.251777,0.66385,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.1142/9789811209703_0012,root_to_query -> query_hit,0.05 + 1.201777
39,doi:10.1103/physrevlett.125.121601,Equivariant Flow-Based Sampling for Lattice Gauge Theory,monitor,7,3,1.257259,0.742647,yes,paper:arxiv:2606.13790 -> query:Q24 -> paper:doi:10.1103/physrevlett.125.121601,root_to_query -> query_hit,0.65 + 0.607259
40,doi:10.1002/1097-0231(20000630)14:12<1044::aid-rcm987>3.0.co;2-3,"A simple, practical methodology for routine VSMOW/SLAP normalization of water samples analyzed by continuous flow methods",exclude,-6,2,1.257259,0.667647,yes,paper:arxiv:2606.13790 -> query:Q19 -> paper:doi:10.1002/1097-0231(20000630)14:12<1044::aid-rcm987>3.0.co;2-3,root_to_query -> query_hit,0.65 + 0.607259
41,doi:10.1103/revmodphys.70.223,Stochastic resonance,exclude,-13,2,1.257259,0.667647,yes,paper:arxiv:2606.13790 -> query:Q14 -> paper:doi:10.1103/revmodphys.70.223,root_to_query -> query_hit,0.65 + 0.607259
42,doi:10.4310/atmp.1998.v2.n2.a2,Anti de Sitter space and holography,exclude,-6,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q15 -> paper:doi:10.4310/atmp.1998.v2.n2.a2,root_to_query -> query_hit,0.65 + 0.607259
43,doi:10.2307/2291616,Diffusion Processes and Their Sample Paths.,exclude,-4,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q22 -> paper:doi:10.2307/2291616,root_to_query -> query_hit,0.65 + 0.607259
44,doi:10.1080/01621459.1979.10482531,Distribution of the Estimators for Autoregressive Time Series with a Unit Root,exclude,-14,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q20 -> paper:doi:10.1080/01621459.1979.10482531,root_to_query -> query_hit,0.65 + 0.607259
45,doi:10.1016/j.softx.2015.06.001,GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers,exclude,-14,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q13 -> paper:doi:10.1016/j.softx.2015.06.001,root_to_query -> query_hit,0.65 + 0.607259
46,doi:10.1109/tpami.2020.2992934,Normalizing Flows: An Introduction and Review of Current Methods,exclude,-5,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q18 -> paper:doi:10.1109/tpami.2020.2992934,root_to_query -> query_hit,0.65 + 0.607259
47,doi:10.1152/ajpheart.2000.278.6.h2039,Physiological time-series analysis using approximate entropy and sample entropy,exclude,-7,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q16 -> paper:doi:10.1152/ajpheart.2000.278.6.h2039,root_to_query -> query_hit,0.65 + 0.607259
48,doi:10.32614/r.manuals,R: A Language and Environment for Statistical Computing,exclude,-7,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q11 -> paper:doi:10.32614/r.manuals,root_to_query -> query_hit,0.65 + 0.607259
49,doi:10.1214/aos/1033066201,Rates of convergence of the Hastings and Metropolis algorithms,exclude,-12,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q17 -> paper:doi:10.1214/aos/1033066201,root_to_query -> query_hit,0.65 + 0.607259
50,doi:10.1038/s41467-020-17465-1,Topological flat bands in frustrated kagome lattice CoSn,exclude,-6,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q12 -> paper:doi:10.1038/s41467-020-17465-1,root_to_query -> query_hit,0.65 + 0.607259
51,title:veegan reducing mode collapse in gans using implicit variational learning,VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning,exclude,-6,1,1.257259,0.662647,yes,paper:arxiv:2606.13790 -> query:Q23 -> paper:title:veegan reducing mode collapse in gans using implicit variational learning,root_to_query -> query_hit,0.65 + 0.607259
52,doi:10.1137/1115049,Prescribing a System of Random Variables by Conditional Distributions,exclude,5,1,1.25889,0.71229,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1137/1115049,root_to_query -> query_hit,0.05 + 1.20889
53,arxiv:2106.05934,Flow-based sampling for fermionic lattice field theories,include,14,2,1.281777,0.802295,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2106.05934,root_to_query -> query_hit,0.2 + 1.081777
54,doi:10.1111/1467-6346.00076,"Index to Volume 36 Number 1, January 16th‐February 15th 1999. Published March 8th 1999",exclude,-14,1,1.298364,0.653698,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1111/1467-6346.00076,root_to_query -> query_hit,0.15 + 1.148364
55,doi:10.1017/cbo9780511564055.009,Stochastic quantisation,exclude,-13,1,1.29889,0.653584,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.1017/cbo9780511564055.009,root_to_query -> query_hit,0.05 + 1.24889
56,doi:10.1111/1467-9868.00301,Perfect Slice Samplers,exclude,-6,1,1.301034,0.653121,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1111/1467-9868.00301,root_to_query -> query_hit,0.05 + 1.251034
57,doi:10.1016/j.physrep.2017.07.007,Random walks and diffusion on networks,exclude,-2,2,1.307259,0.656777,yes,paper:arxiv:2606.13790 -> query:Q36 -> paper:doi:10.1016/j.physrep.2017.07.007,root_to_query -> query_hit,0.7 + 0.607259
58,arxiv:2003.06413,Equivariant flow-based sampling for lattice gauge theory,include,12,2,1.32889,0.772131,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2003.06413,root_to_query -> query_hit,0.2 + 1.12889
59,doi:10.22323/1.518.0055,Generative sampling with physics-informed kernels,monitor,7,1,1.334518,0.715927,yes,paper:arxiv:2606.13790 -> query:Q08 -> paper:doi:10.22323/1.518.0055,root_to_query -> query_hit,0.45 + 0.884518
60,doi:10.22331/q-2023-08-08-1076,Classical models may be a better explanation of the Jiuzhang 1.0 Gaussian Boson Sampler than its targeted squeezed light model,exclude,-5,1,1.334518,0.645927,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.22331/q-2023-08-08-1076,root_to_query -> query_hit,0.45 + 0.884518
61,arxiv:2501.13799,Rudraksh: A compact and lightweight post-quantum key-encapsulation mechanism,exclude,-2,1,1.334518,0.645927,yes,paper:arxiv:2606.13790 -> query:Q06 -> paper:arxiv:2501.13799,root_to_query -> query_hit,0.45 + 0.884518
62,doi:10.5465/annals.2017.0099,Topic Modeling in Management Research: Rendering New Theory from Textual Data,exclude,-14,1,1.339158,0.644937,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.5465/annals.2017.0099,root_to_query -> query_hit,0.05 + 1.289158
63,arxiv:2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,include,12,1,1.339445,0.764875,yes,paper:arxiv:2606.13790 -> query:Q27 -> paper:arxiv:2510.21330,root_to_query -> query_hit,0.65 + 0.689445
64,arxiv:2410.13161,Non-Perturbative Trivializing Flows for Lattice Gauge Theories,monitor,8,1,1.339445,0.724875,yes,paper:arxiv:2606.13790 -> query:Q29 -> paper:arxiv:2410.13161,root_to_query -> query_hit,0.65 + 0.689445
65,arxiv:2112.15035,Normalizing flows for the real-time sign problem,monitor,7,1,1.339445,0.714875,yes,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2112.15035,root_to_query -> query_hit,0.65 + 0.689445
66,arxiv:1511.03804,Study of entropy production in Yang-Mills theory with use of Husimi function,exclude,-4,1,1.339445,0.644875,yes,paper:arxiv:2606.13790 -> query:Q26 -> paper:arxiv:1511.03804,root_to_query -> query_hit,0.65 + 0.689445
67,doi:10.1007/3-540-48162-1_2,Path Integral Representation of Quantum Field Theory,exclude,-6,1,1.341034,0.644537,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.1007/3-540-48162-1_2,root_to_query -> query_hit,0.05 + 1.291034
68,doi:10.1007/978-3-540-29805-2_4729,Vascularization,exclude,-14,1,1.351777,0.642251,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-540-29805-2_4729,root_to_query -> query_hit,0.15 + 1.201777
69,doi:10.1609/aaai.v33i01.33016834,CGMH: Constrained Sentence Generation by Metropolis-Hastings Sampling,exclude,-5,1,1.357259,0.641087,yes,paper:arxiv:2606.13790 -> query:Q31 -> paper:doi:10.1609/aaai.v33i01.33016834,root_to_query -> query_hit,0.75 + 0.607259
70,doi:10.1103/physrevd.103.074504,"Sampling using<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>SU</mml:mi><mml:mo stretchy=""false"">(</mml:mo><mml:mi>N</mml:mi><mml:mo stretchy=""false"">)</mml:mo></mml:mrow></mml:math>gauge equivariant flows",include,10,3,1.371034,0.748173,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:doi:10.1103/physrevd.103.074504,root_to_query -> query_hit,0.2 + 1.171034
71,doi:10.1214/aop/1024404276,Stochastic models of interacting systems,exclude,-6,1,1.373963,0.637555,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1214/aop/1024404276,root_to_query -> query_hit,0.05 + 1.323963
72,doi:10.22323/1.032.0156,Renormalization constants for lattice QCD: new results from Numerical Stochastic Perturbation Theory,exclude,2,1,1.379158,0.656461,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.032.0156,root_to_query -> query_hit,0.05 + 1.329158
73,doi:10.21468/scipostphys.15.6.238,Learning lattice quantum field theories with equivariant continuous flows,exclude,5,2,1.40598,0.68584,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.21468/scipostphys.15.6.238,root_to_query -> query_hit,0.05 + 1.35598
74,arxiv:2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,include,10,1,1.409158,0.730178,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2202.11712,root_to_query -> query_hit,0.2 + 1.209158
75,doi:10.22323/1.066.0215,Towards a determination of $c_{SW}$ using Numerical Stochastic Perturbation Theory (NSPT),exclude,-13,1,1.413963,0.629177,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.066.0215,root_to_query -> query_hit,0.05 + 1.363963
76,doi:10.1103/physrevd.106.074506,Gauge-equivariant flow models for sampling in lattice field theories with pseudofermions,monitor,7,1,1.419445,0.698038,yes,paper:arxiv:2606.13790 -> query:Q24 -> paper:doi:10.1103/physrevd.106.074506,root_to_query -> query_hit,0.65 + 0.769445
77,doi:10.1109/iccv.2019.00464,PointFlow: 3D Point Cloud Generation With Continuous Normalizing Flows,exclude,-4,2,1.419445,0.633038,yes,paper:arxiv:2606.13790 -> query:Q19 -> paper:doi:10.1109/iccv.2019.00464,root_to_query -> query_hit,0.65 + 0.769445
78,doi:10.1214/aos/1056562461,Slice sampling,exclude,-6,2,1.419445,0.633038,yes,paper:arxiv:2606.13790 -> query:Q17 -> paper:doi:10.1214/aos/1056562461,root_to_query -> query_hit,0.65 + 0.769445
79,doi:10.2307/1913889,A Subordinated Stochastic Process Model with Finite Variance for Speculative Prices,exclude,-13,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q21 -> paper:doi:10.2307/1913889,root_to_query -> query_hit,0.65 + 0.769445
80,doi:10.1073/pnas.1312114110,Critical slowing down as early warning for the onset and termination of depression,exclude,-13,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q11 -> paper:doi:10.1073/pnas.1312114110,root_to_query -> query_hit,0.65 + 0.769445
81,doi:10.2307/2315169,Diffusion Processes and their Sample Paths.,exclude,-5,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q22 -> paper:doi:10.2307/2315169,root_to_query -> query_hit,0.65 + 0.769445
82,doi:10.1063/1.2432340,From A to B in free energy space,exclude,-6,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q15 -> paper:doi:10.1063/1.2432340,root_to_query -> query_hit,0.65 + 0.769445
83,arxiv:1406.2661,Generative Adversarial Networks,exclude,-12,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q20 -> paper:arxiv:1406.2661,root_to_query -> query_hit,0.65 + 0.769445
84,doi:10.1016/j.socnet.2009.02.004,Introduction to stochastic actor-based models for network dynamics,exclude,-13,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q14 -> paper:doi:10.1016/j.socnet.2009.02.004,root_to_query -> query_hit,0.65 + 0.769445
85,doi:10.1007/s40279-015-0351-6,Motor Competence and its Effect on Positive Developmental Trajectories of Health,exclude,-14,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q13 -> paper:doi:10.1007/s40279-015-0351-6,root_to_query -> query_hit,0.65 + 0.769445
86,doi:10.1103/physrevd.103.103006,Nested sampling with normalizing flows for gravitational-wave inference,exclude,-5,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q18 -> paper:doi:10.1103/physrevd.103.103006,root_to_query -> query_hit,0.65 + 0.769445
87,doi:10.1007/s40843-017-9195-8,Science and technology in high-entropy alloys,exclude,-14,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q16 -> paper:doi:10.1007/s40843-017-9195-8,root_to_query -> query_hit,0.65 + 0.769445
88,doi:10.1038/nphys4080,Topological states in engineered atomic lattices,exclude,-6,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q12 -> paper:doi:10.1038/nphys4080,root_to_query -> query_hit,0.65 + 0.769445
89,arxiv:1705.07761,VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning,exclude,-4,1,1.419445,0.628038,yes,paper:arxiv:2606.13790 -> query:Q23 -> paper:arxiv:1705.07761,root_to_query -> query_hit,0.65 + 0.769445
90,arxiv:2605.06134,Diffusion model for SU(N) gauge theories,include,14,2,1.423775,0.772139,yes,paper:arxiv:2606.13790 -> query:Q08 -> paper:arxiv:2605.06134,root_to_query -> query_hit,0.45 + 0.973775
91,doi:10.18174/496730,Electrochemical phosphorus removal and recovery,exclude,-12,1,1.423775,0.627139,yes,paper:arxiv:2606.13790 -> query:Q06 -> paper:doi:10.18174/496730,root_to_query -> query_hit,0.45 + 0.973775
92,doi:10.1145/3406325.3451093,Indistinguishability obfuscation from well-founded assumptions,exclude,-12,1,1.423775,0.627139,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.1145/3406325.3451093,root_to_query -> query_hit,0.45 + 0.973775
93,doi:10.1007/978-3-642-16483-5_4208,Oligosaccharides,exclude,-14,1,1.441034,0.62357,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-642-16483-5_4208,root_to_query -> query_hit,0.15 + 1.291034
94,arxiv:2512.19575,Variational Autoregressive Networks Applied to $^4$ Field Theory Systems,include,9,1,1.443963,0.712967,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2512.19575,root_to_query -> query_hit,0.2 + 1.243963
95,doi:10.22323/1.066.0266,Infrared gluons in the stochastic quantization approach,exclude,-12,1,1.44598,0.622551,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.066.0266,root_to_query -> query_hit,0.05 + 1.39598
96,doi:10.35256/ofr88,A Mechanically Simple and Low Cost Subaqueous Surface Sediment Sampler,exclude,-7,1,1.447259,0.622288,yes,paper:arxiv:2606.13790 -> query:Q34 -> paper:doi:10.35256/ofr88,root_to_query -> query_hit,0.8 + 0.647259
97,arxiv:2212.08469,Learning Trivializing Gradient Flows for Lattice Gauge Theories,monitor,8,1,1.454518,0.700796,yes,paper:arxiv:2606.13790 -> query:Q29 -> paper:arxiv:2212.08469,root_to_query -> query_hit,0.65 + 0.804518
98,arxiv:2502.00263,Progress in Normalizing Flows for 4d Gauge Theories,monitor,8,1,1.454518,0.700796,yes,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2502.00263,root_to_query -> query_hit,0.65 + 0.804518
99,doi:10.1063/1.2709596,"An introduction to stochastic control theory, path integrals and reinforcement learning",exclude,-3,1,1.469445,0.61774,yes,paper:arxiv:2606.13790 -> query:Q36 -> paper:doi:10.1063/1.2709596,root_to_query -> query_hit,0.7 + 0.769445
100,doi:10.22323/1.187.0325,The Schrödinger Functional in Numerical Stochastic Perturbation Theory,exclude,-13,1,1.475623,0.616479,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.187.0325,root_to_query -> query_hit,0.05 + 1.425623
101,arxiv:2207.00283,Learning lattice quantum field theories with equivariant continuous flows,include,10,1,1.47598,0.716406,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2207.00283,root_to_query -> query_hit,0.2 + 1.27598
102,doi:10.1007/978-3-540-29805-2_4728,Vascular Orofacial Pain,exclude,-14,1,1.479158,0.615759,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-540-29805-2_4728,root_to_query -> query_hit,0.15 + 1.329158
103,doi:10.1198/jcgs.2009.06148,Bayesian Inference in Hidden Markov Random Fields for Binary Data Defined on Large Lattices,exclude,-5,1,1.489035,0.613752,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1198/jcgs.2009.06148,root_to_query -> query_hit,0.05 + 1.439035
104,arxiv:2410.03601,How Discrete and Continuous Diffusion Meet: Comprehensive Analysis of Discrete Diffusion Models via a Stochastic Integral Framework,exclude,-1,1,1.496704,0.612197,yes,paper:arxiv:2606.13790 -> query:Q08 -> paper:arxiv:2410.03601,root_to_query -> query_hit,0.45 + 1.046704
105,title:long range hybrid plasmonics,Long Range Hybrid Plasmonics,exclude,-5,1,1.496704,0.612197,yes,paper:arxiv:2606.13790 -> query:Q06 -> paper:title:long range hybrid plasmonics,root_to_query -> query_hit,0.45 + 1.046704
