candidate_id,title,authors,year,doi,arxiv_id,primary_url,facets,families,method_groups,query_ids,route_occurrences,score,decision,screen_reason,provenance,selection_reason,pdf_url,dijkstra_rank,dijkstra_distance,dijkstra_path
arxiv:2106.05934,Flow-based sampling for fermionic lattice field theories,Michael S. Albergo; Gurtej Kanwar; Sébastien Racanière; Danilo J. Rezende; Julian M. Urban; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Phiala E. Shanahan,2021,,2106.05934,http://arxiv.org/abs/2106.05934v2,adjacent_method;lineage,backward;keyword,fermion;flow;gauge,Q04;Q28,2,14,include,score=14; phrase_hits=2; strong_domain=lattice field;scalar field; root_methods=; domain=field;flow;gauge;lattice;sampl;scalar; routes=backward;keyword,current arXiv API response;current root bibliography ref 7,dijkstra_method_quota:flow,https://arxiv.org/pdf/2106.05934,53,1.281777,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2106.05934
arxiv:2311.03578,Generative Diffusion Models for Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,10.48550/arxiv.2311.03578,2311.03578,http://arxiv.org/abs/2311.03578,author,author,diffusion,Q08;Q10,2,15,include,score=15; phrase_hits=2; strong_domain=lattice field;phi 4; root_methods=; domain=diffusion;field;lattice;phi;sampl;stochastic; routes=author,current OpenAlex response,dijkstra_method_quota:diffusion,https://arxiv.org/pdf/2311.03578,14,1.057259,paper:arxiv:2606.13790 -> query:Q08 -> paper:arxiv:2311.03578
arxiv:2502.05504,Physics-Conditioned Diffusion Models for Lattice Gauge Theory,Qianteng Zhu; Gert Aarts; Wei Wang; Kai Zhou; Lingxiao Wang,2025,10.48550/arxiv.2502.05504,2502.05504,http://arxiv.org/abs/2502.05504,author;extension;lineage,author;backward;extension,diffusion;failure;gauge,Q04;Q06;Q33,3,20,include,score=20; phrase_hits=2; strong_domain=gauge theory;lattice gauge; root_methods=; domain=diffusion;gauge;lattice;monte;sampl;stochastic;topolog; routes=author;backward;extension,current OpenAlex response;current root bibliography ref 26,dijkstra_method_quota:diffusion,https://arxiv.org/pdf/2502.05504,30,1.219445,paper:arxiv:2606.13790 -> query:Q06 -> paper:arxiv:2502.05504
arxiv:2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,Vikas Kanaujia; Vipul Arora,2025,,2510.21330,http://arxiv.org/abs/2510.21330v1,correction,keyword,diffusion;failure;flow,Q27,1,12,include,score=12; phrase_hits=5; strong_domain=lattice field;markov chain monte carlo;phi 4;unnormalized distribution;unnormalized target; root_methods=; domain=field;flow;lattice;markov;monte;phi;sampl; routes=keyword,current arXiv API response,dijkstra_method_quota:diffusion,https://arxiv.org/pdf/2510.21330,63,1.339445,paper:arxiv:2606.13790 -> query:Q27 -> paper:arxiv:2510.21330
arxiv:2605.06134,Diffusion model for SU(N) gauge theories,Javad Komijani; Marina K. Marinkovic; Lara Turgut,2026,,2605.06134,https://arxiv.org/abs/2605.06134,author;lineage,author;backward,diffusion;gauge,Q04;Q08,2,14,include,score=14; phrase_hits=0; strong_domain=lattice gauge; root_methods=; domain=diffusion;gauge;lattice;monte;sampl; routes=author;backward,current OpenAlex response;current root bibliography ref 30,dijkstra_method_quota:diffusion,https://arxiv.org/pdf/2605.06134,90,1.423775,paper:arxiv:2606.13790 -> query:Q08 -> paper:arxiv:2605.06134
arxiv:2003.06413,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; K. Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020,10.48550/arxiv.2003.06413,2003.06413,https://hdl.handle.net/1721.1/134400,extension;lineage,backward;keyword,flow;gauge,Q04;Q24,2,12,include,score=12; phrase_hits=0; strong_domain=gauge theory;lattice gauge; root_methods=; domain=flow;gauge;lattice;monte;sampl;topolog; routes=backward;keyword,current OpenAlex response;current root bibliography ref 8,dijkstra_method_quota:gauge,https://arxiv.org/pdf/2003.06413,58,1.32889,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2003.06413
arxiv:2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,"Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Kanwar, Gurtej and Racani \`e re, S \'e bastien and Rezende, Danilo J. and Romero-L \'o pez, Fernando and Shanahan, Phiala E. and Urban, Julian M.",2022,10.1103/PhysRevD.106.014514,2202.11712,https://arxiv.org/abs/2202.11712,lineage,backward,fermion;flow,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=; root_methods=; domain=flow;lattice;sampl; routes=backward,current root bibliography ref 10,dijkstra_method_quota:fermion,https://arxiv.org/pdf/2202.11712,74,1.409158,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2202.11712
arxiv:2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,Pim de Haan and Corrado Rainone and Miranda C. N. Cheng and Roberto Bondesan,2021,,2110.02673,https://arxiv.org/abs/2110.02673,lineage,backward,flow;scaling,Q04,1,9,include,score=9; phrase_hits=0; strong_domain=; root_methods=; domain=field;flow; routes=backward,current root bibliography ref 13,dijkstra_method_quota:scaling,https://arxiv.org/pdf/2110.02673,107,1.505623,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2110.02673
arxiv:2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,"Nicoli, Kim A. and Anders, Christopher J. and Funcke, Lena and Hartung, Tobias and Jansen, Karl and Kessel, Pan and Nakajima, Shinichi and Stornati, Paolo",2021,10.1103/PhysRevLett.126.032001,2007.07115,https://arxiv.org/abs/2007.07115,lineage,backward,,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=lattice field; root_methods=; domain=field;lattice;thermodynamic; routes=backward,current root bibliography ref 6,dijkstra_facet_quota:lineage,https://arxiv.org/pdf/2007.07115,32,1.228364,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2007.07115
arxiv:2501.07371,Simulating the Hubbard Model with Equivariant Normalizing Flows,Dominic Schuh; Janik Kreit; Evan Berkowitz; Lena Funcke; Thomas Luu; Kim A. Nicoli; Marcel Rodekamp,2025,,2501.07371,http://arxiv.org/abs/2501.07371v1,adjacent_method,keyword,flow,Q28,1,9,include,score=9; phrase_hits=2; strong_domain=boltzmann distribution;lattice field; root_methods=; domain=boltzmann;field;flow;lattice;monte;sampl;thermodynamic; routes=keyword,current arXiv API response,dijkstra_facet_quota:adjacent_method,https://arxiv.org/pdf/2501.07371,124,1.543775,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2501.07371
arxiv:2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,Michael S. Albergo; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Kyle Cranmer; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2021,,2101.08176,http://arxiv.org/abs/2101.08176v3,adjacent_method,keyword,flow;gauge,Q28,1,9,include,score=9; phrase_hits=2; strong_domain=boltzmann distribution;gauge theory;lattice field;scalar field; root_methods=; domain=boltzmann;field;flow;gauge;lattice;sampl;scalar; routes=keyword,current arXiv API response,dijkstra_facet_quota:adjacent_method,https://arxiv.org/pdf/2101.08176,147,1.616704,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2101.08176
arxiv:2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2024,10.48550/arxiv.2409.15937,2409.15937,http://arxiv.org/abs/2409.15937,extension;lineage,backward;extension,flow;gauge;stochastic_flow,Q04;Q33,2,19,include,score=19; phrase_hits=2; strong_domain=lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;gauge;lattice;monte;sampl;stochastic; routes=backward;extension,current OpenAlex response;current root bibliography ref 22,dijkstra_facet_quota:extension,https://arxiv.org/pdf/2409.15937,190,1.704198,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2409.15937
arxiv:2512.19575,Variational Autoregressive Networks Applied to $^4$ Field Theory Systems,"Qian, Moxian and Chen, Shiyang",2025,10.48550/arXiv.2512.19575,2512.19575,https://arxiv.org/abs/2512.19575,lineage,backward,,Q04,1,9,include,score=9; phrase_hits=1; strong_domain=; root_methods=; domain=field; routes=backward,current root bibliography ref 11,dijkstra_global_fill,https://arxiv.org/pdf/2512.19575,94,1.443963,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2512.19575
arxiv:2207.00283,Learning lattice quantum field theories with equivariant continuous flows,"Gerdes, Mathis and de Haan, Pim and Rainone, Corrado and Bondesan, Roberto and Cheng, Miranda C. N.",2023,10.21468/SciPostPhys.15.6.238,2207.00283,https://arxiv.org/abs/2207.00283,lineage,backward,flow,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=; root_methods=; domain=field;flow;lattice; routes=backward,current root bibliography ref 12,dijkstra_global_fill,https://arxiv.org/pdf/2207.00283,101,1.47598,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2207.00283
arxiv:2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,Daniel C. Hackett and Chung-Chun Hsieh and Sahil Pontula and Michael S. Albergo and Denis Boyda and Jiunn-Wei Chen and Kai-Feng Chen and Kyle Cranmer and Gurtej Kanwar and Phiala E. Shanahan,2025,,2107.00734,https://arxiv.org/abs/2107.00734,lineage,backward,flow,Q04,1,12,include,score=12; phrase_hits=1; strong_domain=lattice field; root_methods=; domain=field;flow;lattice;sampl; routes=backward,current root bibliography ref 15,dijkstra_global_fill,https://arxiv.org/pdf/2107.00734,132,1.559035,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2107.00734
arxiv:2211.03470,Fourier-flow model generating Feynman paths,"Chen, Shile and Savchuk, Oleh and Zheng, Shiqi and Chen, Baoyi and Stoecker, Horst and Wang, Lingxiao and Zhou, Kai",2023,10.1103/PhysRevD.107.056001,2211.03470,https://arxiv.org/abs/2211.03470,lineage,backward,flow,Q04,1,9,include,score=9; phrase_hits=0; strong_domain=; root_methods=; domain=flow;path; routes=backward,current root bibliography ref 16,dijkstra_global_fill,https://arxiv.org/pdf/2211.03470,137,1.583285,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2211.03470
arxiv:2412.19109,Stochastic normalizing flows for Effective String Theory,Michele Caselle; Elia Cellini; Alessandro Nada,2024,,2412.19109,http://arxiv.org/abs/2412.19109v2,adjacent_method;lineage,backward;keyword,flow;gauge;scaling;stochastic_flow,Q04;Q28,2,18,include,score=18; phrase_hits=3; strong_domain=lattice field;markov chain monte carlo;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=field;flow;gauge;lattice;markov;monte;sampl;stochastic; routes=backward;keyword,current arXiv API response;current root bibliography ref 21,dijkstra_global_fill,https://arxiv.org/pdf/2412.19109,174,1.686417,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2412.19109
arxiv:1810.12879,Regressive and generative neural networks for scalar field theory,"Zhou, Kai and Endr o di, Gergely and Pang, Long-Gang and St \""o cker, Horst",2019,10.1103/PhysRevD.100.011501,1810.12879,https://arxiv.org/abs/1810.12879,lineage,backward,,Q04,1,9,include,score=9; phrase_hits=0; strong_domain=scalar field; root_methods=; domain=field;scalar; routes=backward,current root bibliography ref 23,dijkstra_global_fill,https://arxiv.org/pdf/1810.12879,192,1.721222,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:1810.12879
arxiv:2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024,,2409.18861,http://arxiv.org/abs/2409.18861v2,adjacent_method;extension,extension;keyword,failure;flow;gauge;scaling;stochastic_flow,Q28;Q33,2,14,include,score=14; phrase_hits=5; strong_domain=gauge theory;lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;gauge;lattice;monte;sampl;stochastic; routes=extension;keyword,current OpenAlex response;current arXiv API response,dijkstra_global_fill,https://arxiv.org/pdf/2409.18861,200,1.75,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2409.18861
arxiv:2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; K. Cranmer; Daniel C. Hackett; Alexander Matthews; Sébastien Racanière; Ali Razavi; Danilo Jimenez Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,10.48550/arxiv.2211.07541,2211.07541,http://arxiv.org/abs/2211.07541,extension,extension,failure;fermion;flow;gauge;scaling,Q33,1,13,include,score=13; phrase_hits=4; strong_domain=lattice field;lattice qcd; root_methods=; domain=field;flow;lattice;sampl;topolog; routes=extension,current OpenAlex response,dijkstra_global_fill,https://arxiv.org/pdf/2211.07541,201,1.75,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2211.07541
arxiv:2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan; Gert Aarts; Diaa E. Habibi; Biagio Lucini; Lingxiao Wang,2026,,2607.08505,http://arxiv.org/abs/2607.08505,failure;extension;evaluation,gap_closure,diffusion;failure;scaling,G02,1,17,include,gap closure score=17; facet=critical_diffusion; current arXiv response,current gap query G02,gap_closure:critical_diffusion,https://arxiv.org/pdf/2607.08505,closure,closure,gap_query:G02 -> paper:2607.08505
arxiv:2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,,2309.17082,http://arxiv.org/abs/2309.17082,failure;extension;evaluation,gap_closure,diffusion;failure;scaling,G02,1,15,include,gap closure score=15; facet=critical_diffusion; current arXiv response,current gap query G02,gap_closure:critical_diffusion,https://arxiv.org/pdf/2309.17082,closure,closure,gap_query:G02 -> paper:2309.17082
arxiv:2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,Octavio Vega; Javad Komijani; Aida El-Khadra; Marina Marinkovic,2025,,2510.26081,http://arxiv.org/abs/2510.26081,failure;extension;evaluation,gap_closure,diffusion;failure;scaling,G02,1,13,include,gap closure score=13; facet=critical_diffusion; current arXiv response,current gap query G02,gap_closure:critical_diffusion,https://arxiv.org/pdf/2510.26081,closure,closure,gap_query:G02 -> paper:2510.26081
arxiv:2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,Urs Wenger,2026,,2604.12416,http://arxiv.org/abs/2604.12416,scaling;extension;evaluation,gap_closure,flow;gauge;scaling,G03,1,15,include,gap closure score=15; facet=scaling; current arXiv response,current gap query G03,gap_closure:scaling,https://arxiv.org/pdf/2604.12416,closure,closure,gap_query:G03 -> paper:2604.12416
arxiv:2601.20708,A scalable flow-based approach to mitigate topological freezing,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2026,,2601.20708,http://arxiv.org/abs/2601.20708,scaling;extension;evaluation,gap_closure,flow;gauge;scaling,G03,1,15,include,gap closure score=15; facet=scaling; current arXiv response,current gap query G03,gap_closure:scaling,https://arxiv.org/pdf/2601.20708,closure,closure,gap_query:G03 -> paper:2601.20708
arxiv:2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Gurtej Kanwar; Alexander G. D. G. Matthews; Sébastien Racanière; Ali Razavi; Danilo J. Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,,2208.03832,http://arxiv.org/abs/2208.03832,scaling;extension;evaluation,gap_closure,flow;gauge;scaling,G03,1,13,include,gap closure score=13; facet=scaling; current arXiv response,current gap query G03,gap_closure:scaling,https://arxiv.org/pdf/2208.03832,closure,closure,gap_query:G03 -> paper:2208.03832
arxiv:2605.12597,The critical slowing down in diffusion models,Luca Maria Del Bono; Giulio Biroli; Patrick Charbonneau; Marylou Gabrié,2026,,2605.12597,http://arxiv.org/abs/2605.12597,failure;extension;evaluation,gap_closure,diffusion;failure;scaling,G06,1,10,include,gap closure score=10; facet=theory_boundary; current arXiv response,current gap query G06,gap_closure:theory_boundary,https://arxiv.org/pdf/2605.12597,closure,closure,gap_query:G06 -> paper:2605.12597
