node_id,node_type,label,decision,facets,source
paper:arxiv:1904.12072,paper,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,include,lineage,https://arxiv.org/abs/1904.12072
author:albergo_m_s,author,"Albergo, M. S.",,,
author:kanwar_g,author,"Kanwar, G.",,,
author:shanahan_p_e,author,"Shanahan, P. E.",,,
paper:arxiv:2111.15141,paper,Path Integral Sampler: a stochastic control approach for sampling,include,lineage,https://arxiv.org/abs/2111.15141
author:zhang_qinsheng,author,"Zhang, Qinsheng",,,
author:chen_yongxin,author,"Chen, Yongxin",,,
paper:doi:10.22323/1.466.0037,paper,Diffusion models and stochastic quantisation in lattice field theory,include,author;identity,https://doi.org/10.22323/1.466.0037
paper:arxiv:2003.06413,paper,Equivariant flow-based sampling for lattice gauge theory,include,extension;lineage,https://hdl.handle.net/1721.1/134400
paper:arxiv:2302.13834,paper,Denoising Diffusion Samplers,include,lineage,https://arxiv.org/abs/2302.13834
author:vargas_francisco,author,"Vargas, Francisco",,,
author:grathwohl_will,author,"Grathwohl, Will",,,
author:doucet_arnaud,author,"Doucet, Arnaud",,,
paper:arxiv:2107.00734,paper,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,include,lineage,https://arxiv.org/abs/2107.00734
author:chung_chun_hsieh,author,Chung-Chun Hsieh,,,
author:sahil_pontula,author,Sahil Pontula,,,
author:jiunn_wei_chen,author,Jiunn-Wei Chen,,,
author:kai_feng_chen,author,Kai-Feng Chen,,,
paper:arxiv:2604.12416,paper,Machine learning for four-dimensional SU(3) lattice gauge theories,include,extension,https://arxiv.org/abs/2604.12416
author:urs_wenger,author,Urs Wenger,,,
paper:arxiv:2510.21330,paper,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,include,correction,http://arxiv.org/abs/2510.21330v1
author:vikas_kanaujia,author,Vikas Kanaujia,,,
author:vipul_arora,author,Vipul Arora,,,
paper:doi:10.1103/physrevd.111.074517,paper,Scaling of stochastic normalizing flows in SU(3) lattice gauge theory,include,extension,https://doi.org/10.1103/physrevd.111.074517
paper:title:stochastic normalizing flows,paper,Stochastic Normalizing Flows,include,lineage,https://proceedings.neurips.cc/paper\_files/paper/2020/file/41d80bfc327ef980528426fc810a6d7a-Paper.pdf
author:wu_hao,author,"Wu, Hao",,,
author:k_o_hler_jonas,author,"K\"" o hler, Jonas",,,
author:noe_frank,author,"Noe, Frank",,,
paper:arxiv:2307.01050,paper,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,include,lineage,https://arxiv.org/abs/2307.01050
author:padhy_shreyas,author,"Padhy, Shreyas",,,
author:blessing_denis,author,"Blessing, Denis",,,
author:n_u_sken_nikolas,author,"N \""u sken, Nikolas",,,
paper:arxiv:2208.03832,paper,Sampling QCD field configurations with gauge-equivariant flow models,include,adjacent_method;extension,http://arxiv.org/abs/2208.03832
paper:arxiv:2601.20708,paper,A scalable flow-based approach to mitigate topological freezing,include,extension,http://arxiv.org/abs/2601.20708
author:claudio_bonanno,author,Claudio Bonanno,,,
author:dario_panfalone,author,Dario Panfalone,,,
author:davide_vadacchino,author,Davide Vadacchino,,,
author:lorenzo_verzichelli,author,Lorenzo Verzichelli,,,
paper:doi:10.1140/epja/s10050-023-01154-w,paper,Aspects of scaling and scalability for flow-based sampling of lattice QCD,include,extension,https://doi.org/10.1140/epja/s10050-023-01154-w
paper:arxiv:2510.26081,paper,Group-Equivariant Diffusion Models for Lattice Field Theory,include,lineage,https://arxiv.org/abs/2510.26081
author:vega_octavio,author,"Vega, Octavio",,,
author:komijani_javad,author,"Komijani, Javad",,,
author:el_khadra_aida,author,"El-Khadra, Aida",,,
author:marinkovic_marina,author,"Marinkovic, Marina",,,
paper:arxiv:2410.02711,paper,NETS: A Non-Equilibrium Transport Sampler,include,lineage,https://arxiv.org/abs/2410.02711
author:albergo_michael_s,author,"Albergo, Michael S.",,,
author:vanden_eijnden_eric,author,"Vanden-Eijnden, Eric",,,
paper:doi:10.1103/physrevd.103.074504,paper,"Sampling using<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>SU</mml:mi><mml:mo stretchy=""false"">(</mml:mo><mml:mi>N</mml:mi><mml:mo stretchy=""false"">)</mml:mo></mml:mrow></mml:math>gauge equivariant flows",include,extension;identity;lineage,https://doi.org/10.1103/physrevd.103.074504
paper:doi:10.1103/physrevd.107.014512,paper,Conditional normalizing flow for Markov chain Monte Carlo sampling in the critical region of lattice field theory,include,author;failure,https://doi.org/10.1103/physrevd.107.014512
author:ankur_singha,author,Ankur Singha,,,
author:dipankar_chakrabarti,author,Dipankar Chakrabarti,,,
paper:doi:10.1103/physrevd.108.114501,paper,Detecting and mitigating mode-collapse for flow-based sampling of lattice field theories,include,failure,https://doi.org/10.1103/physrevd.108.114501
author:kim_a_nicoli,author,Kim A. Nicoli,,,
author:christopher_j_anders,author,Christopher J. Anders,,,
author:tobias_hartung,author,Tobias Hartung,,,
author:karl_jansen,author,Karl Jansen,,,
author:pan_kessel,author,Pan Kessel,,,
author:shinichi_nakajima,author,Shinichi Nakajima,,,
paper:arxiv:2306.00581,paper,Sampling U(1) gauge theory using a re-trainable conditional flow-based model,include,author;extension,http://arxiv.org/abs/2306.00581
author:arora_vipul,author,"Arora, Vipul",,,
paper:arxiv:2601.10774,paper,Analytic Bijections for Smooth and Interpretable Normalizing Flows,include,adjacent_method,http://arxiv.org/abs/2601.10774v2
author:mathis_gerdes,author,Mathis Gerdes,,,
author:miranda_c_n_cheng,author,Miranda C. N. Cheng,,,
paper:arxiv:2302.14082,paper,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,include,adjacent_method,http://arxiv.org/abs/2302.14082v2
paper:arxiv:2602.09045,paper,Diffusion Models for SU(2) Lattice Gauge Theory in Two Dimensions,include,lineage,https://arxiv.org/abs/2602.09045
author:alharazin_h,author,"Alharazin, H.",,,
author:panteleeva_j_yu,author,"Panteleeva, J. Yu.",,,
author:sun_b_d,author,"Sun, B. -D.",,,
paper:arxiv:2007.07115,paper,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,include,lineage,https://arxiv.org/abs/2007.07115
author:nicoli_kim_a,author,"Nicoli, Kim A.",,,
author:anders_christopher_j,author,"Anders, Christopher J.",,,
author:funcke_lena,author,"Funcke, Lena",,,
author:hartung_tobias,author,"Hartung, Tobias",,,
author:jansen_karl,author,"Jansen, Karl",,,
author:kessel_pan,author,"Kessel, Pan",,,
author:nakajima_shinichi,author,"Nakajima, Shinichi",,,
author:stornati_paolo,author,"Stornati, Paolo",,,
paper:arxiv:2202.11712,paper,Flow-based sampling in the lattice Schwinger model at criticality,include,lineage,https://arxiv.org/abs/2202.11712
author:boyda_denis,author,"Boyda, Denis",,,
author:cranmer_kyle,author,"Cranmer, Kyle",,,
author:hackett_daniel_c,author,"Hackett, Daniel C.",,,
author:kanwar_gurtej,author,"Kanwar, Gurtej",,,
author:racani_e_re_s_e_bastien,author,"Racani \`e re, S \'e bastien",,,
author:rezende_danilo_j,author,"Rezende, Danilo J.",,,
author:romero_l_o_pez_fernando,author,"Romero-L \'o pez, Fernando",,,
author:shanahan_phiala_e,author,"Shanahan, Phiala E.",,,
author:urban_julian_m,author,"Urban, Julian M.",,,
paper:arxiv:2601.19552,paper,Generalizable Equivariant Diffusion Models for Non-Abelian Lattice Gauge Theory,include,lineage,https://arxiv.org/abs/2601.19552
author:habibi_diaa_e,author,"Habibi, Diaa E.",,,
author:ipp_andreas,author,"Ipp, Andreas",,,
author:m_u_ller_david_i,author,"M \""u ller, David I.",,,
author:ranner_thomas_r,author,"Ranner, Thomas R.",,,
author:wang_wei,author,"Wang, Wei",,,
author:zhu_qianteng,author,"Zhu, Qianteng",,,
paper:arxiv:2207.00283,paper,Learning lattice quantum field theories with equivariant continuous flows,include,lineage,https://arxiv.org/abs/2207.00283
author:gerdes_mathis,author,"Gerdes, Mathis",,,
author:de_haan_pim,author,"de Haan, Pim",,,
author:rainone_corrado,author,"Rainone, Corrado",,,
author:bondesan_roberto,author,"Bondesan, Roberto",,,
author:cheng_miranda_c_n,author,"Cheng, Miranda C. N.",,,
paper:arxiv:2304.01798,paper,Locality-constrained autoregressive cum conditional normalizing flow for lattice field theory simulations,include,adjacent_method,http://arxiv.org/abs/2304.01798v1
author:dinesh_p_r,author,Dinesh P. R.,,,
paper:doi:10.22323/1.518.0020,paper,Machine learning for four-dimensional SU(3) lattice gauge theories,include,extension,https://doi.org/10.22323/1.518.0020
paper:arxiv:2603.12501,paper,Normalizing-flow-based density of states for (1+1)D U(1) lattice gauge theory with a $θ$-term,include,adjacent_method,http://arxiv.org/abs/2603.12501v1
author:simran_singh,author,Simran Singh,,,
author:lena_funcke,author,Lena Funcke,,,
paper:doi:10.22323/1.466.0040,paper,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,include,adjacent_method,https://doi.org/10.22323/1.466.0040
paper:arxiv:2002.09547,paper,Stochastic Normalizing Flows,include,adjacent_method,http://arxiv.org/abs/2002.09547
author:liam_hodgkinson,author,Liam Hodgkinson,,,
author:chris_van_der_heide,author,Chris van der Heide,,,
author:fred_roosta,author,Fred Roosta,,,
author:michael_w_mahoney,author,Michael W. Mahoney,,,
paper:doi:10.1016/j.physletb.2022.137281,paper,Towards glueball masses of large-N SU(N) pure-gauge theories without topological freezing,include,failure,https://doi.org/10.1016/j.physletb.2022.137281
author:massimo_d_elia,author,Massimo D’Elia,,,
paper:arxiv:2402.01046,paper,Towards the Application of Skewed Detailed Balance in Lattice Gauge Theories,include,extension,http://arxiv.org/abs/2402.01046
author:marina_krsti_marinkovi,author,Marina Krstić Marinković,,,
author:jo_o_c_pinto_barros,author,João C. Pinto Barros,,,
paper:doi:10.1140/epjc/s10052-021-09161-1,paper,Ergodic sampling of the topological charge using the density of states,include,failure,https://doi.org/10.1140/epjc/s10052-021-09161-1
author:guido_cossu,author,Guido Cossu,,,
author:david_lancaster,author,David Lancaster,,,
author:roberto_pellegrini,author,Roberto Pellegrini,,,
author:antonio_rago,author,Antonio Rago,,,
paper:doi:10.1103/physrevd.104.114507,paper,Flow-based sampling for fermionic lattice field theories,include,extension,https://doi.org/10.1103/physrevd.104.114507
paper:arxiv:2211.03470,paper,Fourier-flow model generating Feynman paths,include,lineage,https://arxiv.org/abs/2211.03470
author:chen_shile,author,"Chen, Shile",,,
author:savchuk_oleh,author,"Savchuk, Oleh",,,
author:zheng_shiqi,author,"Zheng, Shiqi",,,
author:chen_baoyi,author,"Chen, Baoyi",,,
author:stoecker_horst,author,"Stoecker, Horst",,,
paper:arxiv:2207.08945,paper,Gauge-equivariant flow models for sampling in lattice field theories with pseudofermions,include,extension,http://arxiv.org/abs/2207.08945
author:betsy_tian,author,Betsy Tian,,,
paper:arxiv:2307.01198,paper,Improved sampling via learned diffusions,include,lineage,https://arxiv.org/abs/2307.01198
author:richter_lorenz,author,"Richter, Lorenz",,,
author:berner_julius,author,"Berner, Julius",,,
paper:arxiv:2101.08176,paper,Introduction to Normalizing Flows for Lattice Field Theory,include,adjacent_method,http://arxiv.org/abs/2101.08176v3
paper:arxiv:2101.05755,paper,Normalizing Flows and the Real-Time Sign Problem,include,adjacent_method,http://arxiv.org/abs/2101.05755v5
author:scott_lawrence,author,Scott Lawrence,,,
author:yukari_yamauchi,author,Yukari Yamauchi,,,
paper:arxiv:2605.22444,paper,Normalizing flows for all-orders QED corrections in lattice field theory,include,adjacent_method,http://arxiv.org/abs/2605.22444v1
author:nils_hermansson_truedsson,author,Nils Hermansson-Truedsson,,,
paper:doi:10.1007/jhep02(2025)090,paper,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,include,extension,https://doi.org/10.1007/jhep02(2025)090
paper:arxiv:2605.11199,paper,Operator Spectroscopy of Trained Lattice Samplers,include,lineage,https://arxiv.org/abs/2605.11199
author:qian_moxian,author,"Qian, Moxian",,,
paper:arxiv:1810.12879,paper,Regressive and generative neural networks for scalar field theory,include,lineage,https://arxiv.org/abs/1810.12879
author:endr_o_di_gergely,author,"Endr o di, Gergely",,,
author:pang_long_gang,author,"Pang, Long-Gang",,,
author:st_o_cker_horst,author,"St \""o cker, Horst",,,
paper:arxiv:2309.14983,paper,Sampling Nambu-Goto theory using Normalizing Flows,include,adjacent_method,http://arxiv.org/abs/2309.14983v1
paper:doi:10.22323/1.430.0036,paper,Sampling QCD field configurations with gauge-equivariant flow models,include,extension,http://dx.doi.org/10.22323/1.430.0036
author:daniel_hackett,author,Daniel Hackett,,,
author:julian_urban,author,Julian Urban,,,
paper:arxiv:2604.10209,paper,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,include,adjacent_method,http://arxiv.org/abs/2604.10209v1
author:a_singha,author,A. Singha,,,
author:j_kauffmann,author,J. Kauffmann,,,
author:e_cellini,author,E. Cellini,,,
author:k_jansen,author,K. Jansen,,,
author:s_nakajima,author,S. Nakajima,,,
paper:arxiv:2110.02673,paper,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,include,lineage,https://arxiv.org/abs/2110.02673
author:pim_de_haan,author,Pim de Haan,,,
author:corrado_rainone,author,Corrado Rainone,,,
author:roberto_bondesan,author,Roberto Bondesan,,,
paper:arxiv:2501.07371,paper,Simulating the Hubbard Model with Equivariant Normalizing Flows,include,adjacent_method,http://arxiv.org/abs/2501.07371v1
author:dominic_schuh,author,Dominic Schuh,,,
author:janik_kreit,author,Janik Kreit,,,
author:evan_berkowitz,author,Evan Berkowitz,,,
author:thomas_luu,author,Thomas Luu,,,
author:marcel_rodekamp,author,Marcel Rodekamp,,,
paper:doi:10.22323/1.466.0069,paper,Simulating the Hubbard Model with Equivariant Normalizing Flows,include,extension,https://doi.org/10.22323/1.466.0069
paper:arxiv:2601.18273,paper,Toward Scalable Normalizing Flows for the Hubbard Model,include,adjacent_method,http://arxiv.org/abs/2601.18273v1
paper:arxiv:2512.19575,paper,Variational Autoregressive Networks Applied to $^4$ Field Theory Systems,include,lineage,https://arxiv.org/abs/2512.19575
author:chen_shiyang,author,"Chen, Shiyang",,,
paper:doi:10.1103/physrevlett.126.032001,paper,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,monitor,failure;identity,https://doi.org/10.1103/physrevlett.126.032001
author:paolo_stornati,author,Paolo Stornati,,,
paper:doi:10.1103/physrevd.108.074518,paper,"Sampling <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>U</mml:mi><mml:mo stretchy=""false"">(</mml:mo><mml:mn>1</mml:mn><mml:mo stretchy=""false"">)</mml:mo></mml:math> gauge theory using a retrainable conditional flow-based model",monitor,author;extension,https://doi.org/10.1103/physrevd.108.074518
paper:doi:10.1103/physrevlett.122.080602,paper,Solving Statistical Mechanics Using Variational Autoregressive Networks,monitor,adjacent_method;lineage,https://doi.org/10.1103/physrevlett.122.080602
author:dian_wu,author,Dian Wu,,,
author:lei_wang,author,Lei Wang,,,
author:pan_zhang,author,Pan Zhang,,,
paper:doi:10.22323/1.430.0005,paper,Stochastic normalizing flows for lattice field theory,monitor,identity,https://doi.org/10.22323/1.430.0005
paper:arxiv:2510.01328,paper,Combining complex Langevin dynamics with score-based and energy-based diffusion models,monitor,lineage,https://arxiv.org/abs/2510.01328
paper:doi:10.1103/physrevd.100.034515,paper,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,monitor,identity,https://doi.org/10.1103/physrevd.100.034515
paper:arxiv:2212.08469,paper,Learning Trivializing Gradient Flows for Lattice Gauge Theories,monitor,adjacent_method,http://arxiv.org/abs/2212.08469v2
author:simone_bacchio,author,Simone Bacchio,,,
author:stefan_schaefer,author,Stefan Schaefer,,,
author:lorenz_vaitl,author,Lorenz Vaitl,,,
paper:doi:10.22323/1.466.0010,paper,Machine-learning approaches to accelerating lattice simulations,monitor,extension,https://doi.org/10.22323/1.466.0010
paper:arxiv:2503.11482,paper,NeuMC -- a package for neural sampling for lattice field theories,monitor,adjacent_method,http://arxiv.org/abs/2503.11482v1
author:piotr_bialas,author,Piotr Bialas,,,
author:piotr_korcyl,author,Piotr Korcyl,,,
author:tomasz_stebel,author,Tomasz Stebel,,,
author:dawid_zapolski,author,Dawid Zapolski,,,
paper:arxiv:2410.13161,paper,Non-Perturbative Trivializing Flows for Lattice Gauge Theories,monitor,adjacent_method,http://arxiv.org/abs/2410.13161v2
paper:arxiv:2502.00263,paper,Progress in Normalizing Flows for 4d Gauge Theories,monitor,adjacent_method,http://arxiv.org/abs/2502.00263v1
paper:arxiv:2405.20322,paper,Quantum generalizations of Glauber and Metropolis dynamics,monitor,correction,http://arxiv.org/abs/2405.20322
author:andr_s_gily_n,author,András Gilyén,,,
author:chi_fang_chen,author,Chi-Fang Chen,,,
author:jo_o_f_doriguello,author,João F. Doriguello,,,
author:michael_j_kastoryano,author,Michael J. Kastoryano,,,
paper:doi:10.1007/jhep04(2026)051,paper,Scaling flow-based approaches for topology sampling in SU(3) gauge theory,monitor,extension,https://doi.org/10.1007/jhep04(2026)051
paper:doi:10.21468/scipostphys.19.3.077,paper,Super-resolving normalising flows for lattice field theories,monitor,author,https://doi.org/10.21468/scipostphys.19.3.077
author:marc_bauer,author,Marc Bauer,,,
author:renzo_kapust,author,Renzo Kapust,,,
author:jan_m_pawlowski,author,Jan M. Pawlowski,,,
author:finn_l_temmen,author,Finn L. Temmen,,,
paper:doi:10.22323/1.430.0028,paper,Towards the Application of Skewed Detailed Balance in Lattice Gauge Theories,monitor,extension,http://dx.doi.org/10.22323/1.430.0028
author:joao_pinto_barros,author,Joao Pinto Barros,,,
author:marina_marinkovi,author,Marina Marinković,,,
paper:doi:10.1103/physrevlett.125.121601,paper,Equivariant Flow-Based Sampling for Lattice Gauge Theory,monitor,extension;failure,https://doi.org/10.1103/physrevlett.125.121601
paper:doi:10.1103/physrevd.106.014514,paper,Flow-based sampling in the lattice Schwinger model at criticality,monitor,extension;identity,https://doi.org/10.1103/physrevd.106.014514
paper:doi:10.1239/aap/1401369701,paper,Convergence of Conditional Metropolis-Hastings Samplers,monitor,lineage,https://doi.org/10.1239/aap/1401369701
author:galin_l_jones,author,Galin L. Jones,,,
author:gareth_o_roberts,author,Gareth O. Roberts,,,
author:jeffrey_s_rosenthal,author,Jeffrey S. Rosenthal,,,
paper:doi:10.1103/physrevd.106.074506,paper,Gauge-equivariant flow models for sampling in lattice field theories with pseudofermions,monitor,extension,https://doi.org/10.1103/physrevd.106.074506
paper:doi:10.22323/1.518.0055,paper,Generative sampling with physics-informed kernels,monitor,author,https://doi.org/10.22323/1.518.0055
author:friederike_ihssen,author,Friederike Ihssen,,,
paper:doi:10.22323/1.396.0508,paper,LeapfrogLayers: A Trainable Framework for Effective Topological Sampling,monitor,extension,https://doi.org/10.22323/1.396.0508
author:sam_foreman,author,Sam Foreman,,,
author:xiao_yong_jin,author,Xiao-Yong Jin,,,
author:james_c_osborn,author,James C. Osborn,,,
paper:arxiv:2504.18126,paper,Lecture Notes on Normalizing Flows for Lattice Quantum Field Theories,monitor,adjacent_method,http://arxiv.org/abs/2504.18126v1
author:niki_stratikopoulou,author,Niki Stratikopoulou,,,
paper:doi:10.22323/1.396.0338,paper,Machine Learning of Thermodynamic Observables in the Presence of Mode Collapse,monitor,failure,https://doi.org/10.22323/1.396.0338
paper:arxiv:2401.00828,paper,Multi-Lattice Sampling of Quantum Field Theories via Neural Operator-based Flows,monitor,adjacent_method,http://arxiv.org/abs/2401.00828v4
author:b_lint_m_t,author,Bálint Máté,,,
author:fran_ois_fleuret,author,François Fleuret,,,
paper:arxiv:2404.10819,paper,Multiscale Normalizing Flows for Gauge Theories,monitor,adjacent_method,http://arxiv.org/abs/2404.10819v1
paper:arxiv:2112.15035,paper,Normalizing flows for the real-time sign problem,monitor,adjacent_method,http://arxiv.org/abs/2112.15035v1
paper:doi:10.1186/1752-0509-4-99,paper,Parameter inference for discretely observed stochastic kinetic models using stochastic gradient descent,monitor,lineage,https://doi.org/10.1186/1752-0509-4-99
author:yuanfeng_wang,author,Yuanfeng Wang,,,
author:scott_christley,author,Scott Christley,,,
author:eric_mjolsness,author,Eric Mjolsness,,,
author:xiaohui_xie,author,Xiaohui Xie,,,
paper:arxiv:2308.13294,paper,Training normalizing flows with computationally intensive target probability distributions,monitor,adjacent_method,http://arxiv.org/abs/2308.13294v2
paper:arxiv:2603.02984,paper,Variance reduction in lattice QCD observables via normalizing flows,monitor,adjacent_method,http://arxiv.org/abs/2603.02984v1
author:yang_fu,author,Yang Fu,,,
paper:title:variational inference with normalizing flows,paper,Variational Inference with Normalizing Flows,monitor,lineage,http://proceedings.mlr.press/v37/rezende15.html
author:rezende_danilo_jimenez,author,"Rezende, Danilo Jimenez",,,
author:mohamed_shakir,author,"Mohamed, Shakir",,,
paper:title:conditional log likelihood mdl and evolutionary mcmc,paper,Conditional log-likelihood MDL and Evolutionary MCMC,monitor,correction,https://ir.cwi.nl/pub/24264
author:m_d_lina_m_drugan,author,Mădălina M. Drugan,,,
paper:title:ergodic sampling of the topological charge using the density of states,paper,Ergodic sampling of the topological charge using the density of states,monitor,failure,https://cronfa.swan.ac.uk/Record/cronfa56806
paper:title:flow network based generative models for non iterative diverse candidate generation,paper,Flow Network based Generative Models for Non‐Iterative Diverse Candidate Generation,monitor,lineage,https://papers.nips.cc/paper/2021/hash/e614f646836aaed9f89ce58e837e2310-Abstract.html
author:bengio_emmanuel,author,"Bengio, Emmanuel",,,
author:jain_moksh,author,"Jain, Moksh",,,
author:korablyov_maksym,author,"Korablyov, Maksym",,,
author:precup_doina,author,"Precup, Doina",,,
author:bengio_yoshua,author,"Bengio, Yoshua",,,
paper:doi:10.1103/physrevd.102.104057,paper,Gravitational-wave parameter estimation with autoregressive neural network flows,monitor,adjacent_method,https://doi.org/10.1103/physrevd.102.104057
author:stephen_green,author,Stephen Green,,,
author:christine_simpson,author,Christine Simpson,,,
author:j_r_gair,author,J. R. Gair,,,
paper:doi:10.1103/physrevd.107.l051504,paper,Learning trivializing gradient flows for lattice gauge theories,monitor,identity,https://doi.org/10.1103/physrevd.107.l051504
paper:title:optimal scaling of discrete approximations to langevin diffusions,paper,Optimal scaling of discrete approximations to Langevin diffusions,monitor,lineage,
author:roberts_gareth_o,author,"Roberts, Gareth O",,,
author:rosenthal_jeffrey_s,author,"Rosenthal, Jeffrey S",,,
paper:title:perturbation theory without gauge fixing,paper,Perturbation Theory Without Gauge Fixing,monitor,lineage,
author:parisi_g,author,"Parisi, G.",,,
author:wu_yong_shi,author,"Wu, Yong-shi",,,
paper:arxiv:2406.06193,paper,Rényi entanglement entropy of spin chain with Generative Neural Networks,monitor,adjacent_method,http://arxiv.org/abs/2406.06193v1
author:piotr_bia_as,author,Piotr Białas,,,
paper:doi:10.21468/scipostphys.15.6.238,paper,Learning lattice quantum field theories with equivariant continuous flows,exclude,extension;identity,https://doi.org/10.21468/scipostphys.15.6.238
paper:doi:10.1137/1119062,paper,Approximate Integration of Stochastic Differential Equations,exclude,mechanism,https://doi.org/10.1137/1119062
author:g_n_mil_shtejn,author,G. N. Mil’shtejn,,,
facet:mechanism,facet,mechanism,,,
paper:doi:10.22323/1.214.0026,paper,Diffusion of topological charge and scaling of autocorrelation times in hybrid Monte Carlo simulations of lattice QCD,exclude,evaluation,https://doi.org/10.22323/1.214.0026
author:greg_mcglynn,author,Greg McGlynn,,,
author:robert_mawhinney,author,Robert Mawhinney,,,
