paper_id,arxiv_id,title,C0_candidate,C1_metadata,C2_abstract,C3_full_text,C4_claim_anchor,source_url,pdf_sha256,review_status
P018,2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,pass,pass,pass,pass,pass,https://arxiv.org/abs/2110.02673,8cc983701e0b464b438e03457414b6d05545c7805f605865f8dd3f586755754c,new_full_text_review_current_run
P019,2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,pass,pass,pass,pass,pass,https://arxiv.org/abs/2007.07115,2adb146d491a4ec0e09d1a680fd3455ebfa54567722c8f42472e6843dd6a6ee7,new_full_text_review_current_run
P020,2501.07371,Simulating the Hubbard Model with Equivariant Normalizing Flows,pass,pass,pass,pass,pass,https://arxiv.org/abs/2501.07371,cf276c695175b749c9bca7ab8d8d41d986c1fab2b591bc73ab3f3015d82f955e,new_full_text_review_current_run
P021,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2101.08176,1b0caf63db00d605563de7cf56b5905c2572ee02dbdca7aaaf187231fa1a7822,new_full_text_review_current_run
P022,2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,pass,pass,pass,pass,pass,https://arxiv.org/abs/2409.15937,1678a1c65e7728818bd4a3b732b61458efc23b3f7db868c774a7c1a03ccbd329,rechecked_current_text_same_pdf_sha256
P023,2512.19575,Variational Autoregressive Networks Applied to $^4$ Field Theory Systems,pass,pass,pass,pass,pass,https://arxiv.org/abs/2512.19575,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,rechecked_current_text_same_pdf_sha256
P024,2207.00283,Learning lattice quantum field theories with equivariant continuous flows,pass,pass,pass,pass,pass,https://arxiv.org/abs/2207.00283,430e9eac53156a514fa6e97a401e8a9118ebd632530f5b7ffe7cf81f76751286,new_full_text_review_current_run
P025,2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2107.00734,55998cffeab28dbcff6ac5448733fed20458dee16301075dfbecdf81914f8d69,rechecked_current_text_same_pdf_sha256
P026,2211.03470,Fourier-flow model generating Feynman paths,pass,pass,pass,pass,pass,https://arxiv.org/abs/2211.03470,8e482ee920bbf3b9ca44023894e529b46ca7d3df0e621f168e2954ec28cd4a18,new_full_text_review_current_run
P027,2412.19109,Stochastic normalizing flows for Effective String Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2412.19109,dc3b3f846eb7f13f9b9a50021f993ab6bc34c8755a9fe3cdb5f9a3dcf7a41536,rechecked_current_text_same_pdf_sha256
P028,1810.12879,Regressive and generative neural networks for scalar field theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/1810.12879,6b373eb105b8b8230ed2f0d82e095b42e76311c914770ddbc6123fc8a007db81,new_full_text_review_current_run
P029,2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,pass,pass,pass,pass,pass,https://arxiv.org/abs/2409.18861,662102a173db6d419f701a1247050e5d023acc0f0182a1d7a5c0719b04a82d5f,rechecked_current_text_same_pdf_sha256
P030,2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,pass,pass,pass,pass,pass,https://arxiv.org/abs/2211.07541,7852044405efbe657ad5dece5b84c3d50ede2214c051159b84787eddd4c40542,rechecked_current_text_same_pdf_sha256
P031,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,pass,pass,pass,pass,pass,https://arxiv.org/abs/2607.08505,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572,rechecked_current_text_same_pdf_sha256
P032,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2309.17082,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,rechecked_current_text_same_pdf_sha256
P033,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,pass,pass,pass,pass,pass,https://arxiv.org/abs/2510.26081,c315ee3cd880525f23586972af6fc9b50417a6a4799fc956b65e2a6f1c1acc6d,rechecked_current_text_same_pdf_sha256
P034,2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,pass,pass,pass,pass,pass,https://arxiv.org/abs/2604.12416,158c4d0098c9f26e872a06174056b0e50f947201238953bd71e5fd94416a9004,rechecked_current_text_same_pdf_sha256
P035,2601.20708,A scalable flow-based approach to mitigate topological freezing,pass,pass,pass,pass,pass,https://arxiv.org/abs/2601.20708,d9ef54027185abea0d336993a8860c2c9c183eff1f4deb7ca54c6ab32ee5e821,rechecked_current_text_same_pdf_sha256
P036,2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,pass,pass,pass,pass,pass,https://arxiv.org/abs/2208.03832,f898d7877b6b74d39596791b907d71f76d1cda17338d7892b092113889203e1f,rechecked_current_text_same_pdf_sha256
P037,2605.12597,The critical slowing down in diffusion models,pass,pass,pass,pass,pass,https://arxiv.org/abs/2605.12597,e8d9fd459e637d0a91ff900b4ba79b3efee4fd12011e27774e3daeaf4bad73f5,rechecked_current_text_same_pdf_sha256
