paper_id,arxiv_id,title,authors,year,family,source_relation,source_url,pdf_path,pdf_pages,pdf_sha256,metadata_title_match,full_text_read,evidence_level
P019,2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,"Nicoli, Kim A. and Anders, Christopher J. and Funcke, Lena and Hartung, Tobias and Jansen, Karl and Kessel, Pan and Nakajima, Shinichi and Stornati, Paolo",2021,Flow observables,direct_bibliography,https://arxiv.org/abs/2007.07115,sources/pdfs/2007.07115.pdf,13,2adb146d491a4ec0e09d1a680fd3455ebfa54567722c8f42472e6843dd6a6ee7,yes,yes,C4_claim_anchored
P020,2501.07371,Simulating the Hubbard Model with Equivariant Normalizing Flows,Dominic Schuh; Janik Kreit; Evan Berkowitz; Lena Funcke; Thomas Luu; Kim A. Nicoli; Marcel Rodekamp,2025,Extensions,adjacent_method,https://arxiv.org/abs/2501.07371,sources/pdfs/2501.07371.pdf,14,cf276c695175b749c9bca7ab8d8d41d986c1fab2b591bc73ab3f3015d82f955e,yes,yes,C4_claim_anchored
P021,2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,Michael S. Albergo; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Kyle Cranmer; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2021,Normalizing-flow foundations,adjacent_method,https://arxiv.org/abs/2101.08176,sources/pdfs/2101.08176.pdf,39,1b0caf63db00d605563de7cf56b5905c2572ee02dbdca7aaaf187231fa1a7822,yes,yes,C4_claim_anchored
P022,2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,Michele Caselle; Elia Cellini; Alessandro Nada,2024,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2409.15937,sources/pdfs/2409.15937.pdf,29,1678a1c65e7728818bd4a3b732b61458efc23b3f7db868c774a7c1a03ccbd329,yes,yes,C4_claim_anchored
P023,2512.19575,Variational Autoregressive Networks Applied to $^4$ Field Theory Systems,"Qian, Moxian and Chen, Shiyang",2025,Autoregressive,author_context,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,24,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,yes,yes,C4_claim_anchored
P024,2207.00283,Learning lattice quantum field theories with equivariant continuous flows,"Gerdes, Mathis and de Haan, Pim and Rainone, Corrado and Bondesan, Roberto and Cheng, Miranda C. N.",2023,Scaling and transfer,direct_bibliography,https://arxiv.org/abs/2207.00283,sources/pdfs/2207.00283.pdf,17,430e9eac53156a514fa6e97a401e8a9118ebd632530f5b7ffe7cf81f76751286,yes,yes,C4_claim_anchored
P025,2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,Daniel C. Hackett and Chung-Chun Hsieh and Sahil Pontula and Michael S. Albergo and Denis Boyda and Jiunn-Wei Chen and Kai-Feng Chen and Kyle Cranmer and Gurtej Kanwar and Phiala E. Shanahan,2025,Normalizing flows,direct_bibliography,https://arxiv.org/abs/2107.00734,sources/pdfs/2107.00734.pdf,43,55998cffeab28dbcff6ac5448733fed20458dee16301075dfbecdf81914f8d69,yes,yes,C4_claim_anchored
P026,2211.03470,Fourier-flow model generating Feynman paths,"Chen, Shile and Savchuk, Oleh and Zheng, Shiqi and Chen, Baoyi and Stoecker, Horst and Wang, Lingxiao and Zhou, Kai",2023,Adjacent path generation,direct_bibliography,https://arxiv.org/abs/2211.03470,sources/pdfs/2211.03470.pdf,8,8e482ee920bbf3b9ca44023894e529b46ca7d3df0e621f168e2954ec28cd4a18,yes,yes,C4_claim_anchored
P027,2412.19109,Stochastic normalizing flows for Effective String Theory,Michele Caselle; Elia Cellini; Alessandro Nada,2024,Stochastic flows,direct_bibliography,https://arxiv.org/abs/2412.19109,sources/pdfs/2412.19109.pdf,10,dc3b3f846eb7f13f9b9a50021f993ab6bc34c8755a9fe3cdb5f9a3dcf7a41536,yes,yes,C4_claim_anchored
P028,1810.12879,Regressive and generative neural networks for scalar field theory,"Zhou, Kai and Endr o di, Gergely and Pang, Long-Gang and St \""o cker, Horst",2019,Early generative baselines,direct_bibliography,https://arxiv.org/abs/1810.12879,sources/pdfs/1810.12879.pdf,11,6b373eb105b8b8230ed2f0d82e095b42e76311c914770ddbc6123fc8a007db81,yes,yes,C4_claim_anchored
P029,2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024,Stochastic flows,external_extension,https://arxiv.org/abs/2409.18861,sources/pdfs/2409.18861.pdf,10,662102a173db6d419f701a1247050e5d023acc0f0182a1d7a5c0719b04a82d5f,yes,yes,C4_claim_anchored
P030,2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; K. Cranmer; Daniel C. Hackett; Alexander Matthews; Sébastien Racanière; Ali Razavi; Danilo Jimenez Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,Scaling / multiscale,external_extension,https://arxiv.org/abs/2211.07541,sources/pdfs/2211.07541.pdf,22,7852044405efbe657ad5dece5b84c3d50ede2214c051159b84787eddd4c40542,yes,yes,C4_claim_anchored
P031,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan; Gert Aarts; Diaa E. Habibi; Biagio Lucini; Lingxiao Wang,2026,Diffusion,closure,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,39,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572,yes,yes,C4_claim_anchored
P032,2309.17082,Diffusion Models as Stochastic Quantization in Lattice Field Theory,Lingxiao Wang; Gert Aarts; Kai Zhou,2023,Diffusion,direct_bibliography,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,31,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,yes,yes,C4_claim_anchored
P033,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,Octavio Vega; Javad Komijani; Aida El-Khadra; Marina Marinkovic,2025,Diffusion,external_extension,https://arxiv.org/abs/2510.26081,sources/pdfs/2510.26081.pdf,45,c315ee3cd880525f23586972af6fc9b50417a6a4799fc956b65e2a6f1c1acc6d,yes,yes,C4_claim_anchored
P034,2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,Urs Wenger,2026,Scaling / multiscale,external_extension,https://arxiv.org/abs/2604.12416,sources/pdfs/2604.12416.pdf,18,158c4d0098c9f26e872a06174056b0e50f947201238953bd71e5fd94416a9004,yes,yes,C4_claim_anchored
P035,2601.20708,A scalable flow-based approach to mitigate topological freezing,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2026,Stochastic flows,external_extension,https://arxiv.org/abs/2601.20708,sources/pdfs/2601.20708.pdf,10,d9ef54027185abea0d336993a8860c2c9c183eff1f4deb7ca54c6ab32ee5e821,yes,yes,C4_claim_anchored
P036,2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Gurtej Kanwar; Alexander G. D. G. Matthews; Sébastien Racanière; Ali Razavi; Danilo J. Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,Normalizing flows,external_extension,https://arxiv.org/abs/2208.03832,sources/pdfs/2208.03832.pdf,14,f898d7877b6b74d39596791b907d71f76d1cda17338d7892b092113889203e1f,yes,yes,C4_claim_anchored
P037,2605.12597,The critical slowing down in diffusion models,Luca Maria Del Bono; Giulio Biroli; Patrick Charbonneau; Marylou Gabrié,2026,Diagnostics / theory,round2_closure,https://arxiv.org/abs/2605.12597,sources/pdfs/2605.12597.pdf,31,e8d9fd459e637d0a91ff900b4ba79b3efee4fd12011e27774e3daeaf4bad73f5,yes,yes,C4_claim_anchored
