PaperID,ArxivID,BibKey,Title,Authors,Year,Cluster,SourceRelation,PrimaryURL,PDFPath,Pages,SHA256,Problem,ProblemAnchor,MechanismCorrection,MechanismAnchor,Result,ResultAnchor,Limitation,LimitationAnchor,EvidenceIDs,VerificationStatus
P_2210_03139,2210.03139,caselle2022stochasticnormalizingflowslattice,Stochastic normalizing flows for lattice field theory,"Caselle, Michele and Cellini, Elia and Nada, Alessandro and Panero, Marco",2023,stochastic_flow,direct_bibliography,https://arxiv.org/abs/2210.03139,sources/pdfs/2210.03139.pdf,9,6e55973206bb8030e21bdd951bc005c64dbabf2698a4491f1d21e5ca29909cc8,Pure deterministic flows and pure stochastic protocols each face efficiency limits.,"p.2, Introduction",Stochastic normalizing flows combine invertible layers and stochastic evolution with Jarzynski work accounting.,"pp.2-3, method",2D phi4 examples show the hybrid can lower dissipation and improve partition-function estimation.,"pp.3-5, application",This proceedings treatment is compact and leaves broader scaling/performance comparisons open.,"p.5, Conclusion",EV-11-P;EV-11-M;EV-11-R;EV-11-L,green_check_full_text
P_2302_13834,2302.13834,vargas2023denoisingdiffusionsamplers,Denoising Diffusion Samplers,"Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",2023,path_sampler,direct_bibliography,https://arxiv.org/abs/2302.13834,sources/pdfs/2302.13834.pdf,30,a52b6fd8d6c19873d22a115d6eb050e78da70464dc2e25e4464cf8c3b0063321,Diffusion sampling is needed when target samples are unavailable but an unnormalized density is evaluable.,"pp.1-3, problem",DDS minimizes a path-space KL for a learned reverse diffusion and evaluates discretized trajectory importance weights.,"pp.2-6, DDS","Across synthetic and statistical benchmarks DDS competes with AIS, SMC, and PIS.","pp.6-9, experiments",Discretization and optimization remain consequential; bespoke schedules and stable training are unresolved in some cases.,"p.9, discussion/limitations",EV-12-P;EV-12-M;EV-12-R;EV-12-L,green_check_full_text
P_2309_17082,2309.17082,Wang:2023exq,Diffusion models as stochastic quantization in lattice field theory,"Wang, Lingxiao and Aarts, Gert and Zhou, Kai",2024,lft_diffusion,direct_bibliography,https://arxiv.org/abs/2309.17082,sources/pdfs/2309.17082.pdf,31,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc,Critical slowing down raises the cost of generating LFT ensembles.,"pp.2-3, Introduction",A supervised score model reverses Langevin noising; likelihood evaluation permits an MH-corrected diffusion proposal chain.,"pp.6-12, diffusion as SQ","In 2D phi4, generated observables agree well and the MH chain reduces autocorrelation near the studied critical region.","pp.13-19, results",It requires reference configurations for training and does not establish training-inclusive scaling to larger dimensions.,"p.20, Conclusion and outlook",EV-13-P;EV-13-M;EV-13-R;EV-13-L,green_check_full_text
P_2410_02711,2410.02711,Albergo:2024trn,NETS: A Non-Equilibrium Transport Sampler,"Albergo, Michael S. and Vanden-Eijnden, Eric",2024,path_sampler,direct_bibliography,https://arxiv.org/abs/2410.02711,sources/pdfs/2410.02711.pdf,31,3f115239f2ca5de2d7c560e21ae84e33f20a0979e515c875fb6ceb3406af3a55,Unnormalized high-dimensional and multimodal targets require transport with controlled weights.,"pp.1-3, Introduction",NETS learns an additional drift in a nonequilibrium SDE and tracks work/importance weights; diffusivity can be tuned after training.,"pp.3-9, method","Benchmarks, including lattice phi4, report strong ESS and sampling performance relative to selected baselines.","pp.10-18, experiments",Weight variance and learned-drift accuracy remain gates; cost matching across training and generation is incomplete.,"pp.19-21, discussion",EV-14-P;EV-14-M;EV-14-R;EV-14-L,green_check_full_text
P_2502_02127,2502.02127,Chen:2025kfo,Exploring Generative Networks for Manifolds with Non-Trivial Topology,"Chen, Shi-Yang and Aarts, Gert and Lucini, Biagio",2025,topology,direct_bibliography,https://arxiv.org/abs/2502.02127,sources/pdfs/2502.02127.pdf,10,41c5d12739e0c98f7a72717ba2c548aff01a9e17ac7ee1d2a9ed4667b23c7c21,Connected invertible/continuous generators can fail on disconnected or nontrivial topology.,"p.1, motivation",A GFlowNet-inspired sequential construction uses trajectory balance to explore multiple topological components.,"pp.3-6, approach",Triple-ring and 2D scalar examples show improved exploration of separated structures.,"pp.5-8, examples",Proceedings-scale evidence and toy/scalar tests do not establish gauge-theory exactness or cost scaling.,"pp.8-9, conclusion",EV-15-P;EV-15-M;EV-15-R;EV-15-L,green_check_full_text
P_2502_05504,2502.05504,Zhu:2025pmw,Physics-conditioned diffusion models for lattice gauge theory,"Zhu, Qianteng and Aarts, Gert and Wang, Wei and Zhou, Kai and Wang, Lingxiao",2026,gauge_diffusion,direct_bibliography,https://arxiv.org/abs/2502.05504,sources/pdfs/2502.05504.pdf,28,0b9548d039926d29e6e89f60fa806d22681f4079c78936f901fdb5aca12b87fa,Gauge-field sampling faces critical and topological freezing.,"pp.2-4, Introduction",A physics-conditioned gauge diffusion model is paired with Metropolis-adjusted Langevin dynamics and supports lattice-size transfer.,"pp.5-11, method",2D U(1) tests reproduce observables and improve topological exploration relative to conventional baselines.,"pp.12-16, results",The study remains low-dimensional and does not settle four-dimensional non-Abelian cost or training-data demands.,"p.16, Conclusion",EV-16-P;EV-16-M;EV-16-R;EV-16-L,green_check_full_text
P_2510_01328,2510.01328,Aarts:2025lpi,Combining complex Langevin dynamics with score-based and energy-based diffusion models,"Aarts, Gert and Habibi, Diaa E. and Wang, Lingxiao and Zhou, Kai",2025,complex_diffusion,direct_bibliography,https://arxiv.org/abs/2510.01328,sources/pdfs/2510.01328.pdf,22,327f9dcbf19ef7fdfbfbc01beda092c22f5bd59eae7315e06f5bb6365d08be27,Complex weights create sign/overlap failures for importance sampling.,"pp.2-4, Introduction",Score- and energy-based models learn the stationary complex-Langevin distribution and diagnose its tails/correctness conditions.,"pp.5-8, models",A complex quartic model shows agreement and exposes how diffusion models represent the stationary distribution.,"pp.9-12, results",The evidence is a low-dimensional complex model and does not solve finite-density lattice QCD.,"p.13, Summary and outlook",EV-17-P;EV-17-M;EV-17-R;EV-17-L,green_check_full_text
P_2510_26081,2510.26081,Vega:2025hgz,Group-Equivariant Diffusion Models for Lattice Field Theory,"Vega, Octavio and Komijani, Javad and El-Khadra, Aida and Marinkovic, Marina",2025,gauge_diffusion,direct_bibliography,https://arxiv.org/abs/2510.26081,sources/pdfs/2510.26081.pdf,45,c315ee3cd880525f23586972af6fc9b50417a6a4799fc956b65e2a6f1c1acc6d,Diffusion models for LQFT must respect group symmetry and support exact validation.,"pp.3-5, Introduction",Group-equivariant score networks use force-regularized score matching; likelihood/acceptance diagnostics provide correction checks.,"pp.5-12, framework",Phi4 and 2D U(1) experiments reproduce observables and show the value of symmetry-aware models.,"pp.16-27, experiments",Results are on scalar and 2D Abelian systems; non-Abelian/high-dimensional scaling is left open.,"p.28, Conclusions",EV-18-P;EV-18-M;EV-18-R;EV-18-L,green_check_full_text
P_2512_19575,2512.19575,Qian:2025VANphi4,Variational Autoregressive Networks Applied to $\phi^4$ Field Theory Systems,"Qian, Moxian and Chen, Shiyang",2025,autoregressive,direct_bibliography,https://arxiv.org/abs/2512.19575,sources/pdfs/2512.19575.pdf,24,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96,Data-free autoregressive proposals can retain residual bias and training burden.,"pp.2-3, Introduction",A VAN is trained variationally and augmented with single-site/block MH corrections plus parameter/lattice transfer tests.,"pp.5-9, methods",Ising and phi4 observables agree with MC in the explored range and no clear critical slowing is seen there.,"pp.10-15, results",The explored models/sizes are limited; transfer and absence of observed slowing do not prove asymptotic scaling.,"p.17, Conclusion",EV-19-P;EV-19-M;EV-19-R;EV-19-L,green_check_full_text
P_2601_19552,2601.19552,Aarts:2026zzr,Generalizable Equivariant Diffusion Models for Non-Abelian Lattice Gauge Theory,"Aarts, Gert and Habibi, Diaa E. and Ipp, Andreas and M\""uller, David I. and Ranner, Thomas R. and Wang, Lingxiao and Wang, Wei and Zhu, Qianteng",2026,gauge_diffusion,direct_bibliography,https://arxiv.org/abs/2601.19552,sources/pdfs/2601.19552.pdf,9,0dc2857eb2298ab83dfafa6d7b5eaed100807cfe15373f509f1b334cbba394f9,Non-Abelian gauge diffusion models must generalize beyond one training ensemble.,"pp.1-2, Introduction",Gauge-equivariant L-CNN scores feed a Metropolis-adjusted annealed Langevin algorithm.,"pp.2-5, method",2D U(2)/SU(2) tests transfer across inverse couplings and lattice sizes with modest accuracy loss and moderate acceptance.,"pp.5-7, results",Training is supervised and evidence is two dimensional; 4D scaling remains untested.,"pp.7-8, outlook",EV-20-P;EV-20-M;EV-20-R;EV-20-L,green_check_full_text
P_2602_09045,2602.09045,Alharazin:2026lcb,Diffusion Models for SU(2) Lattice Gauge Theory in Two Dimensions,"Alharazin, H. and Panteleeva, J. Yu. and Sun, B. -D.",2026,gauge_diffusion,direct_bibliography,https://arxiv.org/abs/2602.09045,sources/pdfs/2602.09045.pdf,14,e87fa8c49f797c465047c45e8e64063cd311b93e78758e31e9149044cd0dbfee,SU(2) gauge sampling suffers conventional autocorrelation and topology challenges.,"pp.1-2, Introduction",A group-aware score model learns reverse diffusion on gauge configurations generated for training.,"pp.2-6, model","In 2D SU(2), generated observables are compared with HMC and show viable ensemble generation.","pp.7-10, results",The study is 2D and supervised; exact correction and scaling evidence are less developed than in MH-adjusted approaches.,"pp.10-11, conclusion",EV-21-P;EV-21-M;EV-21-R;EV-21-L,green_check_full_text
P_2604_10209,2604.10209,,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha and J. Kauffmann and E. Cellini and K. Jansen and S. Nakajima,2026,multiscale,external_addition,https://arxiv.org/abs/2604.10209,sources/pdfs/2604.10209.pdf,15,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1,Near-critical LFT sampling becomes inefficient at large volume.,"pp.1-2, Introduction",A renormalization-inspired coarse-to-fine hierarchy combines conditional Gaussian mixtures and masked continuous flows; exact restrictions enable MLMC.,"pp.3-7, multiscale sampler","Critical 2D phi4 tests report much shorter autocorrelation than HMC, high importance efficiency, and unbiased MLMC observables.","pp.8-11, results",Extension to nontrivial global/topological structure and realistic gauge/fermion systems remains future work.,"p.12, Conclusion",EV-22-P;EV-22-M;EV-22-R;EV-22-L,green_check_full_text
P_2605_06134,2605.06134,Komijani:2026lan,Diffusion model for SU(N) gauge theories,"Komijani, Javad and Marinkovic, Marina K. and Turgut, Lara",2026,gauge_diffusion,direct_bibliography,https://arxiv.org/abs/2605.06134,sources/pdfs/2605.06134.pdf,23,7b2695ebaa774b7eeb7cada771068461248361495975bd440ff5a2ceee97a4de,SU(N) gauge-field sampling slows toward fine lattice spacing.,"pp.1-2, Introduction",Implicit score matching is formulated on group manifolds and used in reverse diffusion/HMD-based sampling.,"pp.2-7, framework",SU(3) examples in 2D and 4D reproduce several Wilson-action observables against HMC.,"pp.8-17, results",Sampling efficiency degrades in harder regimes and the authors list architecture/training improvements; general cost superiority is not shown.,"p.18, Summary/discussion",EV-23-P;EV-23-M;EV-23-R;EV-23-L,green_check_full_text
P_2605_11199,2605.11199,Qian:2026OperatorSpectroscopy,Operator Spectroscopy of Trained Lattice Samplers,"Qian, Moxian",2026,diagnostics,direct_bibliography,https://arxiv.org/abs/2605.11199,sources/pdfs/2605.11199.pdf,26,5cd87c3a8a6ed6c2a6d8bc7a3e414e0c6fc92f3d42ac6b122270c2d643e49a96,Observable agreement alone does not identify what a trained sampler learned or where its residual bias lives.,"pp.1-2, Introduction",Predeclared lattice-operator bases project learned velocity/score/action residuals with held-out and wrong-sector controls.,"pp.2-8, projection protocol","Across phi4 flows/diffusions/NFs and gauge teachers, projections isolate zero-mode, finite-k, and symmetry-resolved residual sectors.","pp.9-17, audits",Operator bases are model/symmetry dependent; class transfer does not imply coefficient transfer or corrected sampling.,"pp.18-20, transfer audit",EV-24-P;EV-24-M;EV-24-R;EV-24-L,green_check_full_text
P_2605_12597,2605.12597,,The critical slowing down in diffusion models,Luca Maria Del Bono and Giulio Biroli and Patrick Charbonneau and Marylou Gabrie,2026,adversarial,external_addition,https://arxiv.org/abs/2605.12597,sources/pdfs/2605.12597.pdf,31,e8d9fd459e637d0a91ff900b4ba79b3efee4fd12011e27774e3daeaf4bad73f5,It is not guaranteed that diffusion models eliminate critical slowing down.,"pp.1-3, Introduction",The Gaussian O(n to infinity) limit permits an analytic study of score-learning and generation-time scaling for one- and two-layer local architectures.,"pp.4-12, theory","A one-layer model inherits critical slowing, while depth/locality changes training scaling from quadratic to logarithmic in system size in the controlled setting.","pp.13-23, results","The exact analysis is a Gaussian large-n limit, so interacting finite-n and gauge conclusions require new tests.","pp.24-25, conclusion",EV-25-P;EV-25-M;EV-25-R;EV-25-L,green_check_full_text
P_ROOT,2606.13790,SPS_ROOT,Stochastic Path Sampler For Lattice Field Theory,Shiyang Chen and Moxian Qian and Gert Aarts and Biagio Lucini and Kai Zhou,2026,root_sps,root,https://arxiv.org/abs/2606.13790,sources/pdfs/2606.13790.pdf,33,cc1be38bb8a641a8118606fda7b5d375170720e3e88a9f0c35562f335f2bda17,Critical slowing makes standard LFT sampling inefficient near transitions/continuum limits.,"pp.1-3, Introduction",SPS learns forward/backward stochastic paths by path-space variational free energy and corrects independent proposals with extended-space IMH.,"pp.4-9, SPS/IMH","For Lx8 2D phi4 through L=64, corrected observables agree with HMC; at kappa=0.27 tau_int is about 0.5 IMH steps versus about 160 HMC trajectories.","pp.10-20, results","Units are not cost matched; acceptance falls with volume, each (kappa,L) is trained separately, and the architecture grows globally with L.",pp.20-21 and Appendix B,EV-26-P;EV-26-M;EV-26-R;EV-26-L,green_check_full_text
P_2607_08505,2607.08505,,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan and Gert Aarts and Diaa E. Habibi and Biagio Lucini and Lingxiao Wang,2026,transfer_diffusion,external_addition,https://arxiv.org/abs/2607.08505,sources/pdfs/2607.08505.pdf,39,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572,Near-critical learned sampling needs diagnostics and credible transfer to unseen volume.,"pp.1-3, Introduction","A fully convolutional diffusion score shared across volumes is tested with local drift diagnostics, MALA acceptance, and HMC-referenced ESS.","pp.4-12, framework","2D transfer matches or improves in-distribution models; a 3D model trained on L=4,8,16,32 transfers to L=64 for most observables.","pp.13-31, results","Residual zero-mode/action-density bias remains, including a broken-phase susceptibility excess in 3D.",p.1 abstract; pp.30-32 discussion,EV-27-P;EV-27-M;EV-27-R;EV-27-L,green_check_full_text
