paper_id,arxiv_id,title,year,family,source_relation,primary_url,discovered_primary_url,pdf_url,doi,full_text,manual_read,claim_status,pdf_sha256
P016,2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,2022,Scaling / multiscale,external_extension,https://arxiv.org/abs/2211.07541,http://arxiv.org/abs/2211.07541,https://arxiv.org/pdf/2211.07541,10.48550/arxiv.2211.07541,verified,yes,green_check,7852044405efbe657ad5dece5b84c3d50ede2214c051159b84787eddd4c40542
P017,2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,2024,Stochastic flows,external_extension,https://arxiv.org/abs/2409.18861,http://arxiv.org/abs/2409.18861v2,https://arxiv.org/pdf/2409.18861,,verified,yes,green_check,662102a173db6d419f701a1247050e5d023acc0f0182a1d7a5c0719b04a82d5f
P018,2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,2025,Normalizing flows,external_extension,https://arxiv.org/abs/2510.21330,http://arxiv.org/abs/2510.21330v1,https://arxiv.org/pdf/2510.21330,,verified,yes,green_check,7ac19accf5bdd3497d3ee8af910518a0bec1194629d9c18368896e2956dd8689
P019,2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,2026,Diffusion,closure,https://arxiv.org/abs/2607.08505,https://arxiv.org/abs/2607.08505,https://arxiv.org/pdf/2607.08505,,verified,yes,green_check,29e9de724ae484a7998d3044fc9e34cb8edb16e812918f71c2d57359e4d73572
P020,2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,2026,Scaling / multiscale,closure,https://arxiv.org/abs/2604.10209,http://arxiv.org/abs/2604.10209v1,https://arxiv.org/pdf/2604.10209,,verified,yes,green_check,f63310ecd3fc85390956cdbd6dac9f8676cfbc5c7060411e2fb24b9d76f7dfe1
P021,2512.19575,Variational Autoregressive Networks Applied to phi4 Field Theory Systems,2025,Autoregressive,author_context,https://arxiv.org/abs/2512.19575,https://arxiv.org/abs/2512.19575,https://arxiv.org/pdf/2512.19575,,verified,yes,green_check,7572feab34168a4a32c01d6d2f9f00b5dd7bac62603476104e4d488363da9b96
P022,2309.17082,Diffusion models as stochastic quantization in lattice field theory,2024,Diffusion,direct_bibliography,https://arxiv.org/abs/2309.17082,https://link.springer.com/article/10.1007/JHEP05(2024)060,https://arxiv.org/pdf/2309.17082,10.1007/JHEP05(2024)060,verified,yes,green_check,3c6e52dcbf2a73118d59cb87490bb843ddbebce1e46c73b93f68caa144f242bc
P023,1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,2019,Normalizing flows,direct_bibliography,https://arxiv.org/abs/1904.12072,https://arxiv.org/abs/1904.12072,https://arxiv.org/pdf/1904.12072,10.1103/PhysRevD.100.034515,verified,yes,green_check,61749019a775a8141842ce23b4dce5678a3f712f311dfcc379747b943ccbe07d
P024,2003.06413,Equivariant flow-based sampling for lattice gauge theory,2020,Normalizing flows,direct_bibliography,https://arxiv.org/abs/2003.06413,https://hdl.handle.net/1721.1/134400,https://arxiv.org/pdf/2003.06413,10.48550/arxiv.2003.06413,verified,yes,green_check,6f5d0bb1effda44b3fcb55d40ba679495428944a8988c71c61e7ccf19258d1f4
P025,2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,2025,Normalizing flows,direct_bibliography,https://arxiv.org/abs/2107.00734,https://arxiv.org/abs/2107.00734,https://arxiv.org/pdf/2107.00734,,verified,yes,green_check,55998cffeab28dbcff6ac5448733fed20458dee16301075dfbecdf81914f8d69
P026,2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,2026,Scaling / multiscale,external_extension,https://arxiv.org/abs/2604.12416,https://arxiv.org/abs/2604.12416,https://arxiv.org/pdf/2604.12416,,verified,yes,green_check,158c4d0098c9f26e872a06174056b0e50f947201238953bd71e5fd94416a9004
P027,2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,2022,Normalizing flows,external_extension,https://arxiv.org/abs/2208.03832,http://arxiv.org/abs/2208.03832,https://arxiv.org/pdf/2208.03832,10.48550/arxiv.2208.03832,verified,yes,green_check,f898d7877b6b74d39596791b907d71f76d1cda17338d7892b092113889203e1f
P028,2601.20708,A scalable flow-based approach to mitigate topological freezing,2026,Stochastic flows,external_extension,https://arxiv.org/abs/2601.20708,http://arxiv.org/abs/2601.20708,https://arxiv.org/pdf/2601.20708,,verified,yes,green_check,d9ef54027185abea0d336993a8860c2c9c183eff1f4deb7ca54c6ab32ee5e821
P029,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,2025,Diffusion,external_extension,https://arxiv.org/abs/2510.26081,https://arxiv.org/abs/2510.26081,https://arxiv.org/pdf/2510.26081,,verified,yes,green_check,c315ee3cd880525f23586972af6fc9b50417a6a4799fc956b65e2a6f1c1acc6d
P030,2306.00581,Sampling U(1) gauge theory using a re-trainable conditional flow-based model,2023,Normalizing flows,external_extension,https://arxiv.org/abs/2306.00581,http://arxiv.org/abs/2306.00581,https://arxiv.org/pdf/2306.00581,10.48550/arxiv.2306.00581,verified,yes,green_check,2db1c3f931a2b47532bcb140737e37c47f750a36a0a61cfce7ab531b59e74a3b
P031,2605.12597,The critical slowing down in diffusion models,2026,Diagnostics / theory,round2_closure,https://arxiv.org/abs/2605.12597,https://arxiv.org/abs/2605.12597,https://arxiv.org/pdf/2605.12597,,verified,yes,green_check,e8d9fd459e637d0a91ff900b4ba79b3efee4fd12011e27774e3daeaf4bad73f5
