EdgeID,SourceID,TargetID,EdgeType,DirectlyCited,EvidenceID,RelationBasis,Confidence,HumanReviewStatus,PublicGraphStatus
R014,arxiv:2512.19575,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1696: Systems, 2512.19575.",high,reviewed,show
R015,arxiv:2309.17082,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1736: theory, Journal of High Energy Physics 2024 (2024) 60 [2309.17082].",high,reviewed,show
R016,arxiv:1904.12072,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1674: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",high,reviewed,show
R017,arxiv:2003.06413,arxiv:2606.13790,direct_citation,yes,E-260613790-I,Exact arXiv identifier appears in current-run text extraction at line 1689: [2003.06413].,high,reviewed,show
R018,arxiv:2107.00734,arxiv:2606.13790,direct_citation,yes,E-260613790-I,Exact arXiv identifier appears in current-run text extraction at line 1706: 2107.00734.,high,reviewed,show
R019,arxiv:2510.26081,arxiv:2606.13790,direct_citation,yes,E-260613790-I,"Exact arXiv identifier appears in current-run text extraction at line 1740: for Lattice Field Theory, 2510.26081.",high,reviewed,show
R020,arxiv:2211.01364,arxiv:2410.02711,direct_citation,yes,E-241002711-I,"Exact arXiv identifier appears in current-run text extraction at line 975: generative modeling, 2024. URL https://arxiv.org/abs/2211.01364.",high,reviewed,backend
R021,arxiv:2201.08862,arxiv:2409.15937,direct_citation,yes,E-240915937-I,"Exact arXiv identifier appears in current-run text extraction at line 1340: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,backend
R022,arxiv:2211.07541,arxiv:2409.15937,direct_citation,yes,E-240915937-I,Exact arXiv identifier appears in current-run text extraction at line 1346: Eur. Phys. J. A 59 (2023) 257 [2211.07541].,high,reviewed,backend
R023,arxiv:2409.15937,arxiv:2412.19109,direct_citation,yes,E-241219109-I,"Exact arXiv identifier appears in current-run text extraction at line 448: effective string using Stochastic Normalizing Flows, 2409.15937.",high,reviewed,backend
R024,arxiv:2201.08862,arxiv:2412.19109,direct_citation,yes,E-241219109-I,"Exact arXiv identifier appears in current-run text extraction at line 511: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,backend
R025,arxiv:2409.18861,arxiv:2412.19109,direct_citation,yes,E-241219109-I,Exact arXiv identifier appears in current-run text extraction at line 518: 2409.18861.,high,reviewed,backend
R026,arxiv:2201.08862,arxiv:2210.03139,direct_citation,yes,E-221003139-I,"Exact arXiv identifier appears in current-run text extraction at line 313: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,backend
R027,arxiv:2107.00734,arxiv:2210.03139,direct_citation,yes,E-221003139-I,"Exact arXiv identifier appears in current-run text extraction at line 378: Flow-based sampling for multimodal distributions in lattice field theory, 2107.00734.",high,reviewed,backend
R028,arxiv:2106.05934,arxiv:2201.08862,direct_citation,yes,E-220108862-I,"Exact arXiv identifier appears in current-run text extraction at line 1509: [2106.05934]. D. C. Hackett, C.-C. Hsieh, M. S. Albergo, D. Boyda, J.-W. Chen, K.-F. Chen",high,reviewed,backend
R029,arxiv:1904.12072,arxiv:2201.08862,direct_citation,yes,E-220108862-I,"Exact arXiv identifier appears in current-run text extraction at line 1493: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515, [1904.12072].",high,reviewed,backend
R030,arxiv:2003.06413,arxiv:2201.08862,direct_citation,yes,E-220108862-I,"Exact arXiv identifier appears in current-run text extraction at line 1496: [2003.06413]. D. Boyda, G. Kanwar, S. Racanière, D. J. Rezende, M. S. Albergo, K. Cran-",high,reviewed,backend
R031,arxiv:2107.00734,arxiv:2201.08862,direct_citation,yes,E-220108862-I,"Exact arXiv identifier appears in current-run text extraction at line 1510: et al., Flow-based sampling for multimodal distributions in lattice field theory, 2107.00734.",high,reviewed,backend
R032,arxiv:2410.02711,arxiv:2502.05504,direct_citation,yes,E-250205504-I,Exact arXiv identifier appears in current-run text extraction at line 1462: 2410.02711.,high,reviewed,backend
R033,arxiv:2201.08862,arxiv:2502.05504,direct_citation,yes,E-250205504-I,"Exact arXiv identifier appears in current-run text extraction at line 1344: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,backend
R034,arxiv:2311.03578,arxiv:2502.05504,direct_citation,yes,E-250205504-I,"Exact arXiv identifier appears in current-run text extraction at line 1395: 37th Conference on Neural Information Processing Systems, 2023 [2311.03578].",high,reviewed,backend
R035,arxiv:2211.07541,arxiv:2502.05504,direct_citation,yes,E-250205504-I,Exact arXiv identifier appears in current-run text extraction at line 1351: Eur. Phys. J. A 59 (2023) 257 [2211.07541].,high,reviewed,backend
R036,arxiv:2309.17082,arxiv:2502.05504,direct_citation,yes,E-250205504-I,"Exact arXiv identifier appears in current-run text extraction at line 1393: theory, JHEP 05 (2024) 060 [2309.17082].",high,reviewed,show
R037,arxiv:1904.12072,arxiv:2502.05504,direct_citation,yes,E-250205504-I,"Exact arXiv identifier appears in current-run text extraction at line 1298: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",high,reviewed,backend
R038,arxiv:2003.06413,arxiv:2502.05504,direct_citation,yes,E-250205504-I,Exact arXiv identifier appears in current-run text extraction at line 1314: [2003.06413].,high,reviewed,backend
R039,arxiv:2211.07541,arxiv:2311.03578,direct_citation,yes,E-231103578-I,Exact arXiv identifier appears in current-run text extraction at line 283: 2022. arXiv:2211.07541(hep-lat).,high,reviewed,backend
R040,arxiv:2309.17082,arxiv:2311.03578,direct_citation,yes,E-231103578-I,"Exact arXiv identifier appears in current-run text extraction at line 313: Lattice Field Theory, 2023. arXiv:2309.17082(hep-lat).",high,reviewed,backend
R041,arxiv:2107.00734,arxiv:2311.03578,direct_citation,yes,E-231103578-I,"Exact arXiv identifier appears in current-run text extraction at line 281: for multimodal distributions in lattice field theory, 2021. arXiv:2107.00734(hep-lat).",high,reviewed,backend
R042,arxiv:2502.05504,arxiv:2605.06134,direct_citation,yes,E-260506134-I,"Exact arXiv identifier appears in current-run text extraction at line 1429: [2] Q. Zhu, G. Aarts, W. Wang, K. Zhou, and L. Wang, (2025), arXiv:2502.05504 [hep-lat] .",high,reviewed,backend
R043,arxiv:2309.17082,arxiv:2605.06134,direct_citation,yes,E-260506134-I,"Exact arXiv identifier appears in current-run text extraction at line 1445: [12] L. Wang, G. Aarts, and K. Zhou, JHEP 05, 060 (2024), arXiv:2309.17082 [hep-lat] .",high,reviewed,backend
R044,arxiv:2003.06413,arxiv:2605.06134,direct_citation,yes,E-260506134-I,"Exact arXiv identifier appears in current-run text extraction at line 1433: and P. E. Shanahan, Phys. Rev. Lett. 125, 121601 (2020), arXiv:2003.06413 .",high,reviewed,backend
R045,arxiv:2510.26081,arxiv:2605.06134,direct_citation,yes,E-260506134-I,"Exact arXiv identifier appears in current-run text extraction at line 1444: [11] O. Vega, J. Komijani, A. El-Khadra, and M. Marinkovic, (2025), arXiv:2510.26081 .",high,reviewed,backend
R046,arxiv:2307.01050,arxiv:2211.01364,direct_citation,yes,E-221101364-I,"Exact arXiv identifier appears in current-run text extraction at line 1240: annealed flows and Schrödinger bridges. arXiv preprint arXiv:2307.01050, 2023.",high,reviewed,backend
R047,arxiv:2309.17082,arxiv:2605.11199,direct_citation,yes,E-260511199-I,"Exact arXiv identifier appears in current-run text extraction at line 2067: [3] M. S. Albergo, G. Kanwar, and P. E. Shanahan, Phys.                 05, 060, arXiv:2309.17082.",high,reviewed,backend
R048,arxiv:1904.12072,arxiv:2106.05934,direct_citation,yes,E-210605934-I,"Exact arXiv identifier appears in current-run text extraction at line 1648: Rev. D 100 no. 3, (2019) 034515, arXiv:1904.12072              (2007) 051601, arXiv:hep-lat/0608015.",high,reviewed,show
R049,arxiv:2003.06413,arxiv:2106.05934,direct_citation,yes,E-210605934-I,"Exact arXiv identifier appears in current-run text extraction at line 1658: arXiv:2003.06413 [hep-lat].                               [81] G. Bhanot, U. M. Heller, and I. O. Stamatescu Phys.",high,reviewed,backend
R050,arxiv:2210.03139,arxiv:2211.07541,direct_citation,yes,E-221107541-I,Exact arXiv identifier appears in current-run text extraction at line 1136: theory (2022). arXiv:2210.03139 [hep-lat]              machine learning classification capabili-,high,reviewed,backend
R051,arxiv:2201.08862,arxiv:2211.07541,direct_citation,yes,E-221107541-I,Exact arXiv identifier appears in current-run text extraction at line 1132: arXiv:2201.08862 [hep-lat]                             URL        https://link.aps.org/doi/10.1103/,high,reviewed,backend
R052,arxiv:2106.05934,arxiv:2211.07541,direct_citation,yes,E-221107541-I,Exact arXiv identifier appears in current-run text extraction at line 1080: theories (2021). arXiv:2106.05934 [hep-lat],high,reviewed,backend
R053,arxiv:1904.12072,arxiv:2211.07541,direct_citation,yes,E-221107541-I,Exact arXiv identifier appears in current-run text extraction at line 1018: mat.str-el]                                              PhysRevD.100.034515.    arXiv:1904.12072,high,reviewed,backend
R054,arxiv:2003.06413,arxiv:2211.07541,direct_citation,yes,E-221107541-I,Exact arXiv identifier appears in current-run text extraction at line 1066: PhysRevLett.125.121601. arXiv:2003.06413,high,reviewed,backend
R055,arxiv:2107.00734,arxiv:2211.07541,direct_citation,yes,E-221107541-I,Exact arXiv identifier appears in current-run text extraction at line 1052: arXiv:2107.00734 [hep-lat]                             down using global correction steps with,high,reviewed,backend
R056,arxiv:2208.03832,arxiv:2211.07541,direct_citation,yes,E-221107541-I,"Exact arXiv identifier appears in current-run text extraction at line 1073: Rev. D 103(7), 074,504 (2021). https:                  flow models (2022). arXiv:2208.03832 [hep-",high,reviewed,backend
R057,arxiv:2409.15937,arxiv:2409.18861,direct_citation,yes,E-240918861-I,"Exact arXiv identifier appears in current-run text extraction at line 510: effective string using Stochastic Normalizing Flows, 2409.15937.",high,reviewed,backend
R058,arxiv:2201.08862,arxiv:2409.18861,direct_citation,yes,E-240918861-I,"Exact arXiv identifier appears in current-run text extraction at line 504: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,show
R059,arxiv:2211.07541,arxiv:2409.18861,direct_citation,yes,E-240918861-I,Exact arXiv identifier appears in current-run text extraction at line 482: Eur. Phys. J. A 59 (2023) 257 [2211.07541].,high,reviewed,backend
R060,arxiv:2606.13790,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2814: Learn. Sci. Tech. 5, 045053 (2024), arXiv:2401.00828                arXiv:2606.13790 [hep-lat].",high,reviewed,backend
R061,arxiv:2201.08862,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2797: JHEP 07, 015, arXiv:2201.08862 [hep-lat].                           060, arXiv:2309.17082 [hep-lat].",high,reviewed,backend
R062,arxiv:2502.05504,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2821: S. Kühn, and S. Nakajima, Multilevel Generative Sam-               theory, JHEP 03, 111, arXiv:2502.05504 [hep-lat].",high,reviewed,show
R063,arxiv:2311.03578,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2801: [18] J. Cotler and S. Rezchikov, Renormalization group flow              arXiv:2311.03578 [hep-lat].",high,reviewed,backend
R064,arxiv:2605.06134,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2830: arXiv:2510.26678 [hep-lat].                                         model for SU(N) gauge theories (2026), arXiv:2605.06134",high,reviewed,backend
R065,arxiv:2211.07541,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2875: 257 (2023), arXiv:2211.07541 [hep-lat].                           (2023), arXiv:2207.00283 [hep-lat].",high,reviewed,backend
R066,arxiv:2309.17082,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2797: JHEP 07, 015, arXiv:2201.08862 [hep-lat].                           060, arXiv:2309.17082 [hep-lat].",high,reviewed,backend
R067,arxiv:1904.12072,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2777: [7] M. Luscher and P. Weisz, Scaling Laws and Triviality              arXiv:1904.12072 [hep-lat].",high,reviewed,backend
R068,arxiv:2605.12597,arxiv:2607.08505,direct_citation,yes,E-260708505-I,"Exact arXiv identifier appears in current-run text extraction at line 2842: arXiv:1907.05600 [cs.LG].                                           (2026), arXiv:2605.12597 [cond-mat.dis-nn].",high,reviewed,show
R069,arxiv:2409.15937,arxiv:2604.10209,direct_citation,yes,E-260410209-I,Exact arXiv identifier appears in current-run text extraction at line 690: arXiv:2106.05934 [hep-lat].                                       arXiv:2409.15937 [hep-lat].,high,reviewed,backend
R070,arxiv:2201.08862,arxiv:2604.10209,direct_citation,yes,E-260410209-I,"Exact arXiv identifier appears in current-run text extraction at line 688: J. M. Urban, D. Boyda, K. Cranmer, D. C. Hackett,                 07, 015, arXiv:2201.08862 [hep-lat].",high,reviewed,backend
R071,arxiv:2502.05504,arxiv:2604.10209,direct_citation,yes,E-260410209-I,"Exact arXiv identifier appears in current-run text extraction at line 716: arXiv (2025), arXiv:2502.05504 [hep-lat].                     Appendix A: HMC Simulation: Critical Slowing",high,reviewed,backend
R072,arxiv:2106.05934,arxiv:2604.10209,direct_citation,yes,E-260410209-I,Exact arXiv identifier appears in current-run text extraction at line 690: arXiv:2106.05934 [hep-lat].                                       arXiv:2409.15937 [hep-lat].,high,reviewed,backend
R073,arxiv:2211.07541,arxiv:2604.10209,direct_citation,yes,E-260410209-I,Exact arXiv identifier appears in current-run text extraction at line 737: arXiv:2211.07541 [hep-lat].                                  L       Chain length       Acceptance       Wall-clock time,high,reviewed,backend
R074,arxiv:2510.21330,arxiv:2604.10209,direct_citation,yes,E-260410209-I,Exact arXiv identifier appears in current-run text extraction at line 724: arXiv:2510.21330 [cs.LG].                                   molecular-dynamics trajectory length τMD = 1 and,high,reviewed,backend
R075,arxiv:2309.17082,arxiv:2604.10209,direct_citation,yes,E-260410209-I,Exact arXiv identifier appears in current-run text extraction at line 714: arXiv:2309.17082 [hep-lat].,high,reviewed,backend
R076,arxiv:2003.06413,arxiv:2604.10209,direct_citation,yes,E-260410209-I,Exact arXiv identifier appears in current-run text extraction at line 686: arXiv:2003.06413 [hep-lat].                                       arXiv:2410.13161 [hep-lat].,high,reviewed,backend
R077,arxiv:2510.26081,arxiv:2604.10209,direct_citation,yes,E-260410209-I,Exact arXiv identifier appears in current-run text extraction at line 722: arXiv preprint arXiv:2510.26081 (2025).,high,reviewed,backend
R078,arxiv:2211.07541,arxiv:2512.19575,direct_citation,yes,E-251219575-I,Exact arXiv identifier appears in current-run text extraction at line 1184: [2211.07541].,high,reviewed,backend
R079,arxiv:2309.17082,arxiv:2512.19575,direct_citation,yes,E-251219575-I,"Exact arXiv identifier appears in current-run text extraction at line 1225: theory, JHEP 05 (2024) 060 [2309.17082].",high,reviewed,backend
R080,arxiv:1904.12072,arxiv:2512.19575,direct_citation,yes,E-251219575-I,"Exact arXiv identifier appears in current-run text extraction at line 1178: chain monte carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",high,reviewed,backend
R081,arxiv:2003.06413,arxiv:2512.19575,direct_citation,yes,E-251219575-I,Exact arXiv identifier appears in current-run text extraction at line 1187: [2003.06413].,high,reviewed,backend
R082,arxiv:2201.08862,arxiv:2309.17082,direct_citation,yes,E-230917082-I,"Exact arXiv identifier appears in current-run text extraction at line 1464: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,backend
R083,arxiv:2106.05934,arxiv:2309.17082,direct_citation,yes,E-230917082-I,Exact arXiv identifier appears in current-run text extraction at line 1449: [2106.05934].,high,reviewed,backend
R084,arxiv:2211.07541,arxiv:2309.17082,direct_citation,yes,E-230917082-I,Exact arXiv identifier appears in current-run text extraction at line 1481: 2211.07541.,high,reviewed,backend
R085,arxiv:1904.12072,arxiv:2309.17082,direct_citation,yes,E-230917082-I,"Exact arXiv identifier appears in current-run text extraction at line 1440: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",high,reviewed,backend
R086,arxiv:2003.06413,arxiv:2309.17082,direct_citation,yes,E-230917082-I,Exact arXiv identifier appears in current-run text extraction at line 1443: 121601 [2003.06413].,high,reviewed,backend
R087,arxiv:2107.00734,arxiv:2309.17082,direct_citation,yes,E-230917082-I,"Exact arXiv identifier appears in current-run text extraction at line 1457: Flow-based sampling for multimodal distributions in lattice field theory, 2107.00734.",high,reviewed,backend
R088,arxiv:2210.03139,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2918: LATTICE2022, 005 (2023), arXiv:2210.03139 [hep-                            N i",high,reviewed,backend
R089,arxiv:2201.08862,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2761: [17] S.-H. Li and L. Wang, Phys. Rev. Lett. 121, 260601             07, 015 (2022), arXiv:2201.08862 [hep-lat].",high,reviewed,backend
R090,arxiv:2106.05934,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2794: arXiv:2106.05934 [hep-lat].                                    229 (2023), arXiv:2212.11387 [hep-lat].",high,reviewed,backend
R091,arxiv:2211.07541,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2788: 107, 054501 (2023), arXiv:2010.11900 [hep-lat].           [51] R. Abbott et al., (2022), arXiv:2211.07541 [hep-lat].",high,reviewed,backend
R092,arxiv:1904.12072,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2768: D 100, 034515 (2019), arXiv:1904.12072 [hep-lat].         [43] J. Finkenrath, (2022), arXiv:2201.02216 [hep-lat].",high,reviewed,backend
R093,arxiv:2003.06413,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2772: arXiv:2003.06413 [hep-lat].                                    L. Wang, and K. Zhou, Phys. Rev. D 107, 056001",high,reviewed,backend
R094,arxiv:2208.03832,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2819: arXiv:2208.03832 [hep-lat].                                    D. Roweth, Phys. Lett. B 195, 216 (1987).",high,reviewed,backend
R095,arxiv:2306.00581,arxiv:2107.00734,direct_citation,yes,E-210700734-I,"Exact arXiv identifier appears in current-run text extraction at line 2815: [37] S. Foreman, T. Izubuchi, L. Jin, X.-Y. Jin, J. C.              arXiv:2306.00581 [hep-lat].",high,reviewed,backend
R096,arxiv:2201.08862,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 860: non-equilibrium transformations, JHEP 07 (2022) 015, [2201.08862].",high,reviewed,backend
R097,arxiv:2502.05504,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 818: lattice gauge theory, JHEP 03 (2026) 111, [2502.05504].",high,reviewed,backend
R098,arxiv:2211.07541,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 800: Eur. Phys. J. A 59 (2023) 257, [2211.07541].",high,reviewed,show
R099,arxiv:2409.18861,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 869: Normalizing Flows, PoS LATTICE2024 (2025) 040, [2409.18861].",high,reviewed,backend
R100,arxiv:2309.17082,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 812: theory, JHEP 05 (2024) 060, [2309.17082].",high,reviewed,backend
R101,arxiv:2003.06413,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 775: 121601, [2003.06413].",high,reviewed,backend
R102,arxiv:2601.20708,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 857: Symposium on Lattice Field Theory, 1, 2026. 2601.20708.",high,reviewed,backend
R103,arxiv:2510.26081,arxiv:2604.12416,direct_citation,yes,E-260412416-I,"Exact arXiv identifier appears in current-run text extraction at line 824: Models for Lattice Field Theory, 2510.26081.",high,reviewed,backend
R104,arxiv:2201.08862,arxiv:2208.03832,direct_citation,yes,E-220803832-I,"Exact arXiv identifier appears in current-run text extraction at line 613: [41] M. Caselle, E. Cellini, A. Nada, and M. Panero arXiv:2201.08862 [hep-lat].",high,reviewed,backend
R105,arxiv:2106.05934,arxiv:2208.03832,direct_citation,yes,E-220803832-I,Exact arXiv identifier appears in current-run text extraction at line 585: arXiv:2106.05934 [hep-lat].,high,reviewed,show
R106,arxiv:1904.12072,arxiv:2208.03832,direct_citation,yes,E-220803832-I,Exact arXiv identifier appears in current-run text extraction at line 570: arXiv:1904.12072 [hep-lat].,high,reviewed,backend
R107,arxiv:2003.06413,arxiv:2208.03832,direct_citation,yes,E-220803832-I,Exact arXiv identifier appears in current-run text extraction at line 577: arXiv:2003.06413 [hep-lat].,high,reviewed,show
R108,arxiv:2107.00734,arxiv:2208.03832,direct_citation,yes,E-220803832-I,"Exact arXiv identifier appears in current-run text extraction at line 594: G. Kanwar, and P. E. Shanahan arXiv:2107.00734 [hep-lat].",high,reviewed,backend
R109,arxiv:2409.15937,arxiv:2601.20708,direct_citation,yes,E-260120708-I,"Exact arXiv identifier appears in current-run text extraction at line 455: effective string using Stochastic Normalizing Flows, JHEP 02 (2025) 090 [2409.15937].",high,reviewed,backend
R110,arxiv:2201.08862,arxiv:2601.20708,direct_citation,yes,E-260120708-I,"Exact arXiv identifier appears in current-run text extraction at line 452: non-equilibrium transformations, JHEP 07 (2022) 015 [2201.08862].",high,reviewed,show
R111,arxiv:2502.05504,arxiv:2601.20708,direct_citation,yes,E-260120708-I,"Exact arXiv identifier appears in current-run text extraction at line 558: for Lattice Gauge Theory, 2502.05504.",high,reviewed,backend
R112,arxiv:2106.05934,arxiv:2601.20708,direct_citation,yes,E-260120708-I,Exact arXiv identifier appears in current-run text extraction at line 525: [2106.05934].,high,reviewed,backend
R113,arxiv:2309.17082,arxiv:2601.20708,direct_citation,yes,E-260120708-I,"Exact arXiv identifier appears in current-run text extraction at line 548: theory, JHEP 05 (2024) 060 [2309.17082].",high,reviewed,backend
R114,arxiv:1904.12072,arxiv:2601.20708,direct_citation,yes,E-260120708-I,"Exact arXiv identifier appears in current-run text extraction at line 469: chain Monte Carlo in lattice field theory, Phys. Rev. D 100 (2019) 034515 [1904.12072].",high,reviewed,backend
R115,arxiv:2003.06413,arxiv:2601.20708,direct_citation,yes,E-260120708-I,Exact arXiv identifier appears in current-run text extraction at line 505: 121601 [2003.06413].,high,reviewed,backend
R116,arxiv:2510.26081,arxiv:2601.20708,direct_citation,yes,E-260120708-I,"Exact arXiv identifier appears in current-run text extraction at line 564: Models for Lattice Field Theory, 2510.26081.",high,reviewed,backend
R117,arxiv:2502.05504,arxiv:2510.26081,direct_citation,yes,E-251026081-I,Exact arXiv identifier appears in current-run text extraction at line 2525: Models for Lattice Gauge Theory. arXiv:2502.05504.,high,reviewed,backend
R118,arxiv:2311.03578,arxiv:2510.26081,direct_citation,yes,E-251026081-I,Exact arXiv identifier appears in current-run text extraction at line 2486: Theory. arXiv:2311.03578.,high,reviewed,backend
R119,arxiv:2211.07541,arxiv:2510.26081,direct_citation,yes,E-251026081-I,Exact arXiv identifier appears in current-run text extraction at line 2326: Sampling of Lattice QCD. Eur. Phys. J. A 59 (2023) 257 [2211.07541].,high,reviewed,backend
R120,arxiv:2309.17082,arxiv:2510.26081,direct_citation,yes,E-251026081-I,Exact arXiv identifier appears in current-run text extraction at line 2489: Lattice Field Theory. J. High Energ. Phys. 5 (2024) 60 [2309.17082].,high,reviewed,show
R121,arxiv:1904.12072,arxiv:2510.26081,direct_citation,yes,E-251026081-I,Exact arXiv identifier appears in current-run text extraction at line 2284: 034515 [arXiv:1904.12072].,high,reviewed,backend
R122,arxiv:2003.06413,arxiv:2510.26081,direct_citation,yes,E-251026081-I,Exact arXiv identifier appears in current-run text extraction at line 2298: Gauge Theory. Phys. Rev. Lett. 125 (2020) 121601 [2003.06413].,high,reviewed,backend
R123,arxiv:2208.03832,arxiv:2510.26081,direct_citation,yes,E-251026081-I,Exact arXiv identifier appears in current-run text extraction at line 2321: Gauge-Equivariant Flow Models. PoS LATTICE2022 (2023) 036 [2208.03832].,high,reviewed,backend
R124,arxiv:2107.00734,arxiv:2306.00581,direct_citation,yes,E-230600581-I,"Exact arXiv identifier appears in current-run text extraction at line 506: arXiv:2107.00734, 7 2021.                    Albergo, Gurtej Kanwar, Phiala E.",high,reviewed,backend
