candidate_id,title,authors,year,doi,arxiv_id,primary_url,facets,families,method_groups,query_ids,route_occurrences,score,decision,screen_reason,provenance
arxiv:2605.06134,Diffusion model for SU(N) gauge theories,Javad Komijani; Marina K. Marinkovic; Lara Turgut,2026,,2605.06134,https://arxiv.org/abs/2605.06134,author;lineage,author;backward,diffusion;gauge,Q04;Q08,2,14,include,score=14; phrase_hits=0; strong_domain=lattice gauge; root_methods=; domain=diffusion;gauge;lattice;monte;sampl; routes=author;backward,current OpenAlex response;current root bibliography ref 30
arxiv:2106.05934,Flow-based sampling for fermionic lattice field theories,Michael S. Albergo; Gurtej Kanwar; Sébastien Racanière; Danilo J. Rezende; Julian M. Urban; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Phiala E. Shanahan,2021,,2106.05934,http://arxiv.org/abs/2106.05934v2,adjacent_method;lineage,backward;keyword,fermion;flow;gauge,Q04;Q28,2,14,include,score=14; phrase_hits=2; strong_domain=lattice field;scalar field; root_methods=; domain=field;flow;gauge;lattice;sampl;scalar; routes=backward;keyword,current arXiv API response;current root bibliography ref 7
arxiv:2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2024,,2409.18861,http://arxiv.org/abs/2409.18861v2,adjacent_method;extension,extension;keyword,failure;flow;gauge;scaling;stochastic_flow,Q28;Q33,2,14,include,score=14; phrase_hits=5; strong_domain=gauge theory;lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;gauge;lattice;monte;sampl;stochastic; routes=extension;keyword,current OpenAlex response;current arXiv API response
arxiv:2211.01364,An optimal control perspective on diffusion-based generative modeling,Julius Berner; Lorenz Richter; Karen Ullrich,2022,10.48550/arxiv.2211.01364,2211.01364,http://arxiv.org/abs/2211.01364,lineage,backward;closure,diffusion,Q04;Q36,2,13,include,score=13; phrase_hits=0; strong_domain=; root_methods=; domain=diffusion;path;sampl;stochastic; routes=backward;closure,current OpenAlex response;current root bibliography ref 35
doi:10.1007/jhep03(2026)111,Physics-conditioned diffusion models for lattice gauge theory,Qianteng Zhu; Gert Aarts; Wei Wang; Kai Zhou; Lingxiao Wang,2026,10.1007/jhep03(2026)111,,https://doi.org/10.1007/jhep03(2026)111,author;extension,author;extension,diffusion;failure;gauge,Q06;Q33,2,13,include,score=13; phrase_hits=2; strong_domain=gauge theory;lattice gauge; root_methods=; domain=diffusion;gauge;lattice;monte;sampl;stochastic;topolog; routes=author;extension,current OpenAlex response
arxiv:2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; K. Cranmer; Daniel C. Hackett; Alexander Matthews; Sébastien Racanière; Ali Razavi; Danilo Jimenez Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,10.48550/arxiv.2211.07541,2211.07541,http://arxiv.org/abs/2211.07541,extension,extension,failure;fermion;flow;gauge;scaling,Q33,1,13,include,score=13; phrase_hits=4; strong_domain=lattice field;lattice qcd; root_methods=; domain=field;flow;lattice;sampl;topolog; routes=extension,current OpenAlex response
arxiv:2309.17082,Diffusion models as stochastic quantization in lattice field theory,"Wang, Lingxiao and Aarts, Gert and Zhou, Kai",2024,10.1007/JHEP05(2024)060,2309.17082,https://link.springer.com/article/10.1007/JHEP05(2024)060,lineage,backward,diffusion,Q04,1,13,include,score=13; phrase_hits=2; strong_domain=lattice field; root_methods=; domain=diffusion;field;lattice;stochastic; routes=backward,current root bibliography ref 25
arxiv:1904.12072,Flow-based generative models for Markov chain Monte Carlo in lattice field theory,"Albergo, M. S. and Kanwar, G. and Shanahan, P. E.",2019,10.1103/PhysRevD.100.034515,1904.12072,https://arxiv.org/abs/1904.12072,lineage,backward,flow,Q04,1,13,include,score=13; phrase_hits=1; strong_domain=lattice field;markov chain monte carlo; root_methods=; domain=field;flow;lattice;markov;monte; routes=backward,current root bibliography ref 5
arxiv:2111.15141,Path Integral Sampler: a stochastic control approach for sampling,"Zhang, Qinsheng and Chen, Yongxin",2022,,2111.15141,https://arxiv.org/abs/2111.15141,lineage,backward,path_space,Q04,1,13,include,score=13; phrase_hits=0; strong_domain=path integral sampler; root_methods=path integral sampler; domain=path;sampl;stochastic; routes=backward,current root bibliography ref 33
doi:10.22323/1.466.0037,Diffusion models and stochastic quantisation in lattice field theory,Gert Aarts; Lingxiao Wang; Kai Zhou,2025,10.22323/1.466.0037,,https://doi.org/10.22323/1.466.0037,author;identity,author;root,diffusion,Q02;Q08,2,12,include,score=12; phrase_hits=1; strong_domain=lattice field;scalar field; root_methods=; domain=diffusion;field;lattice;scalar;stochastic; routes=author;root,current Crossref response;current OpenAlex response
arxiv:2003.06413,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; K. Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020,10.48550/arxiv.2003.06413,2003.06413,https://hdl.handle.net/1721.1/134400,extension;lineage,backward;keyword,flow;gauge,Q04;Q24,2,12,include,score=12; phrase_hits=0; strong_domain=gauge theory;lattice gauge; root_methods=; domain=flow;gauge;lattice;monte;sampl;topolog; routes=backward;keyword,current OpenAlex response;current root bibliography ref 8
arxiv:2302.13834,Denoising Diffusion Samplers,"Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",2023,,2302.13834,https://arxiv.org/abs/2302.13834,lineage,backward,diffusion;path_space,Q04,1,12,include,score=12; phrase_hits=0; strong_domain=; root_methods=denoising diffusion sampler; domain=diffusion;sampl; routes=backward,current root bibliography ref 34
arxiv:2607.08505,Diffusion Models for Sampling Near Criticality in Lattice Field Theories,Yang-yang Tan; Gert Aarts; Diaa E. Habibi; Biagio Lucini; Lingxiao Wang,2026,,2607.08505,https://arxiv.org/abs/2607.08505,evaluation,closure,diffusion;scaling,W03,1,12,include,score=12; phrase_hits=0; strong_domain=lattice field; root_methods=; domain=diffusion;field;lattice;sampl; routes=closure,current-run recency and collaborator closure
arxiv:2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,Daniel C. Hackett and Chung-Chun Hsieh and Sahil Pontula and Michael S. Albergo and Denis Boyda and Jiunn-Wei Chen and Kai-Feng Chen and Kyle Cranmer and Gurtej Kanwar and Phiala E. Shanahan,2025,,2107.00734,https://arxiv.org/abs/2107.00734,lineage,backward,flow,Q04,1,12,include,score=12; phrase_hits=1; strong_domain=lattice field; root_methods=; domain=field;flow;lattice;sampl; routes=backward,current root bibliography ref 15
arxiv:2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,Urs Wenger,2026,,2604.12416,https://arxiv.org/abs/2604.12416,extension,extension,diffusion;flow;gauge;scaling;stochastic_flow,Q33,1,12,include,score=12; phrase_hits=3; strong_domain=gauge theory;lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=diffusion;field;flow;gauge;lattice;sampl;stochastic; routes=extension,current OpenAlex response
arxiv:2510.21330,SCORENF: Score-based Normalizing Flows for Sampling Unnormalized distributions,Vikas Kanaujia; Vipul Arora,2025,,2510.21330,http://arxiv.org/abs/2510.21330v1,correction,keyword,diffusion;failure;flow,Q27,1,12,include,score=12; phrase_hits=5; strong_domain=lattice field;markov chain monte carlo;phi 4;unnormalized distribution;unnormalized target; root_methods=; domain=field;flow;lattice;markov;monte;phi;sampl; routes=keyword,current arXiv API response
doi:10.1103/physrevd.111.074517,Scaling of stochastic normalizing flows in SU(3) lattice gauge theory,Andrea Bulgarelli; Elia Cellini; Alessandro Nada,2025,10.1103/physrevd.111.074517,,https://doi.org/10.1103/physrevd.111.074517,extension,extension,failure;flow;gauge;scaling;stochastic_flow,Q33,1,12,include,score=12; phrase_hits=5; strong_domain=gauge theory;lattice gauge;markov chain monte carlo;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;gauge;lattice;markov;monte;sampl;stochastic; routes=extension,current OpenAlex response
title:stochastic normalizing flows,Stochastic Normalizing Flows,"Wu, Hao and K\"" o hler, Jonas and Noe, Frank",2020,,,https://proceedings.neurips.cc/paper\_files/paper/2020/file/41d80bfc327ef980528426fc810a6d7a-Paper.pdf,lineage,backward,flow;stochastic_flow,Q04,1,12,include,score=12; phrase_hits=2; strong_domain=stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;stochastic; routes=backward,current root bibliography ref 18
arxiv:2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,"Vargas, Francisco and Padhy, Shreyas and Blessing, Denis and N \""u sken, Nikolas",2024,,2307.01050,https://arxiv.org/abs/2307.01050,lineage,backward,diffusion;path_space,Q04,1,12,include,score=12; phrase_hits=0; strong_domain=; root_methods=controlled monte carlo diffusion; domain=diffusion;monte; routes=backward,current root bibliography ref 37
arxiv:2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; K. Cranmer; Daniel C. Hackett; Gurtej Kanwar; Alexander Matthews; Sébastien Racanière; Ali Razavi; Danilo Jimenez Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022,10.48550/arxiv.2208.03832,2208.03832,http://arxiv.org/abs/2208.03832,adjacent_method;extension,keyword,failure;fermion;flow;gauge,Q24;Q28,2,11,include,score=11; phrase_hits=4; strong_domain=lattice field; root_methods=; domain=field;flow;gauge;lattice;sampl;topolog; routes=keyword,current OpenAlex response;current arXiv API response
arxiv:2604.10209,Scalable Generative Sampling and Multilevel Estimation for Lattice Field Theories Near Criticality,A. Singha; J. Kauffmann; E. Cellini; K. Jansen; S. Nakajima,2026,,2604.10209,http://arxiv.org/abs/2604.10209v1,adjacent_method;evaluation,closure;keyword,failure;flow;scaling,Q29;W04,2,11,include,score=11; phrase_hits=2; strong_domain=boltzmann distribution;lattice field;phi 4; root_methods=continuous normalizing flow; domain=boltzmann;field;flow;lattice;markov;monte;phi;sampl; routes=closure;keyword,current arXiv API response;current-run critical-scaling closure
arxiv:2601.20708,A scalable flow-based approach to mitigate topological freezing,Claudio Bonanno; Andrea Bulgarelli; Elia Cellini; Alessandro Nada; Dario Panfalone; Davide Vadacchino; Lorenzo Verzichelli,2026,,2601.20708,http://arxiv.org/abs/2601.20708,extension,extension,failure;flow;gauge;scaling;stochastic_flow,Q33,1,11,include,score=11; phrase_hits=2; strong_domain=lattice gauge;markov chain monte carlo;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;gauge;lattice;markov;monte;path;sampl;stochastic; routes=extension,current OpenAlex response
doi:10.1140/epja/s10050-023-01154-w,Aspects of scaling and scalability for flow-based sampling of lattice QCD,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; K. Cranmer; Daniel C. Hackett; Alexander Matthews; Sébastien Racanière; Ali Razavi; Danilo Jimenez Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2023,10.1140/epja/s10050-023-01154-w,,https://doi.org/10.1140/epja/s10050-023-01154-w,extension,extension,failure;fermion;flow;gauge;scaling,Q33,1,11,include,score=11; phrase_hits=4; strong_domain=lattice field;lattice qcd; root_methods=; domain=field;flow;lattice;sampl;topolog; routes=extension,current OpenAlex response
arxiv:2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,"Vega, Octavio and Komijani, Javad and El-Khadra, Aida and Marinkovic, Marina",2025,,2510.26081,https://arxiv.org/abs/2510.26081,lineage,backward,diffusion,Q04,1,11,include,score=11; phrase_hits=1; strong_domain=lattice field; root_methods=; domain=diffusion;field;lattice; routes=backward,current root bibliography ref 27
arxiv:2410.02711,NETS: A Non-Equilibrium Transport Sampler,"Albergo, Michael S. and Vanden-Eijnden, Eric",2024,,2410.02711,https://arxiv.org/abs/2410.02711,lineage,backward,path_space,Q04,1,11,include,score=11; phrase_hits=0; strong_domain=; root_methods=non equilibrium transport sampler; domain=sampl; routes=backward,current root bibliography ref 38
doi:10.1103/physrevd.103.074504,"Sampling using<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>SU</mml:mi><mml:mo stretchy=""false"">(</mml:mo><mml:mi>N</mml:mi><mml:mo stretchy=""false"">)</mml:mo></mml:mrow></mml:math>gauge equivariant flows",Denis Boyda; Gurtej Kanwar; Sébastien Racanière; Danilo Jimenez Rezende; Michael S. Albergo; K. Cranmer; Daniel C. Hackett; Phiala E. Shanahan,2021,10.1103/physrevd.103.074504,,https://doi.org/10.1103/physrevd.103.074504,extension;identity;lineage,backward;keyword;root,flow;gauge,Q01;Q04;Q24,3,10,include,score=10; phrase_hits=1; strong_domain=gauge theory;lattice gauge; root_methods=; domain=flow;gauge;lattice;sampl; routes=backward;keyword;root,current OpenAlex response;current root bibliography ref 9
doi:10.1103/physrevd.107.014512,Conditional normalizing flow for Markov chain Monte Carlo sampling in the critical region of lattice field theory,Ankur Singha; Dipankar Chakrabarti; Vipul Arora,2023,10.1103/physrevd.107.014512,,https://doi.org/10.1103/physrevd.107.014512,author;failure,adversarial;author,failure;flow,Q10;Q32,2,10,include,score=10; phrase_hits=3; strong_domain=lattice field;markov chain monte carlo; root_methods=; domain=field;flow;lattice;markov;monte;sampl; routes=adversarial;author,current OpenAlex response
doi:10.1103/physrevd.108.114501,Detecting and mitigating mode-collapse for flow-based sampling of lattice field theories,Kim A. Nicoli; Christopher J. Anders; Tobias Hartung; Karl Jansen; Pan Kessel; Shinichi Nakajima,2023,10.1103/physrevd.108.114501,,https://doi.org/10.1103/physrevd.108.114501,failure,adversarial;keyword,failure;flow,Q23;Q32,2,10,include,score=10; phrase_hits=3; strong_domain=lattice field;markov chain monte carlo; root_methods=; domain=field;flow;lattice;markov;monte;sampl;thermodynamic; routes=adversarial;keyword,current OpenAlex response
arxiv:2306.00581,Sampling U(1) gauge theory using a re-trainable conditional flow-based model,"Ankur Singha; Dipankar Chakrabarti; Arora, Vipul",2023,10.48550/arxiv.2306.00581,2306.00581,http://arxiv.org/abs/2306.00581,author;extension,author;extension,failure;flow;gauge,Q10;Q33,2,10,include,score=10; phrase_hits=1; strong_domain=gauge theory;lattice gauge; root_methods=; domain=flow;gauge;lattice;monte;sampl;topolog; routes=author;extension,current OpenAlex response
arxiv:2601.10774,Analytic Bijections for Smooth and Interpretable Normalizing Flows,Mathis Gerdes; Miranda C. N. Cheng,2026,,2601.10774,http://arxiv.org/abs/2601.10774v2,adjacent_method,keyword,failure;flow,Q28,1,10,include,score=10; phrase_hits=3; strong_domain=lattice field;phi 4; root_methods=; domain=field;flow;lattice;phi;scalar; routes=keyword,current arXiv API response
arxiv:2302.14082,Detecting and Mitigating Mode-Collapse for Flow-based Sampling of Lattice Field Theories,Kim A. Nicoli; Christopher J. Anders; Tobias Hartung; Karl Jansen; Pan Kessel; Shinichi Nakajima,2023,,2302.14082,http://arxiv.org/abs/2302.14082v2,adjacent_method,keyword,failure;flow,Q28,1,10,include,score=10; phrase_hits=3; strong_domain=lattice field; root_methods=; domain=field;flow;lattice;markov;sampl;thermodynamic; routes=keyword,current arXiv API response
arxiv:2602.09045,Diffusion Models for SU(2) Lattice Gauge Theory in Two Dimensions,"Alharazin, H. and Panteleeva, J. Yu. and Sun, B. -D.",2026,,2602.09045,https://arxiv.org/abs/2602.09045,lineage,backward,diffusion;gauge,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=gauge theory;lattice gauge; root_methods=; domain=diffusion;gauge;lattice; routes=backward,current root bibliography ref 29
arxiv:2007.07115,Estimation of Thermodynamic Observables in Lattice Field Theories with Deep Generative Models,"Nicoli, Kim A. and Anders, Christopher J. and Funcke, Lena and Hartung, Tobias and Jansen, Karl and Kessel, Pan and Nakajima, Shinichi and Stornati, Paolo",2021,10.1103/PhysRevLett.126.032001,2007.07115,https://arxiv.org/abs/2007.07115,lineage,backward,,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=lattice field; root_methods=; domain=field;lattice;thermodynamic; routes=backward,current root bibliography ref 6
arxiv:2202.11712,Flow-based sampling in the lattice Schwinger model at criticality,"Albergo, Michael S. and Boyda, Denis and Cranmer, Kyle and Hackett, Daniel C. and Kanwar, Gurtej and Racani \`e re, S \'e bastien and Rezende, Danilo J. and Romero-L \'o pez, Fernando and Shanahan, Phiala E. and Urban, Julian M.",2022,10.1103/PhysRevD.106.014514,2202.11712,https://arxiv.org/abs/2202.11712,lineage,backward,fermion;flow,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=; root_methods=; domain=flow;lattice;sampl; routes=backward,current root bibliography ref 10
arxiv:2601.19552,Generalizable Equivariant Diffusion Models for Non-Abelian Lattice Gauge Theory,"Aarts, Gert and Habibi, Diaa E. and Ipp, Andreas and M \""u ller, David I. and Ranner, Thomas R. and Wang, Lingxiao and Wang, Wei and Zhu, Qianteng",2026,,2601.19552,https://arxiv.org/abs/2601.19552,lineage,backward,diffusion;gauge,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=gauge theory;lattice gauge; root_methods=; domain=diffusion;gauge;lattice; routes=backward,current root bibliography ref 28
arxiv:2207.00283,Learning lattice quantum field theories with equivariant continuous flows,"Gerdes, Mathis and de Haan, Pim and Rainone, Corrado and Bondesan, Roberto and Cheng, Miranda C. N.",2023,10.21468/SciPostPhys.15.6.238,2207.00283,https://arxiv.org/abs/2207.00283,lineage,backward,flow,Q04,1,10,include,score=10; phrase_hits=0; strong_domain=; root_methods=; domain=field;flow;lattice; routes=backward,current root bibliography ref 12
arxiv:2304.01798,Locality-constrained autoregressive cum conditional normalizing flow for lattice field theory simulations,Dinesh P. R.,2023,,2304.01798,http://arxiv.org/abs/2304.01798v1,adjacent_method,keyword,flow;gauge,Q28,1,10,include,score=10; phrase_hits=3; strong_domain=lattice field;phi 4; root_methods=; domain=field;flow;gauge;lattice;phi;sampl; routes=keyword,current arXiv API response
doi:10.22323/1.518.0020,Machine learning for four-dimensional SU(3) lattice gauge theories,Urs Wenger,2026,10.22323/1.518.0020,,https://doi.org/10.22323/1.518.0020,extension,extension,diffusion;flow;gauge;scaling;stochastic_flow,Q33,1,10,include,score=10; phrase_hits=3; strong_domain=gauge theory;lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=diffusion;field;flow;gauge;lattice;sampl;stochastic; routes=extension,current OpenAlex response
arxiv:2603.12501,Normalizing-flow-based density of states for (1+1)D U(1) lattice gauge theory with a $θ$-term,Simran Singh; Lena Funcke,2026,,2603.12501,http://arxiv.org/abs/2603.12501v1,adjacent_method,keyword,flow;gauge,Q28,1,10,include,score=10; phrase_hits=3; strong_domain=gauge theory;lattice field;lattice gauge; root_methods=; domain=field;flow;gauge;lattice;scalar;topolog; routes=keyword,current arXiv API response
doi:10.22323/1.466.0040,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,Alessandro Nada; Andrea Bulgarelli; Elia Cellini,2024,10.22323/1.466.0040,,https://doi.org/10.22323/1.466.0040,adjacent_method,keyword,failure;flow;gauge;scaling;stochastic_flow,Q21,1,10,include,score=10; phrase_hits=5; strong_domain=gauge theory;lattice gauge;stochastic normalizing flow; root_methods=stochastic normalizing flow; domain=flow;gauge;lattice;monte;sampl;stochastic; routes=keyword,current OpenAlex response
arxiv:2002.09547,Stochastic Normalizing Flows,Liam Hodgkinson; Chris van der Heide; Fred Roosta; Michael W. Mahoney,2020,10.48550/arxiv.2002.09547,2002.09547,http://arxiv.org/abs/2002.09547,adjacent_method,keyword,flow;stochastic_flow,Q21,1,10,include,score=10; phrase_hits=3; strong_domain=stochastic normalizing flow; root_methods=continuous normalizing flow;stochastic normalizing flow; domain=flow;markov;path;sampl;stochastic; routes=keyword,current OpenAlex response
doi:10.1016/j.physletb.2022.137281,Towards glueball masses of large-N SU(N) pure-gauge theories without topological freezing,Claudio Bonanno; Massimo D’Elia; Biagio Lucini; Davide Vadacchino,2022,10.1016/j.physletb.2022.137281,,https://doi.org/10.1016/j.physletb.2022.137281,failure,keyword,failure;gauge,Q12,1,10,include,score=10; phrase_hits=2; strong_domain=lattice gauge; root_methods=; domain=gauge;lattice;monte;topolog; routes=keyword,current OpenAlex response
arxiv:2402.01046,Towards the Application of Skewed Detailed Balance in Lattice Gauge Theories,Marina Krstić Marinković; João C. Pinto Barros,2024,10.48550/arxiv.2402.01046,2402.01046,http://arxiv.org/abs/2402.01046,extension,extension,failure;gauge,Q33,1,10,include,score=10; phrase_hits=1; strong_domain=gauge theory;lattice gauge;markov chain monte carlo; root_methods=; domain=gauge;lattice;markov;monte;topolog; routes=extension,current OpenAlex response
doi:10.1140/epjc/s10052-021-09161-1,Ergodic sampling of the topological charge using the density of states,Guido Cossu; David Lancaster; Biagio Lucini; Roberto Pellegrini; Antonio Rago,2021,10.1140/epjc/s10052-021-09161-1,,https://doi.org/10.1140/epjc/s10052-021-09161-1,failure,keyword,gauge;scaling,Q12,1,9,include,score=9; phrase_hits=1; strong_domain=gauge theory; root_methods=; domain=gauge;lattice;sampl;topolog; routes=keyword,current OpenAlex response
doi:10.1103/physrevd.104.114507,Flow-based sampling for fermionic lattice field theories,Michael S. Albergo; Gurtej Kanwar; Sébastien Racanière; Danilo Jimenez Rezende; Julian M. Urban; Denis Boyda; K. Cranmer; Daniel C. Hackett; Phiala E. Shanahan,2021,10.1103/physrevd.104.114507,,https://doi.org/10.1103/physrevd.104.114507,extension,extension,fermion;flow;gauge,Q33,1,9,include,score=9; phrase_hits=2; strong_domain=lattice field;scalar field; root_methods=; domain=field;flow;gauge;lattice;sampl;scalar; routes=extension,current OpenAlex response
arxiv:2211.03470,Fourier-flow model generating Feynman paths,"Chen, Shile and Savchuk, Oleh and Zheng, Shiqi and Chen, Baoyi and Stoecker, Horst and Wang, Lingxiao and Zhou, Kai",2023,10.1103/PhysRevD.107.056001,2211.03470,https://arxiv.org/abs/2211.03470,lineage,backward,flow,Q04,1,9,include,score=9; phrase_hits=0; strong_domain=; root_methods=; domain=flow;path; routes=backward,current root bibliography ref 16
arxiv:2207.08945,Gauge-equivariant flow models for sampling in lattice field theories with pseudofermions,Ryan Abbott; Michael S. Albergo; Denis Boyda; K. Cranmer; Daniel C. Hackett; Gurtej Kanwar; Sébastien Racanière; Danilo Jimenez Rezende; Fernando Romero-López; Phiala E. Shanahan; Betsy Tian; Julian M. Urban,2022,10.48550/arxiv.2207.08945,2207.08945,http://arxiv.org/abs/2207.08945,extension,keyword,fermion;flow;gauge,Q24,1,9,include,score=9; phrase_hits=2; strong_domain=lattice field; root_methods=; domain=field;flow;gauge;lattice;sampl;stochastic; routes=keyword,current OpenAlex response
arxiv:2307.01198,Improved sampling via learned diffusions,"Richter, Lorenz and Berner, Julius",2024,,2307.01198,https://arxiv.org/abs/2307.01198,lineage,backward,diffusion,Q04,1,9,include,score=9; phrase_hits=0; strong_domain=; root_methods=; domain=diffusion;sampl; routes=backward,current root bibliography ref 36
